caber	incluir/compreender/conter/ter/acomodar/combinar/conter/terminar/ficar/cair
cagar	mijar/urinar
cair	largar/soltar/tombar/precipitar/caber/perder/terminar/ficar
calcinar	incinerar/queimar
calhar	acontecer
caminhar	ir/andar/deslocar/mover/passear/acompanhar/levar/andar
capitanear	desbravar/liderar
capturar	agarrar/segurar/guardar
carburar	queimar
carregar	transportar/levar/saturar/aguardar/parir/esperar/ter
casar	casar-se/esposar/juntar
casar-se	casar
causar	prover/dar
cavalgar	ir/andar
caçar	montear
centrar	interessar/fascinar
cerrar	fechar
certificar	atestar
certificar-se	afiançar
chamar	urrar/convocar/berrar/gritar/cumprimentar/endereçar/organizar
chancelar	vedar/selar
chatear	enervar-se/irritar-se
checar	conferir/verificar/constatar/aprender/assegurar/averiguar/conferir/verificar/provar/descobrir/controlar/ver
chegar	acercar/avizinhar/vir/alcançar/embarcar/estimar/pegar
choramingar	embirrar/lamuriar/chorar
chorar	choramingar
chupar	aleitar/amamentar/lactar
cintilar	faiscar/tremeluzir/brilhar
circular	alastrar/difundir/disseminar/espalhar/transmitir
circundar	endereçar/lidar/tratar/falar/cobrir
citar	mencionar
cobrir	tampar/tratar/circundar/encapar/enfronhar/englobar/abarcar/proteger/afixar/aplicar/compreender/conter/passar
colapsar	ruir/desabar/desmoronar/quebrar/desistir/abandonar
colar	aderir/grudar/aderir/grudar/atar/pregar
colidir	golpear/acertar/bater
colocar	disputar/jogar
combinar	condizer/igualar/corresponder/harmonizar/caber/compatibilizar/ajustar/concordar
combustir	queimar
comer	papar/beijar/corroer
começar	iniciar/principiar/acontecer/iniciar/vir
comover	motivar/propulsar/incentivar/estimular/atacar/provocar/atingir
compatibilizar	corresponder/combinar/concordar
compensar	equilibrar-se/balancear/equilibrar
competir	equiparar/igualar
compor	publicar/escrever
comportar-se	simular/atuar/fingir
comprar	obter/adquirir/atingir/incorrer/obter/receber
comprazer	satisfazer
compreender	endereçar/lidar/tratar/perceber/realizar/falar/entender/cobrir/afigurar/envisionar/figurar/visualizar/caber/ler/conter/considerar/achar/ver
comprender	obter/adquirir/atingir
comprometer	dar
conceder	consentir/permitir/deixar
concentrar	interessar/fascinar
concernir	referir-se/aludir/tocar
