ab-rogação	revogação
centro	coração/baricentro/sabugo/espiga/umbigo/núcleo
cera	cerume/cerúmen/espermacete/carnaúba/parafina
cerca	sebe/sebes/eclusa/muro
cercado	parquinho/playground/parque/jardim/quintal
cercania	paisagem/bairro/proximidade/vizinhança
cercopithecidae	bugio/cinocéfalo/macaco-narigudo/babuíno/macaco
cereais	trigo/mexoeira/milho/arroz/cevada/milhete/aveia/centeio/grão/milho
cereal	arroz/trigo/milho/mexoeira/milho/pipoca/zizania/arroz/cevada/milhete/trigo/aveia/centeio/malte/grão/milho
cereja	ginja
cerimonial	protocolo
cerimónia	boda/funeral/boda/enterro/funeral/casamento/comemoração/iniciação/formalidade/inauguração
cerimônia	boda/funeral/boda/enterro/funeral/casamento/purgação/comemoração/iniciação/formalidade/inauguração/purificação
ceroulas	boxers/cueca/calcinha/cuecas
cerque	habitat/cenário/partes/ambiente
certame	competição/torneio/corrida/combate/partida/jogo/luta/torneio/corrida/jogo
certeza	pose/previsibilidade/altivez/aprumo/desembaraço/confiança/fé
certidão	diploma/comissão
certificado	obrigação/diploma/comissão/ação/obrigação
cerveja	ale/chope/oktoberfest/porter/malte/imperial/fino
cervidae	alce/cariacu/gamo/grã-besta/rangífer/rangífero/rena/uapiti/veado-mula/cervo/corço/veados/corça/veado
cervo	alce/cariacu/gamo/grã-besta/rangífer/rangífero/rena/uapiti/veado-mula/corço/veados/corça/veado
cervídeo	alce/cariacu/gamo/grã-besta/rangífer/rangífero/rena/uapiti/veado-mula/cervo/corço/veados/corça/veado
cerâmica	olaria/tijolo/grés/grês/porcelana/faiança
cessão	recessão
cesta	balaio/cesto
cesto	balaio
ceto-hexose	frutose
cetohexose	frutose
cetona	acetona/butanona
cetáceos	beleia/caxarelo/caxaréu/rorqual/baleia
chafariz	bebedouro
chama	labareda/ignição
chamada	clamor/hosana/urro/grito/gritar
chamaeleonidae	camaleão-comum
chaminé	fogo/canodachaminé
chaminés	canodachaminé/chaminé
chance	oportunidade/potenciabilidade/liquidação/potencial/promoção/recomeço/audiência/ocasião/ouvinte/vez/dia
chapa	painel/oposição/dixiecrat/estêncil/folhadelata/gironda/kuomintang/laminação/quadro-negro/tábua/lata/lousa/quadro/membrana/placa/folha
chapim	chapim-azul
chapéu	quepe/sombreiro/barrete/boné/capacete/casco/capote/capucha/cartola/chapéu-coco/chapéu-panamá/mitra/sombrero/sombreiro/turbante/capuz/mitra
charada	acróstico
charamela	bombardeie
charcos	piscina/cisterna
charlatão	curandeiro
charuto	cigarrilha
chato	misantropo/bacharel
chave	botão/comutador/seletor/torquímetro/palavra-chave/interruptor/turquesa
chefa	concubina/cortesã/odalisca
chefe	empregador/líder/administrador/executivo/gerente/herói/político/treinador/cabeça/guia/liderança/exemplo/técnico/responsável/modelo/cacique/capo/galvanizador/imame/inspirador/super-homem/aristocrata/guru/legislador/patrício/semideus/secretário/gerente/político/capitão/comandante/patriarca/presidente/secretária/clérigo/superior
chegada	demolição/placar/destruição/regresso/vinda/volta/desolação/retorno/vitória/resultado/aterrissagem/check-in/pouso/términio/ômega/aterragem/ingresso/vencimento/ómega/derrota/entrada/fim/parada/perda/final
cheiro	almiscar/almíscar/aroma/fragrância/fragância/pejo/zeitgeist/fedor/perfume/hollywood/odor
cheloniidae	tartaruga-de-couro/tartaruga-de-pente/tartaruga-verde
cheque	assinaturaembranco/cartabranca/contra-cheque
chiaroscuro	grisaille/grisalha
chibata	azorrague/cat/açoite/cinta
chicla	chiclete
chicote	azorrague/cat/açoite/cinta
chifre	galhada/corno
chilro	pio
chimpanzé	bonobo
chimpanzé-comum	bonobo
chinelo	alpargata/havaiana
chinesa	boxer/chinês/mandarim
chinês	cantonês/mandarim/boxer/mandarim
chip	microprocessador/microprocessadores
chocalho	shaker/saleiro
chofer	automobilista/condutor/motorista/camionista/chauffeuse/taxista/caminhoneiro/conductor/velocista/condutor/motorista
choque	batidinha/concussão/palmada/sacudida/tabefe/estalo/bofetada/batida
choro	lamento
choupana	iglu
choça	iglu
chuinga	chiclete
chulo	cafetão/proxeneta
chupa	boquete/chupada
chuva	garoa/chuvisco/diluvio/aguaceiro/garoa/chuvisco/monção/temporal/tempestade
chuço	alabarda
chá	oolong/tisana/camomila/infusão
chácara	lacticínios/leitaria/leiteria/mercearia/rancho/granja/herdade/roça/terras/fazenda/vinha/vinhedo
chávena	cálice/copo/taça
chão	florestas/arvoredo/selva/bosque/ilha/mata/floresta/arquipélago/istmo/istmos/península/planície/continente/campanha/terra/cabo
cianose	acrocianose
cicatriz	pockmark/queloide/quelóide/vacinação/calo
ciclone	furacões/tornado/tornados/tufões/furacão/tufão/tempestade
ciclones	furacões/tornado/tornados/tufões/furacão/tufão/ciclone/tempestade
ciclotron	sincrocíclotron/síncrotron
ciclotrão	sincrocíclotron/síncrotron
ciconiidae	jabiru/jaburu/tuiuiú/cegonha
cidadela	acrópole/kremlin
cidadã	eleitor/votante/civil
cidadão	cidadã/eleitor/patriota/votante/civil/compatrício/conterrâneo/compatriota/patrício
cidra	sidra
cientista	pesquisador/psicólogo/investigador/biologista/biólogo/cosmógrafo/geólogo/linguista/lingüista/microscopista/mineralogista/médico-cientista/oceanógrafo/paleontologista/paleontólogo/radiologista/químico/matemático/físico
cierzo	mistral
cigarro	baseado/cigarrilha/baseado
cilindro	cano/rolo/tambor/tubo/duto/estalagmite/tambor
cima	cimo/cimeira/pináculo/cume
cimento	colas/cola/massa
cinema	curta-metragem/documentário/longa-metragem/3d
cinematografia	tomada/animação
cinetose	enjôo
cinocéfalo	mandril
cio	libido/ninfomania/satirismo/satiríase/sensualidade/luxúria/paixão/amor
cipreste	cipreste-italiano/cipreste-português
cipó	batata/bougainvillea/ervilha-de-cheiro/feijão-de-porco/hera/imbé/lablab/liana/luffa/ora-pro-nobis/trepadeira/videira/abóbora/inhame/lúpulo/quivi/amendoim
circuito	flip-flop
circunscrição	empreendimento/enclave/protectorado/protetorado/protetorado/jurisdição/bairro/possessão/vizinhança
circunstância	justificativa/justificação/condições/evento/articulação/caso/condição
circunstâncias	falhanço/falha/infortúnio/azar/sorte
cirurgia	ablação/angioplastia/artroscopia/cateterismo/cauterização/craniotomia/criocirurgia/curetagem/desbridamento/esterilização/excisão/gastrectomia/gastrostomia/miringotomia/neurocirurgia/osteotomia/resecção/rizotomia/traqueostomia/vasovasostomia/vivisecção/vivissecção/amputação/esterilização/extirpação/remoção/transplante/castração
cirurgião	neurocirurgião
cisne	cisne-bravo
cisterna	aquário/tanquedegasolina/tanque
cisto	galactocele
citação	epígrafo
citoplasma	centrossoma/citosol/endoplasma/sarcoplasma/hialoplasma
citrino	laranja/limão/fortunella/kumquat/mandarina/mexerica/toranja/toronja/bergamota/bergamoteira/cidra/mexeriqueira/pomelo/tangerineira/limão/tangerina
ciumes	ciúme/ciúmes
civilidade	cortesia/reverência/respeito
civilização	islame/islã/islão/maometismo/islamismo
ciência	matematica/matemática/psicologia/quimica/física/química/agronomia/cosmografia/cripto-análise/criptoanalise/criptoanálise/lingüística/metalurgia/metrologia/sistemática/tanatologia/física/linguística/lingüística/estratégia
clandestinidade	confidencialidade
clareador	sabonete/sabão/champô/dentífrico/detergente/dentifrício/xampu
clareza	visibilidade/transparência
claridade	visibilidade/transparência
clarividência	precognição
classe	gradação/nacionalidade/proletariado/hierarquia/variante/versão/nível/posto/grau/segundo/tipo/posição/agnatha/angiosperma/anthozoa/aposentação/arecidae/asteridae/aves/bastardia/bivalves/bivalvia/branchiopoda/burguesia/caryophyllidae/casta/castas/centésima/cestoda/channidae/charophyceae/chelicerata/chlorophyceae/chondrichthyes/commelinidae/crinoidea/declinação/dicotomia/dilleniidae/décimo-primeiro/echinoidea/elasmobranchii/equivalência/exopterygota/filovirus/filovírus/gastrópodes/gnatostomados/gnetophyta/gnetófitas/hydrozoa/igualdade/jaez/kasta/laia/lepidosauria/liliidae/magnoliidae/magnoliophyta/magnoliopsida/malacostraca/miriápodes/mulherio/myriapoda/nuda/octogésima/octogésimo/oligochaeta/ophiurida/ophiuroidea/opisthobranchia/ordem/osteichthyes/pauropoda/pepino-do-mar/placentalia/placentários/prototheria/quartil/rhodophyceae/rosidae/scyphozoa/symphyla/teleostei/tentaculata/termos/thaliacea/trematoda/turbellaria/ulvophyceae/undécimo/viscondado/aposentadoria/bryopsida/casta/duodécimo/décima/eqüidade/gastrópodes/graduação/igualdade/irmandade/milésima/ninja/nona/nonagésimo/octagésimo/oitava/principado/quadragésima/quadragésimo/setuagésimo/sexta/submundo/sétima/centésimo/declinação/dignidade/dualidade/ducado/décimo/fraternidade/milionésimo/milésimo/nono/quinto/sexagésimo/sexto/sétimo/terceiro/categoria/espécies/nobreza/oitavo/raça/reinado/sabor/condado/descrição/espécie/gênero/liderança/quarto/sexo/variedade/posto/primeiro/género/mercado/qualidade/mulher/estilo/tipo/último/lugar/ordem
classificação	valorização/apreciação/avaliação/atribuição/dicotomia/subsunção/tipologia/triagem/estratificação/indexação/dualidade/taxonomia/separação
claustro	monastério/mosteiro/convento/conventos/convento
clava	exibido/fanfarrão/cassetete/porrete/bastão/cacete/taco
clemência	amnistia/indulto/perdão
clichê	ritmo
cliente	assinante/subscritor/leitor/freguês/comprador/consumidor/habitual
clima	vento/tempo/degelo/precipitação/ambiente/atmosfera
climatologia	bioclimatologia
clorofluorcarboneto	freon
clorofluorcarbonetos	freon
clube	sororidade/fraternidade
cláusula	aditamento/acréscimo
clã	genealogia/pais/família
clérigo	bispos/cura/bispo/vigário/ministro/padre/pároco/pastor/capelão/catholicós/confessor/druida/evangelista/lamas/monsenhor/pontífice/pregador/prelado/primaz/rabi/sacerdotista/acólito/diácono/lama/papa/presbítero/rabino/vigário/xamã/eclesiástico/padre/pároco/sacerdote/lama/patriarca/leitor/pastor
coacção	terror
coador	crivo/peneira/crivo/passador/peneira
coagulase	trombina
coagulação	êmbolo/trombo
coalizão	aliados/eixo/confederação/aliança
coberta	edredom/manta
cobertor	manta/camuflagem
cobertura	envólucro/máscara/cobertor/camada/capa/calçados/canopo/coifa/embalagens/invólucro/aba/vestimenta/tampa/diretório/tapete/vestuário/calçado/camuflagem/proteção/traje/capa/roupa/vestido
cobiça	avareza/ganância
cobra	biúta/cerasta/ceraste/cobra-real/colubrídeos/hydrophiidae/víboracornuda/áspide/vibora/víbora
cobra-de-água-de-colar	cobra-de-água-viperina
cobrador	condutora
cobre	cache/numerário/divisa/moeda/dinheiro/moeda
coca	coca-cola/pepsi/pepsi-cola
cocaina	crack
cocaína	crack
coccoidea	cochonilha
coceira	prurido
cocktail	margarita/martini/martíni/russo-branco
cocô	coprólito
codificação	bu-shi-do/bushido/bushidô/bushidō
coeficiente	indutância/transmissão
coelho	coelhinho/coelho-europeu
coerção	coacção/implementação/cumprimento/execução/realização
coerência	continuidade
coesão	continuidade
cofre	casa-forte
cognição	psique/atitude/mente/cabeça/episteme/equivalente/léxico/vocabulário/histórico/incapacidade/informação/capacidade/conhecimento/poder/história/habilidade/talento
coincidência	concomitância/sobreposição/loteria/chance
coirela	fita-cola
coisa	pré-requisito/requisito/tópico/assunto/conteúdo/necessidade/chupeta/tomo/secção/água/porção/secundário/unidade/variável/pedaço/parte
coisas	tralha/troço/negócio/coisa
coitelo	adaga/baioneta/catana/estoque/facão/peixeira/punhal
coito	foda/metida/trepada/sexo
cola	coca-cola/pepsi/pepsi-cola
colaboração	dedicação/conformidade/coação/reconciliação/abnegação/cooperação/meio-termo/compromisso/representação/acordo
colagem	fotomontagem
colapso	malogro/desabamento/fiasco/subsidência
colcha	edredom/manta/cobertor
colchão	futon/penugem
colecionador	arquivista/filatelista/numismata
colectas	taxas
colecção	biota/exposições/galáxia/suma/transito/tránsito/trânsito/embalagem/embrulho/flora/guarda-roupa/nebulosa/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/monte/tesouro/acúmulo/lei/montão/pacote/combinação/exposição/pilha/jogo/grupo/asia/dados/encepamento/farmacopéia/miscelanea/mitologia/potpourri/repertório/romaria/colagem/fauna/fornada/herbário/mitologia/zoologia/ásia/cúmulo/europa/farpa/lote/universo/aglomeração/categoria/escultura/frota/procissão/aviação/biblioteca/comboio/acúmulo/bloco/conjunto/informação/pacote/livro/mistura/pilha/família/multidão/grupo/massa/classe
colega	ficante/acompanhante
coleira	colar/colar
coletor	cobrador
coletânea	antologia/antologias/arquivos/crestomatia/selecta/antologia/florilégio/compilação/arquivo
coleção	biota/exposições/galáxia/suma/transito/tránsito/trânsito/embalagem/embrulho/flora/guarda-roupa/nebulosa/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/monte/tesouro/acúmulo/lei/montão/pacote/combinação/exposição/pilha/jogo/grupo/antologia/antologias/arquivos/asia/conquiliologia/crestomatia/dados/encepamento/farmacopéia/filatelia/miscelanea/mitologia/potpourri/recolha/repertório/romaria/selecta/antologia/arrecadação/colagem/fauna/florilégio/fornada/herbário/mitologia/zoologia/ásia/compilação/cúmulo/europa/farpa/lote/universo/aglomeração/arquivo/categoria/escultura/frota/procissão/aviação/biblioteca/comboio/acúmulo/bloco/conjunto/informação/pacote/livro/mistura/pilha/família/multidão/reunião/grupo/massa/classe
coligação	aliados/eixo/confederação/aliança
colina	cupinzeiro/outeiro/formigueiro/planalto
collant	meias-calças/meia-calça
colo	peito
colocação	armazenamento/espaçamento/depósito/inclinação/posição/centralidade/dedilhamento/dedilhação/digitação/externalidades/horizontalidade/plantações/talude/declives/coincidência/orientação/espaço/inclinação/curso
coloide	gel/emulsão
colonialismo	neocolonialismo
colonizador	peregrinos/pioneiro
colonização	povoação/população
colono	peregrinos/pioneiro
colorante	pigmento/tinta/pintura/cor/pigmentos/corante/pigmento/contraste/indicador/tintura/cor
coluna	atlante/cariátide/obelisco/obeliscos/pilastra/obelisco
colunata	peristilo
colégio	conservatório/ginásio/primário/academia/escola
colóide	gel/emulsão
comandante	generalissimo/generalíssimo
comando	contra-ordem/mandamento/ordem
comarca	empreendimento/enclave/protectorado/protetorado/protetorado/jurisdição/bairro/possessão/vizinhança
combate	batalha/luta/armagedão/brigadegalo/disturbio/dog-fight/dogfight/esgrima/superação/tiroteio/agressão/bloqueio/contenda/duelo/esgrima/briga/guerra/choque/defesa/conflito/proteção/disputa/batalha/luta
combatente	boxeador/espadeiro/gladiador/pugilista/boxer/lutador/vencedor
combinação	mixagem/mistura/conglomeração/consolidação/haplotipo/haplótipo/amálgama/unificação/integração/junção/fusão/mistura
comboio	mixto/trem-hospital/vagão/carruagem
combustão	chama/flama/labareda/fogo/deflagração/incinerador/incineração/inflamações/inflamação/ignição
combustível	benzina/gasolina/biomassa/butano/coque/cozedura/lenha/metanol/propano/querosene/diesel/fuelóleo/encendedor/gasolina/gasóleo/isqueiro/petróleo/carvão
comediante	palhaço/bufão/bobo
comedor	vegetariano/devorador/guloso/boca
comemoração	epitáfio
comensalismo	ectoparasita
comentário	apontamento/chacota/xiste/gracejo/piada/anotação/nota/banalidade/bujão/chavão/cliché/midrash/trivialidade/vulgaridade/alusão/cortesia/referência/reflexão/observação
comercial	infomercial
comercialismo	industria/marketing/mercadologia/tráfico/marketing/tráfego/trânsito/pagamento/empresa/negócio/comércio/distribuição/distribuição/exportação/importação/comércio/venda
comerciante	barao/retalhista/varejista/magnata/mercador/dono/fornecedor/vendedor/negociante/proprietário/camelô/chapeleiro/industrialista/jornaleiro/lojista/merceeiro/pasteleiro/receptador/talhante/tintoreiro/modista/padeiro/traficante/açougueiro/joalheiro/industrial/operador
começo	iniciativa/activação/ativação/gênese/incipiência/investida/kickoff/alfa/alvorecer/estreia/germinação/iniciação/manhã/prestação/retomada/constituição/inauguração/lançamento/madrugada/nascimento/amanhecer/concepção/estabelecimento/fundação/instalação/instituição/posse/procissão/crescimento/emergência/introdução/início/origem/criação/princípio/abertura/causa/organização/apresentação/ataque
comichão	prurido
comida	hortifruti/hortifruto/manteiga/queijo/repasto/sobras/vianda/refeição/vitamina/peixe/chocolate/bebida/carne/resto/prato/alimentos/comestivel/cortarempedaçospequenos/fast-food/fruto-do-mar/iogurte/maná/micronutriente/petisco/provisões/puré/quimo/suprimentos/côco/fornada/guloseima/ração/alimentação/nutriente/nutrição/dieta/gema/leite/macarrão/besteira/pão/água/alimento/prato/massa/meio
comissão	junta/comité/comitê/conselho/júri/politiburo/embaixada
comité	junta/comitê/conselho/júri/diretoria/politiburo/embaixada
comitê	junta/comité/conselho/júri/diretoria/politiburo/embaixada
comoção	zanga/consternação/espírito/ira/cólera/temor/raiva/terror/humor/medo/alegria/incidente/ânsia/reverência/ódio/ansiedade/temor/aversão/preocupação/afeição/amor
compactação	espessamento/pulverização/trituração
compaixão	misericórdia/piedade/afeição/empatia/compatibilidade/leniência/ternura/bondade/perdão/piedade
companheiro	ficante/cônjuge/esposa/esposo/marido/acompanhante/varão/mulher/homem/bígamo/recém-casado/consorte
companherismo	franco-maçonaria/maçonaria
companhia	distribuidor/holding/numero/stosstruppen/subsidiária/thinktank/circo/coorte/empresa/tripulação/coro/equipe/gigante/serviço
comparação	analogia
comparecimento	presença
compartimento	bagageira/porta-bagagem/porta-malas/camarote/mala/baia/curro/gondola/porta-luvas/cabine/módulo/elevador/camarote/armário
compatibilidade	harmonia/correspondência
compatrício	compatriota
compensação	emolumento/indemnizações/reparação/contrapeso/reembolso
competidor	atleta/campeão/desportista/jogador/ganhador/participante/vencedor/desafiante/oponente/rival/segundo-lugar/adversário/contendor/finalista/vice/concorrente/opositor/favorito/rei/inimigo/segundo
competição	contenda/contestação/torneio/corrida/combate/partida/jogo/luta/torneio/corrida/jogo
competência	proficiência/habilidade
complexidade	forro/elaboração/complicação
complô	conjuração/conspiração/intriga/conspiração
componente	elemento/hardware/destaque/excedente/ingrediente/realçe/restante/adição/módulo/resíduo/sobra/melhoria/resto/substância/começo/meio/game/item/pixel/píxel/suplemento/fator/acessório/metade/cristal/membro/unidade/turno/jogo/ponto/parte/traseiro
comportamento	desfeita/ofensa/injúria/cidadania/dignidade/modo/maneira
compositor	sinfonista
composição	cariótipo/fenotipo/fenótipo/genótipo/recapitulação/unificação/arranjo/integração/transcrição/arquitectura/junção/estrutura/fusão/mistura
composto	cloridrato
compra	compras/restituição/procura/retorno/aprovisionamento/assunção/barganha/pechincha/anexação/compras/incorporação/achado/espólio/obtenção/sucessão/aceitação/herança/aquisição
comprador	assinante/subscritor/leitor/freguês/cliente/consumidor/habitual
compras	marketing
compreensibilidade	inteligibilidade/coerência/lucidez/transparência
compreensão	epifania/insight/psique/lampejo/atitude/mente/cabeça/episteme/discernimento/senso/tentáculo/consciência/equivalente/léxico/reconhecimento/sentido/vocabulário/histórico/incapacidade/informação/previsão/capacidade/conhecimento/poder/história/realização/saber/habilidade/talento
compressor	supercompressor
compressão	esmagamento/compactação
comprimido	cápsula
compromisso	encontro
compulsão	onomatomania
computador	site/website/sítio/abaco/actuário/atuário/quipo/ábaco/estatístico/cliente/servidor
compêndio	introdução/antologia/antologias/arquivos/cartilha/crestomatia/selecta/antologia/florilégio/compilação/arquivo
comunicado	correios/dramaturgia/contacto/correio/contato/discurso/exame/teatro/discussão/teste/convencimento/dissuasão/persuasão/objeção/catequizar/transmissão/expressão/canal
comunicador	repórter/autor/escritor/jornalista/fonte/negociador/propagandista/remetente/simpatizante/apresentador/correspondente
comunicação	correios/dramaturgia/contacto/demissão/agouro/indício/mensagem/presságio/correio/indicação/linguagem/contato/discurso/exame/aviso/idioma/teatro/discussão/anúncio/língua/sinal/programa/teste/convencimento/dissuasão/persuasão/objeção/documento/mensagem/catequizar/infecção/linguagem/transmissão/tópico/assunto/conteúdo/discurso/expressão/voz/anúncio/língua/estilo/canal
comunidade	assentamento/constituintes/eleitores/júri/votantes/colônia/aldeia/povoado/júri/público/universidade/vila/bioma/biomas/cristandade/freguesias/ies/paroquianos/ulema/ulemá/umma/circassiano/horda/matricula/paróquia/cristianismo/faculdade/imigração/vocação/associação/universidade/voto/bairro/administração/vizinhança/instituto/escola/organização/corpo
comunismo	castrismo/leninismo/maoismo/maoísmo/marxismo/trotskismo/coletivismo
comunista	apparatchik/bolchevique/bolcheviques/bolchevista
comunistas	apparatchik/bolchevique/bolcheviques/bolchevista
comédia	farsa/humor-negro/melodrama/tragicomédia
comércio	industria/marketing/mercadologia/transportação/tráfico/turismo/aventura/indústria/manufatura/marketing/tráfego/trânsito/pagamento/transporte/empresa/negócio/expedição/agro-indústria/agronegocio/agronegócio/distribuição/livre-cambismo/publicitação/armazém/distribuição/exportação/finança/importação/pesca/agricultura/construção/edifício/publicação/publicidade/venda
concavidade	nicho/impressão
conceito	projecto/regulamento/atributo/noção/categoria/concepção/norma/possibilidade/programação/soma/característica/idéia/suposição/tema/teoria/lei/motivo/projeto/quantidade/regra/hipótese/preocupação/propriedade/qualidade/família/ideia/intenção/programa/plano/número/classe/abstracção/abstracto/cogitação/crença/formulação/generalidade/teorema/abstrato/caprichoso/inspiração/noção/engano/mal-entendido/totalidade/generalização/idéia/sentido/lei/componente/opinião/significado/ideia/impressão/intenção
conceitualização	esquema/memória/borrão/estereótipo/borrado/exemplar/sobreposição/exemplo/interpretação/aparência
concelho	sinédrio
concentração	absorbância/molaridade/pervaporação/rarefação/titulação/compressão/foco/estudo/fluxo
concepção	regulamento/atributo/noção/categoria/norma/possibilidade/soma/característica/idéia/suposição/teoria/lei/quantidade/regra/hipótese/propriedade/qualidade/família/ideia/número/classe/abstracção/abstracto/fecundação/fertilização/formulação/abstrato/totalidade/lei/componente
concessão	franquia/aceitação
conciliador	pacificador
conclusão	abortação/abortamento/aposentadoria/demolição/placar/destruição/aborto/desolação/vitória/resultado/abolimento/abolição/coda/consumação/decurso/deitarporterra/desaparecimento/desativação/descontinuação/desinência/encerramento/fechamento/finalização/protelação/términio/ômega/acabamento/anticlímax/cessação/culminação/demissão/epílogo/término/vencimento/ómega/assassinato/derrota/destruição/expiração/limiar/terminação/aborto/homicídio/interrupção/devastação/extinção/queda/fim/parada/perda/rabo/renúncia/morte/final
concorrente	campeão/segundo-lugar/finalista/vice/opositor/favorito/rei/inimigo/segundo
concorrência	contenda/contestação
concreto	betão/cimento
concubina	odalisca
concupiscência	libido/ninfomania/satirismo/satiríase/sensualidade/luxúria/paixão/amor
concurso	competição/torneio/corrida/combate/partida/jogo/luta/torneio/corrida/jogo
concórdia	consenso/acordo/paz
conde	landegrave
condensação	orvalho/riço/rocio
condicionante	influência
condimento	molho/sal/alho/erva/pasta/catchup/chutney/erva-doce/escabeche/feno-grego/ketchup/marinada/mostarda/pimenta-da-jamaica/shoyu/shōyu/wasabi/adoçante/anis/cardamomo/cúrcuma/especiaria/gergelim/macis/noz-moscada/páprica/baunilha/coentro/espechiaria/gengibre/pimenta/sinapis/tempero/vinagre/açafrão/cravo/funcho/canela
condição	ascendencia/desemprego/nacionalidade/prontidão/recontro/repto/status/ambiência/delinquência/dominancia/estado/inimizade/integridade/melhora/preservação/relacionamento/superioridade/hierarquia/motivação/rapidez/saúde/complicação/confronto/conflito/conforto/hostilidade/melhoria/necessidade/ar/atmosfera/bagunça/culpa/desafio/equilíbrio/liberdade/perigo/preparação/situação/emprego/estado/posto/segurança/carência/tensão/controle/relação/domínio/meio/serviço/ordem/classe/posição/actividade/aposentação/bastardia/condenação/decotes/desconforto/desordem/encapsulamento/encapsulação/equivalência/existência/igualdade/imaturidade/iminência/imperfeição/iniqüidade/kasta/nudez/omnipotência/onisciência/ordem/ornamentação/perderaesperança/secura/susceptibilidade/suscetibilidade/termos/utopias/vacuolização/virgindade/aposentadoria/astigmatismo/celibato/decote/desespero/diversidade/eqüidade/igualdade/impureza/mal-estar/normalidade/padronização/polarização/provimento/pureza/secas/urbanização/utopia/ápice/acção/aridez/cargo/circunstância/dependência/desequilíbrio/destruição/dignidade/existência/humidade/inclusão/inocência/ofício/participação/perfeição/ressalva/sem-teto/urbanizações/utopia/absurdo/cena/cenário/clima/declínio/emoção/iluminação/imunidade/maturidade/nobreza/nível/plenitude/rejeição/sentimento/umidade/delegação/dimensão/fase/forma/separação/ambiente/atividade/bagunça/esperança/humor/liderança/situação/aceitação/defeito/doença/estado/maneira/posto/prisão/união/grau/ação/obrigação/poder/dificuldade/maldade/movimento/impressão/morte/ser/habilidade/problema/relação/lugar/ligação/posição
condor	condor-da-califórnia/condor-dos-andes
conductor	automobilista/chofer/condutor/motorista/camionista/chauffeuse/taxista/caminhoneiro/velocista/chofer/condutor/motorista
conduta	desfeita/ofensa/injúria/caminho/cidadania/modo/maneira
condutas	canudo/escoadouro/tubo/cateter/colector/cânula/cóclea/sifão/stent/tubulação/óleoduto/cachimbo/capilar/caracol/mangueira/oleoduto/piteira/silenciador/zarabatana/escapamento/vaso/cotovelo/ducto/duto/canal
conduto	canudo/tubo/adutora/aquedutos/canais/canalização/cateter/cânula/pipeline/sifão/stent/tubulação/vertedouro/cachimbo/capilar/mangueira/piteira/silenciador/zarabatana/aqueduto/cano/condutas/tubo/ducto/duto/canal
condutor	automobilista/cobre/chofer/cobre/motorista/prata/camionista/chauffeuse/taxista/caminhoneiro/conductor/velocista/chofer/motorista
conector	canga/acoplamento/jugo/junção/conjunção/terra/ligação
conexão	parentesco/categoria/comparação/fundação/afinidade/porção/possessão/componente/propriedade/relação/parte/interligação/interrelacionamento/interrelação/causalidade/coerência/coesão/concatenação/contacto/reciprocidade/relacionamento/parentesco/colocação/localização/posse/contato/oposição/função/propriedade/controle/relação/mudança/bem/ligação/posição
conferência	consulta/coletiva/simpósio/teleconferência/entrevista/palestra/sessão/audiência/seminário
confiabilidade	responsabilidade
confidente	repositório
confinamento	detenção/custódia/restrição/limitação/aprisionamento/solitária/cativeiro
confirmação	crisma/verificação/checksum/corroboração/validação
confiscação	arresto/expropriação/imprima/requisação/usurpação/conquista
conflito	peleja/pugna/desacordo/discordo/insurreição/revolta/rixa/atrito/fricção/guerra/rebelião/discordância/disputa/combate/batalha/luta/contratempos/discórdia/batalha
conformidade	concessão/consenso/acordo/aceite/subscrição/ajuste/aquiescência/assentimento/assinatura/concordância/concórdia/normalidade/ratificação/formalidade/concessão/consentimento/convenção/conspiração/harmonia/aceitação/paz/aprovação/acordo
conforto	alívio/consolo/alívio
confronto	desacordo/discordo/rixa/atrito/fricção/discordância
confusão	incidente
congestão	hemotórax/hidrotórax/hiperemia
congressista	rep
conhaque	armagnac/armanhaque/calvados/cognac/grappa/slivovitz
conhecedor	esteta
conhecida	conexão
conhecido	camarada/companheiro/irmão/amigo/conexão/coabitante/colocatário/confidente/amiga/camarada/companheiro/irmão/amigo/colega
conhecimento	psique/atitude/circunstância/instância/mente/consideração/disciplina/evidência/familiaridade/cabeça/exemplo/representante/campo/domínio/datum/episteme/facto/estimulante/estímulo/senso/ciência/dado/equivalente/léxico/vocabulário/histórico/incapacidade/informação/capacidade/verdade/poder/história/habilidade/talento/base
conjuntivite	oftalmia
conjunto	colecção/coleção/linhagem/aglomeração/raça/acúmulo/população/gente/pessoal/sistema/organização/povo/actinídeo/actinídeos/enxame/etnicidade/halogénio/halogênio/interseção/lantanídeo/lantanídio/subconjunto/subgrupo/arranjo/comunidade/etnia/humanidade/nuvem/raça/diagonal/edição/mundo/população/gente/reino/imagem/intervalo/homem/povo/corpo/domínio/grupo/massa
conjuntura	virada/crise
conjunção	anastomose/concomitância/tangência/sobreposição
connaisseur	esteta
conquista	bolinho/expediente/recrutamento/alistamento/emancipação/moleza/obra-prima/proeza/desempenho/feito/obtenção/performance/andada/façanha/realização
consciência	superego/senso/conhecimento/sensibilidade
conscrito	bicho/recruta
conscrição	came
conselho	repreensão/indicação/diretoria/sinédrio/recomendação
