ab-rogação	revogação
acúmulo	biota/exposições/galáxia/suma/transito/tránsito/trânsito/embalagem/embrulho/flora/guarda-roupa/nebulosa/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/monte/tesouro/lei/montão/pacote/combinação/exposição/pilha/jogo/grupo/asia/dados/encepamento/farmacopéia/miscelanea/mitologia/pira/potpourri/repertório/romaria/sambaqui/colagem/fauna/fornada/herbário/mitologia/zoologia/ásia/cúmulo/estoque/europa/farpa/lote/universo/aglomeração/categoria/colocação/escultura/frota/procissão/acumulação/aviação/biblioteca/comboio/bloco/conjunto/informação/montão/pacote/reserva/depósito/livro/mistura/pilha/família/multidão/grupo/massa/classe
acústica	fonética/harmonia
adaga	estilete/punhal
adaptabilidade	flexibilidade/elasticidade
adaptação	aclimatação/aclimação/desdiferenciação/domesticação/especialização
adendo	apêndice/continuação/sequência
adenoma	fibroadenoma
adepto	animista/antinomio/apóstolos/aristoteliano/donatismo/druso/drusos/dualista/rastafari/rastafariano/siques/sociniano/zoroastriano/absolutista/maniqueísta/luterano/apóstolo
adequabilidade	idoneidade/conveniência/adequação
adequação	habitabilidade/idoneidade/qualificação/conveniência/qualidade
adeus	atélogo/despedida
adiamento	extensão/deferimento/moratória/retardação/atraso
adiar	procrastinação/adiamento/atraso/interrupção/pausa
adicto	toxicómano/toxicômano/drogado
adivinha	astrólogo/cartomante/áugure/acróstico/profeta
adivinhadeiro	necromante/profeta/vidente
adivinhador	necromante/profeta/vidente
adivinho	astrólogo/cartomante/necromante/áugure/profeta/vidente
adivinhão	astrólogo/cartomante/áugure/profeta
adição	anexo/asa/aditivos/fluorização/reconsideração/reequipagem/reequipamento/alongamento/aprimoramento
adjectivo	superlativo/comparativo
adjetivo	superlativo/comparativo
adjudicator	magistrado/jurista/juiz/árbitro/oficial
administrador	gestor/director/dirigente/diretor/gerente/comissario/gestora/secretario-geral/vice-chanceler/hoteleiro/banqueiro/executivo/gerente
administração	finança/legislação/tratamento/directriz/gerenciamento/regencia/superintendência/supervisão/direcção/gerência/maestro/burocracia/gestão/juizado/direção/autorização/organização/casa
admirador	confederado/corporativista/francófilo/jacobita/adorador/apoiador/crente/diletante/fan/entusiasta/partidário/pilar
admiração	encatamento/fascínio/idealização/sobressalto/estupefação/adulação/espanto/maravilha/surpresa
admissão	confissão/matrícula
adn	exão/operão
adolescente	mod/punk
adopção	naturalização/apropriação
adorador	diletante/entusiasta
adorar	ginalotria
adoração	carola/arbolatria/exaltação/heliolatria/idolatria/salá/veneração/zoolatria/apoteose/agradecimento/elogio/adorar
adorno	laço/ornamento/arabesco/espanta-espíritos/florão/gargula/pichação/grafite/gárgula/bronze/laço/ornamento/decoração
adoçante	mel/açúcar/aspartame/aspartamo/calda/garrafada/sacarina/xarope
adoção	naturalização/apropriação
adsorção	absorção
adulação	glorificação
