abaixar	subordinar/subjugar/submeter/dominar
acumular	arrecadar/coleccionar/computarizar/enfardar/angariar/entesourar/informatizar/amontoar/colecionar/empilhar/incorrer/sedimentar/recolher/coletar/guardar/juntar/reunir
acusar	culpabilizar/culpar/caluniar/conspurcar/criminar/inculpar/tributar/difamar/indiciar/queixar/recriminar/taxar/denegrir/incriminar/arguir/repreender/reclamar
adaptar	domar/domesticar/naturalizar/cultivar/anglicizar/calçadeira/calçar/com/cristianizar/encaixar/popularizar/amansar/domesticar/eletrificar/naturalizar/orientar/ajustar/pôr/colocar
adaptar-se	condizer/obedecer/igualar/corresponder/combinar/aclimar/aclimatar/ambientar/ambientar-se/readaptar/enfocar/reajustar/focalizar
adequar	domar/domesticar/naturalizar/cultivar/anglicizar/adaptar/calçadeira/calçar/com/cristianizar/encaixar/amansar/domesticar/eletrificar/naturalizar/orientar/ajustar/pôr/colocar
adequar-se	condizer/obedecer/igualar/corresponder/combinar/aclimar/aclimatar/ambientar/ambientar-se/readaptar/enfocar/reajustar/focalizar
aderir	aglutinar/ligar
adiar	delongar/pospor/postergar/protelar/prorrogar/procrastinar/atrasar/procrastinar/vacilar/enrolar/segurar
adicionar	instilar/concatenar/pontuar/enriquecer/modificar/fortificar/inserir/somar/anexar/incluir/qualificar/suplementar/acrescentar/combinar/unir/misturar/reunir/fazer
adivinhar	pressentir/prognosticar/apostar/predizer/prever/augurar/quantizar/suspeitar/vaticinar/truncar/calcular/prognosticar/menosprezar/subestimar/ler/predizer/chutar/estimar/prever/avaliar/saber/contar/compreender/dizer/considerar
administrar	chefiar/supervisar/supervisionar/conduzir/injectar/digitalizar/injetar/dar
admirar	deslumbrar/estontear/invejar/fascinar/impressionar
admitir	hospitalizar/repatriar/orçar/readmitir/internar/involver/descartar/confessar/induzir/conceder/iniciar
adoecer	contagiar-se/contrair
adoentar	contagiar-se/contrair
adoptar	aderir/manter
adorar	reverar/babar/idolatrar/gostar
adornar	ajardinar/bordar/encrustar/entubar/esmaltar/festonar/incrustar/lantejoular/miçangar/recamar/emplumar/foliar/redecorar/enfeitar/ornamentar/iluminar/ilustrar/espetar/colorir/pendurar/trançar/decorar
adotar	aderir/reassumir/manter
adoçar	açucarar/melar/cobrir
adquirir	beneficiar-se/re-adquirir/beneficiar/herdar/marrar/reconquistar/reganhar/auferir/colecionar/estudar/lucrar/recolher/apanhar/comprar/recuperar/coletar/ganhar/capturar/obter/encontrar/reunir/atingir/pegar/enlistar/readquirir/reaprender/reaver/compartir/emplumar/fretar/reganhar/topar/apurar/partilhar/assimilar/alugar/assinar/conseguir/empregar/engajar/exprimir/folhear/comprar/recuperar/extrair/isolar/acompanhar/expressar/ganhar/obter/tomar/receber/encontrar/aceitar/atingir/achar/dividir/aumentar/fazer
adular	bajular/intimidar
adulterar	batizar/alterar
advertir	ameaçar/direcionar/alarmar/admoestar/alertar/prevenir/avisar
advocar	sermonizar/julgar
advogar	sermonizar/julgar
afagar	lamber/cocegar/mimosear/beijar/acariciar
afastar	tanger/atemorizar/espantar/banir/intimidar
afectar	estressar/tensionar/espairecer/sedar/energizar/ulcerar/embriagar/relaxar/tranquilizar/estimular/animar/excitar/atacar/registrar
aferrar	aconchegar/acomodar
aferrolhar	grudar/atar/colar/pregar
afetar	estressar/comover/disturbar/tensionar/emocionar/impressionar/perturbar/desconfortar/emudecer/espairecer/hidrolizar/influir/sedar/sobressaltar/alhear/energizar/repercutir/sujeitar/ulcerar/varar/apaixonar/assombrar/entristecer/infectar/influenciar/turvar/deprimir/desagradar/embriagar/relaxar/tranquilizar/alienar/arriscar/comprometer/envolver/colorir/conquistar/impressionar/surpreender/estimular/gravar/penetrar/animar/excitar/atacar/registrar/incomodar/atingir/tocar
afiançar	estipule/convencionar/estipular
afiar	sutilizar
afirmar	clamar/declarar/reafirmar/reafirmar-se/protestar/reivindicar/vindicar/apelar/confirmar/defender/declarar/manter
afixar	prefixar/selar
afligir	empestear/atribular/estressar/cercear/entristecer/cercar/esgotar
afligir-se	apiedar/apiedar-se/compadecer/compadecer-se/prantear/lastimar/lamentar
aflorar	vazar/escapar
aforrar	desencadear/soltar
afrontar	resistir
afrouxar	desaparafusar
afugentar	tanger/atemorizar/espantar/banir/intimidar
afundar	relaxar/submergir/assentar
agarrar	abocanhar/apreender/beliscar/mordiscar/espremer/morder/apanhar/apertar/furtar/capturar/roubar/prender/segurar/pegar/engalfinhar/intercetar/pescar/interceptar/capturar/esconder/tomar/segurar/pegar
agasalhar	encamisar/encasacar/calçar/fantasiar/vestir/vestido/cobrir
agastar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar/inimizar/antagonizar/aborrecer/corroer/magoar/importunar/irritar/incomodar
agenciar	pechinchar/regatear/interceder/intermediar/mediar/renegociar
agendar	programar/reservar
agir	troçar/atrever/atrever-se/ousar/participar/premiar/virar-se/voluntariar/caçoar/recompensar/repagar/compartilhar/aguentar/lidar/sobreviver/tentar/brincar/procurar/oferecer/jogar/acercar-se/aportar/co-atuar/comportar/devassar/efectivar/hostilizar/interagir/perpetrar/proceder/afectar/antagonizar/atrever/atrever-se/cometer/costumar/desesperar/efectuar/efetivar/folgar/galantear/namorar/optimizar/ousar/reciprocar/reiterar/agredir/alternar/antecipar/antever/azarar/comportar-se/condescender/disturbar/esfriar/evadir/flertar/manobrar/performar/romantizar/sentimentalizar/vulgarizar/associar/debandar/desempenhar/gozar/presumir/reagir/aguardar/efetuar/engajar/envolver/simular/acelerar/afetar/conquistar/lidar/apressar/descer/endurecer/furtar/prosseguir/surpreender/fingir/prever/repetir/brincar/desmoronar/permanecer/responder/interromper/lutar/perturbar/reter/disparar/forçar/ser/satisfazer/adquirir/criar/esperar/roubar/acabar/atacar/resistir/continuar/correr/jogar/seguir/conduzir/começar/fazer
agitar	abanar/flabelar/ventilar/estremecer/tremular/tiritar/tremer/bater/concussar/debulhar/esbordoar/menear/sovar/trilhar/chocalhar/electrificar/enervar/eletrificar/palpitar/ferver/perturbar/sacudir/tremer/excitar/misturar/incomodar
agourar	prenunciar/profetizar/ameaçar/predizer
agradar	aprazer/comprazer/embevecer/gostar/encantar/satisfazer/encarecer/contentar/admirar/encantar/devorar/satisfazer
agradecer	apreciar/apreciar/reconhecer
agravar	baratear/barganhar/inflamar/degradar/desvalorizar/rebaixar/irritar
agredir	estuprar/violentar/injuriar/assaltar/desonrar/insultar/atacar/dessacralizar/profanar/assediar/arremeter/destroçar/molestar/violar/atacar
agrilhoar	algemar
agrupar	reagrupar/classificar/colocar
agrupar-se	reagrupar/classificar/colocar
aguardar	adiar/emboscar/esperar
aguentar	gerenciar/engolir/resistir/aceitar/improvisar/consentir/sobreviver/corresponder/satisfazer
aguçar	sutilizar/focalizar/focar
ajudar	acorrer/respaldar/sanar/endossar/sarar/secundar/socorrer/curar/apoiar/assistir/auxiliar/aprovar/servir/apadrinhar/desenrascar/zelar/beneficiar/facilitar/instigar/socorrer/patrocinar/acelerar/encorajar/promover/apressar/cuidar/estimular/incitar/aliviar
ajuntar	catar/colher/apanhar/respigar/reagrupar/mobilizar/colher/convocar/juntar/reunir
ajustar	condizer/sintonizar/obedecer/domar/domesticar/afinar/naturalizar/cultivar/igualar/corresponder/regular/combinar/aclimar/aclimatar/ambientar/ambientar-se/anglicizar/descompactar/despressurizar/linearizar/readaptar/zerar/adaptar/aprumar/calçadeira/calçar/com/cristianizar/encaixar/enfocar/amansar/conciliar/domesticar/eletrificar/graduar/pressurizar/reconciliar/urbanizar/afinar/alinhar/calibrar/reajustar/focalizar/modular/naturalizar/orientar/proporcionar/compatibilizar/focar/sincronizar/regular/arrumar/temperar/combinar/pôr/colocar
alarmar	acordar
alastrar	publlicar/popularizar/semear/vulgarizar/plantar
alcançar	acessar/culminar/suceder/obter/chegar/encontrar/atingir/achar/começar
alegar	apelar
alegrar	recrear/divertir/animar-se/rejubilar/alegrar-se/exultar/animar
alegrar-se	animar-se/rejubilar/exultar/alegrar/animar
aleijar	lesionar/lesar/ferir/machucar
alentar	conclamar/exortar/recrear/inspirar/divertir/incentivar/alimentar/empolgar/encorajar-se/extroverter/encorajar/incentivar
alertar	ameaçar/alarmar/admoestar/prevenir/avisar/advertir/acordar
alforriar	desencadear/soltar
alhear	desabituar/distanciar/separar
alicerçar	construir
alienar	desabituar/ratear/distanciar/acertar/liquidar/compensar/pagar/separar
alimentar	pastar/aleitar/amamentar/lactar/mal-alimentar/subnutrir/super-alimentar/acionar/nutrir/manejar/regurgitar/injetar/jantar/patrocinar/direcionar/suportar
alinhar	colimar/realinhar/enfocar/focalizar/focar/sincronizar/jogar
alinhar-se	concordar
alinhavar	configurar/confeccionar/confundir/misturar
alisar	arear/lixar/aplainar
alistar	aliciar/angariar/recrutar/engajar
alistar-se	alistar
aliviar	tranqüilizar/aquietar/silenciar/tranquilizar/acalmar/confortar/aquietar/pacificar/acalmar
almejar	exceder
alocar	presentear/realocar/premiar/outorgar/conceder
alongar	prolongar-se/durar/extender/prorrogar/prolongar/esticar
