abaixar	subordinar/subjugar/submeter/dominar
comungar	rezar/orar
comunicar	indagar/anuir/assentir/redigir/solicitar/requisitar/perguntar/requerer/saudar/escrever/pedir/falar/dizer/aforizar/blogar/contactar/contatar/gesticular/infligir/silvar/telecomunicar/telepatizar/assoviar/dialogar/impor/proferir/quitar/assobiar/caçoar/comungar/dirigir-se/gracejar/implantar/compartilhar/ditar/exprimir/verbalizar/acusar/conversar/informar/plantar/sinalizar/alcançar/confirmar/escrever/transmitir/falar/dizer/lançar/passar
conceber	descobrir/achar/pré-conceber/inventar
conceder	cartear/abençoar/bendizer/licenciar/lotear/desculpar/graduar/perdoar/atribuir/conferir/confessar/certificar/formar/outorgar/aplicar/permitir/combinar/dar
conceitualizar	descobrir/achar/pré-conceber/inventar
concentrar	escutar/focar/pensar
concernir	centrar/interessar/valer/comprometer/afetar/aplicar
conchavar	conluiar/conspirar
conciliar	apaziguar/acalmar/ajustar
concitar	desencaminhar/engodar/magoar/ofender/seduzir/incitar/atrair/provocar/esporar/esporear/fomentar/infatuar/reptar/encolerizar/irar/zangar/apaixonar/comover/envergonhar/inflamar/interessar/alfinetar/desconcertar/enraivecer/reacender/emocionar/acender/estimular/incitar/atrair/perturbar/animar/confundir/excitar/superar/pedir/levantar/provocar/tocar
concluir	encerrar/finalizar/acabar/terminar/clausurar/silogizar/universalizar/depreender/elicitar/extrapolar/abortar/generalizar/reajustar/inferir/culminar/deduzir/induzir/extinguir/matar/suspender/finalizar/perceber/resolver/ajustar/interromper/decidir/julgar/acabar/terminar/aceitar/parar/achar
concordar	assemelhar-se/pactuar/assemelhar/firmar/compactuar/conciliar/reconciliar/comprometer/consentir/permitir/parecer/deixar/aquiescer/conivir/convir/homologizar/adaptar-se/adequar-se/assentir/paralelizar/rimar/subscrever/aparentar/compactuar/harmonizar/sucumbir/providenciar/ceder/consentir/compatibilizar/arranjar/corresponder/confirmar/sustentar/resolver/combinar/conceder/concluir/desistir/satisfazer
concorrer	jogar/emular/rivalizar/competir/igualar/correr
concretizar	encarnar/expressar
condenar	recondenar/vaiar/castigar/estourar
condensar	expurgar/encapsular/abreviar
condicionar	mortificar
condimentar	apimentar/resinar/salgar/temperar
conduzir	encabeçar/liderar/comandar/encaminhar/posturar/transviar/reinvindicar/retransmitir/asseverar/gerir/operar/posar/auxiliar/sinalizar/ajudar/guiar/confundir/oferecer/dar/fazer
conectar	correlacionar/correlatar/inter-relatar/inter-relacionar/interconectar/sindicar-se/amordaçar/laçar/mencionar/identificar/referir/amarrar/atar/lembrar
confabular	conversar
confeccionar	tricotar/urdir/assar/cozinhar/fiar/tecer/moldar/forjar/modelar/formar/preparar/crochetar/cunhar/cozinhar/fabricar/formular/acender/amarrar/preparar/fazer
conferir	acarear/espionar/rechecar/reverificar/abençoar/bendizer/licenciar/reexaminar/graduar/cruzar/mirar/formar/observar/corrigir/guardar/olhar/controlar/ver
confessar	descartar/conceder/admitir
confiar	consignar/encarregar/obrigar
confidenciar	consignar/encarregar/obrigar
confinar	emprisonar/encarcerar/engaiolar/incarcerar/aprisionar/prender/agrilhoar/cateterizar/emprisionar/plugar/acorrentar/algemar/contentar/demarcar/lacrar/cercear/delimitar/internar/vedar/aprisionar/injetar/inserir/amarrar/atar/limitar/restringir/forçar/satisfazer/passar
confirmar	validar/demonstrar/homologar/reconfirmar/corroborar/documentar/referendar/justificar/ratificar/validar/verificar/suportar
confiscar	guarnecer
conflagrar	reacender/acender/explodir/pegar
conflitar	colidir
confortar	tranqüilizar/aquietar/silenciar/tranquilizar/acalmar/aquietar/pacificar/acalmar/aliviar
confromar-se	condizer/obedecer/igualar/corresponder/combinar/aclimar/aclimatar/ambientar/ambientar-se/readaptar/enfocar/reajustar/focalizar
confrontar	encarar/enfrentar/opor
confundir	enganar-se/tropeçar/acabrunhar/atabalhoar/ater/descombobular/descontrolar/desorientar/distrair/embaraçar/constrangir/desmoralizar/desnortear/enervar/perplexar/afligir/atordoar/desintegrar/envergonhar/turvar/angustiar/desconcertar/enlamear/doer/embaralhar/atrapalhar/surpreender/desmoronar/machucar/perturbar/irritar/incomodar/pegar
conhecer	realizar/compreender/entender/reviver/acompanhar/provar
conjecturar	afigurar/devanear/envisionar/visionar/fantasiar/retraçar/antever/figurar/imaginar/reconstruir/sonhar/visualizar/formular/prever/desejar/ver
conjeturar	afigurar/devanear/envisionar/visionar/fantasiar/antever/figurar/imaginar/sonhar/visualizar/prever/desejar/ver
conjurar	conluiar/conspirar
conquistar	debelar/abafar/recalcar/silenciar/amortecer/reprimir
consagrar	reconsagrar/rededicar
conseguir	efectuar/efetuar/negociar/suceder/alcançar/obter/realizar/atingir/passar/funcionar/alcançar/atingir
consentir	aturar/tolerar/aguentar/permitir/suportar/concordar/admitir/aceitar/deixar/agüentar/aquiescer/descriminalizar/legalizar/legitimar/aceder/assentir/aturar/confiar/sucumbir/autorizar/tolerar/ceder/aguentar/submeter/permitir/suportar/concordar/desistir
consertar	cerzir/rechear/remendar/renovar
conservar	desidratar/distanciar-se/embalsamar/enlatar/salgar/distanciar/economizar/pressurizar/refrigerar/afastar/poupar/preservar/registar/registrar/continuar/manter
considerar	prezar/respeitar/venerar/coisificar/indentificar-se/reificar/relativizar/desrespeitar/equiparar/idealizar/orçar/premeditar/reconsiderar/abstrair/debater/favorecer/valorizar/capitalizar/identificar/incluir/chamar/contemplar/gostar/planejar/brincar/observar/apreciar/decidir/julgar/admitir/esperar/receber/ver/manter/fazer
consignar	empenhar/despachar/deixar
consolar	tranqüilizar/aquietar/silenciar/tranquilizar/acalmar/aquietar/pacificar/acalmar/aliviar
consolidar	endurecer
conspirar	conluiar
conspurcar	malignar/difamar/assassinar
constatar	apreçar/testar
consternar	desestimular/deprimir
constituir	nomear/adicionar
constrangir	disconcertar/tolher/confundir
construir	erigir/tricotar/urdir/assar/cozinhar/fiar/tecer/moldar/reproduzir/forjar/gerar/modelar/formar/estabelecer/preparar/criar/trazer/fazer/customizar/generar/reerguer/subproduzir/crochetar/cunhar/personalizar/pre-fabricar/superproduzir/cozinhar/publicar/reconstruir/editar/elaborar/fabricar/laminar/refazer/imprimir/pulsar/remodelar/canalizar/formular/acender/amarrar/gravar/preparar/fazer
consumir	deglutir/ingurgitar/luxuriar/papar/fumar/beber/engolir/comer/experimentar/provar/tomar/fartar/locupletar/canibalizar/drenar/drogar/malhar/saciar/sorver/hospedar/beber/exaurir/enxugar/esgotar/comer/satisfazer/tomar/encher/queimar/usar/tocar
contabilizar	cobrar/creditar/debitar
contagiar-se	contrair/pegar
contaminar	poluir/infetar/infectar/lambuzar/enlamear/sujar
contar	divagar/remarcar/descerrar/enunciar/reparar/retrucar/divulgar/notar/articular/somar/cobrar/comentar/mencionar/replicar/vocalizar/responder/adicionar/revelar/dizer/censear/creditar/prefaciar/recensear/redizer/sumariar/debitar/dedurar/denotar/pressagiar/reapresentar/reiterar/sumarizar/acrescer/evidenciar/narrar/propagandear/recontar/relatar/resumir/preceder/sugerir/sinalizar/acrescentar/prever/repetir/introduzir/adicionar/explicar/revelar/anunciar/apresentar/indicar/transmitir/declarar/representar/dar
contemplar	ponderar/questionar/perguntar/introspectar/premeditar/teologizar/cogitar/entreter/ponderar/refletir/julgar/pensar/considerar
conter	denegar/abranger/constrangir/privar/incluir/proibir/negar/recusar/restringir/rejeitar/compreender/ter/circundar/englobar/subsumir/abarcar/acarretar/refrear/delimitar/domar/estorvar/inibir/involver/subordinar/tolher/obstruir/confinar/impedir/sentar/imobilizar/incluir/acomodar/bloquear/classificar/reprimir/suprimir/limitar/marcar/regular/congelar/restringir/reter/guardar/compreender/controlar/prender/segurar/ligar/reduzir
contestar	apelar/desafiar/disputar
continuar	persistir/abranger/perseverar/prolongar/alongar/sustentar/atravessar/capengar/perdurar/perpetuar/cometer/esparramar/mumificar/retomar/sobrepor/valer/passear/praticar/recomeçar/varrer/conservar/prosseguir/permanecer/estar/espalhar/dirigir/estender/seguir/ficar/cobrir/ir/manter
contornar	enclausurar/franjar/cingir/cercar
contradizer	negar/enjeitar/refutar/invalidar/repudiar
contrair	asfixiar/estrangular/endoidecer/franzir/pirar/convulsionar/flexionar/estrangular/pegar
contrair-se	flexionar
contrapor	contrapesar/conflitar/contrabalancear
contrapor-se	contrapesar/conflitar/contrabalancear
contrariar	decepcionar/desapontar/desiludir
contrastar	contrapesar/conflitar/contrabalancear
contratar	subcontratar/arrendar/estipular/fretar/preencher/alugar/assinar/empregar
contribuir	instilar/combinar
controlar	instigar/conquistar/sufocar/reprimir/suprimir/limitar/restringir/conter/provocar/acarear/avionar/debelar/rechecar/reverificar/revezar/abafar/discar/pedalar/pilotar/reexaminar/retransmitir/abnegar/abster/espiar/mortificar/recalcar/silenciar/crucificar/subjugar/amortecer/cruzar/bajular/conferir/desanimar/sincronizar/voar/reprimir/limitar/exibir/recusar/corrigir/restringir/treinar/girar/dirigir/conduzir
contundir	machucar
convencer	desarmar
convergir	concentrar-se/contrair-se
conversar	cochichar/balbuciar/rosnar/sussurrar/resmungar/discutir/murmurar/berrar/cantar/gritar/abrir-se/argüir/boquejar/lamuriar/maldizer/papear/praguejar/presentar/prosear/balbuciar/blasfemar/entrevistar/gaguejar/ladrar/sibilar/bradar/debater/exclamar/fofocar/generalizar/proclamar/pronunciar/vociferar/choramingar/discutir/ralar/arguir/confabular/modular/murmurar/tagarelar/verbalizar/questionar/vocalizar/berrar/reclamar/apresentar/falar/começar
converter	caramelar/catolizar/feudalizar/humificar/lenhificar/lignificar/melanizar/novelizar/ozonizar/proselitar/reconverter/romancear/adubar/captar/caramelizar/cristianizar/enfarinhar/evangelizar/fictionalizar/fossilizar/islamizar/mineralizar/opalizar/queratinizar/codificar/curtir/latinizar/nitrificar/capitalizar/catequizar/verbalizar/imobilizar/recuperar/utilizar/retificar/receber
convidar	empossar/paquerar/ascender/desafiar/induzir/tentar/cantar/atrair/admitir
convocar	bipar/acenar/mobilizar/citar/chamar/reunir
coordenar	engrenar/estruturar/organizar
copiar	clonar/macaquear/emular/escarnecer/traçar/zombar/imitar
copular	deflorar/desflorar/desvirginar/foder/fornicar/pinar/meter/sodomizar/transar/trepar/montar/comer/cobrir
correr	concorrer/disputar/entornar/verter/derramar/esfregar/borbotar/esguichar/segregar/classificar-se/colocar-se/escoar/manar/redemoinhar/arremeter/fluir/jorrar/minar/regurgitar/percolar/permear/acelerar/patinar/circular/disparar/girar
corresponder	assemelhar-se/assemelhar/parecer/convir/homologizar/adaptar-se/adequar-se/paralelizar/rimar/aparentar/harmonizar/compatibilizar/confirmar/sustentar/escrever/combinar/concordar/satisfazer
corresponder-se	escrever
corrigir	sintonizar/afinar/regular/ajustar/debug/descompactar/despressurizar/expiar/linearizar/rectificar/zerar/aprumar/conciliar/graduar/pressurizar/reconciliar/urbanizar/afinar/alinhar/calibrar/reajustar/focalizar/modular/proporcionar/redimir/compatibilizar/focar/sincronizar/retificar/regular/ajustar/arrumar/temperar/combinar
corroborar	validar/demonstrar/documentar/referendar/validar/verificar/confirmar/suportar
corromper	abastardar/sensualizar/envenenar/pagar
cortar	rascar/coçar/decepar/raspar/picar/brocar/cinzelar/cisalhar/cubificar/dissecar/fatiar/filetar/foiçar/gadanhar/limar/machadar/picotar/segar/serrar/tosar/tosquiar/ceifar/desbravar/estampar/lascar/manicurar/ripar/talhar/abater/decepar/esculpir/podar/roçar/sulcar/alisar/recortar/perfurar/picar/cavar/furar/derrubar/dividir/separar
costumar	cauterizar
cotar	manipular
cozer	queimar
cozinhar	preservar/conservar/cozer/escalfar/flambar/frigir/gratinar/acastanhar/dourar/fornear/fritar/refogar/tostar/assar/grelhar/improvisar/estufar/torrar
coçar	arranhar
cravar	afixar/selar
creditar	financiar
crer	engulir/inferir/depender/engolir/acreditar/entender/cair
crescer	germinar/prolongar/florescer/expandir/subir/aumentar/acirrar/altear/conglomerar/desgalhar/elevar-se/hipertrofiar/irmanar/irmanar-se/proliferar/ramificar-se/desabrochar/emplumar/revalorizar/acrescer/aglomerar/amontoar/aprofundar/ramificar/enraizar/progredir/somar/vegetar/folhear/intensificar/alongar/expandir/acumular/acrescentar/esticar/ganhar/adicionar/apreciar/desenvolver/subir/aumentar
criar	concitar/elicitar/engendrar/filmar/pincelar/pintar/procriar/recriar/reproduzir/copiar/gerar/compor/formar/escrever/estimular/incitar/desenvolver/organizar/dirigir/trazer/provocar/fazer/customizar/dinamitar/generar/hibridizar/instaurar/reinventar/subproduzir/usinar/coreografar/edificar/fender/instituir/pre-fabricar/superproduzir/alinhavar/atalhar/concretizar/confeccionar/estilizar/imaginar/manufaturar/publicar/riscar/arquitetar/conceber/derivar/destilar/editar/elaborar/fabricar/laminar/originar/procriar/puncturar/recortar/recriar/refazer/reproduzir/substanciar/cruzar/desenhar/imprimir/pulsar/remodelar/verbalizar/adotar/gerar/extrair/montar/causar/compor/produzir/regenerar/estabelecer/gravar/preparar/arrumar/explodir/furar/executar/construir/realizar/iniciar/trazer/provocar/reunir/começar/dar/cortar/fazer
cricrilar	gorjear/guinchar/pipilar/piar
criminalizar	proibir
criminar	recriminar/acusar/repreender
criticar	delatar/culpar/denunciar/acusar/censurar/repreender/esculhambar/verberar/deplorar/descompor/desmerecer/reprimendar/agredir/arbitrar/crucificar/depreciar/minimizar/reprovar/censurar/condenar/desvalorizar/repreender/reprimir/atacar
cronificar	antedatar
crucificar	acossar/manietar/chatear/mortificar/amolar/enfurecer/incomodar
cruzar-se	compartilhar/cruzar
cuidar	jardinar/paparicar/superproteger/administrar/ministrar/remoer/coordenar/gerenciar/gerir/processar/providenciar/preocupar-se/lidar/tratar/organizar/criar/controlar/dirigir/usar/conduzir
cuidar-se	barbear-se/barbear/raspar/ataviar/maquilar/pentear/manicurar/maquiar/perfumar/barbear/desembaraçar/produzir/vestir/arrumar/lavar/limpar
cultivar	produzir/fazer/sofisticar
cumprimentar	despidir/recepcionar/acolher/convidar/saudar/indicar/receber
cumprir	bastar/consumar/desempenhar/executar/realizar/servir/cobrir/fazer
curar	granular/recuperar
cursar	preparar-se/exercitar/praticar/decorar/treinar
curvar	acovardar/acovardar-se/debruçar/agachar/inclinar/dobrar/arquear/encurvar/recurvar/dobrar
curvar-se	genuflexar/ajoelhar/cortejar
cuspir	tossir
custear	liquidar
custodiar	patrulhar/policiar
cutucar	acotovelar
danificar	deteriorar/estragar/avacalhar/atribular/avariar/erodir/afligir/desfigurar/falir/mutilar/corroer/magoar/deteriorar/estragar/piorar/comer/machucar/queimar/partir/mudar/quebrar
dançar	break-dance/sambar/sapatear/suingue/valsar/transar/chutar
dar	contagiar/legar/arrendar/emprestar/infetar/prestar/doar/infectar/alugar/prover/abastecer/dispensar/distribuir/fornecer/suprir/submeter/pagar/deixar/entregar/passar/comissionar/desobrigar/frutar/gratificar/incumbir/provisionar/rifar/adjudicar/confidenciar/cotar/dotar/lembrar-se/render-se/submeter-se/agregar/confiar/depositar/possibilitar/repagar/sucumbir/contribuir/financiar/livrar/providenciar/alienar/ceder/frutificar/proporcionar/prover/transferir/abastecer/lidar/fornecer/renunciar/retornar/vender/outorgar/submeter/permitir/abrir/combinar/conceder/lembrar/soltar/desistir/pagar/transmitir/liberar/oferecer/servir/abandonar/deixar/entregar/passar/manter
datar	cronificar
debater	altercar/indispor-se/opor-se/querelar/porfiar/opor/disputar/brigar
debilitar	emaciar/amolecer/refinar
debitar	cobrar
debruçar	declivar/reclinar/inclinar
debulhar	chicotear
decair	degenerar/degradar/deteriorar/piorar/destruir/quebrar/adoecer/adoentar/retrogredir/inflamar/corroer/privar/piorar/desmoronar/sofrer/desaparecer
decapitar	guilhotinar
decepar	laminar/picar
decepcionar	desapontar/desencantar/desiludir/trair/falhar
decidir	seleccionar/adjudicar/selecionar/julgar/escolher/concertar/propor-se/silogizar/depreender/mensurar/regulamentar/regularizar/decretar/generalizar/reajustar/fechar/inferir/medir/orientar/selar/deduzir/induzir/perceber/resolver/ajustar/apagar/conceder/concluir/julgar/achar
declarar	depor/pleitear/veicular/aconselhar/indiciar/advogar/exclamar/proclamar/promulgar/denunciar/acusar/confessar/sugerir/propor/reconhecer/admitir/beatificar/editorializar/sentenciar/abastardar/argumentar/canonizar/formalizar/jurar/oficializar/opinar/postular/asseverar/decretar/professar/promulgar/pronunciar/santificar/apelar/consagrar/prometer/revogar/rotular/testemunhar/condenar/anular/cancelar/certificar/fingir/pretender/afirmar/decidir/julgar
declinar	transcorrer/descer/baixar/diminuir/cair
declivar	cair/subir
decorar	ajardinar/bordar/encrustar/entubar/esmaltar/festonar/incrustar/lantejoular/miçangar/recamar/emplumar/foliar/redecorar/alternar/enfeitar/ornamentar/iluminar/ilustrar/espetar/colorir/pendurar/trançar/adornar
decrescer	encolher/amainar/definhar/contrair-se/murchar/abater/amenizar/desacelerar/encolher/enrugar/declinar/contrair/desvalorizar/minguar/enfraquecer/baixar/desaparecer/reduzir/diminuir
decretar	legislar/redecretar/promulgar/derrotar/derrubar/ordenar
dedicar	rededicar/consagrar
deduzir	silogizar/universalizar/depreender/elicitar/extrapolar/generalizar/inferir/induzir/perceber/concluir/achar
defender	salvaguardar/justificar/assegurar/perdoar/proteger/racionalizar/salvar/explicar/guardar/resistir/segurar/emparedar/imunizar/obstinar-se/protejer/recalcitrar/acolher/vindicar/proteger/cercar/repelir/enfeitiçar/preservar/suportar/guiar/conter/resistir/cobrir/conduzir/manter
deferir	endorsar/apoiar/confirmar/aprovar
definir	redefinir
deformar	flexionar/torcer/convoluir/granar/vergar/achatar/indentar/desdobrar/granular/afiar/curvar/amassar/apontar/esticar/dobrar/torcer/enrolar/estender
defraudar	roubar/charlatanear/fraudar/calotear/vitimizar/vitimar/trapacear
defrontar	encarar/enfrentar/opor/confrontar
degelar	descongelar
degenerar	enlanguescer/fatigar/apodrecer
deglutir	devorar
degolar	guilhotinar
degradar	desumanizar/enlanguescer/fatigar/apodrecer/desvalorizar/rebaixar/reduzir
deificar	divinizar/glorificar
deitar	botar/sepultar/soterrar/enterrar
deitar-se	prostar
deixar	desamparar/aturar/demitir-se/quitar/desertar/resignar/tolerar/aguentar/renunciar/suportar/admitir/aceitar/abandonar/afastar-se/agüentar/ausentar-se/descriminalizar/enviuvar/legalizar/legitimar/aposentar-se/aturar/lembrar-se/retirar-se/confiar/desconectar/libertar/autorizar/desencadear/tolerar/aguentar/tornar/permitir/suportar/lembrar/soltar/desistir/sair/liberar/levar/parar/partir/abandonar
dejectar	desestimular/deprimir
dejetar	desestimular/deprimir
delapidar	indulgir/dissipar/esbanjar/desperdiçar
delatar	reprovar/condenar/desaprovar
delegar	avançar/promover/escolher/deputar/despromover/mandatar/redesignar/relegar/remanejar/demover/encarregar/arregimentar/contratar/transferir/passar
deleitar	manipular/manter
deletar	retirar/cortar/desmagnetizar/apagar
deliberar	premeditar/debater/decidir/ver
deliciar	manipular/manter
delinear	contornar/inscrever/escrever/construir
delongar	segurar
demandar	exigir/requerer/custar/comandar/querer/pedir/desejar
demilitarizar	neutralizar
demitir	desempregar/destituir/despedir/enxotar/aposentar/despedir/expulsar/tirar
demitir-se	aposentar-se/abdicar/exonerar-se/resignar/renunciar/cair
demolir	arrasar
demonstrar	autenticar/estultificar/notarizar/provar-se/contradizer/esclarecer/condenar/negar/provar/refletir
demover	decepcionar/desapontar/desiludir/reduzir
denegrir	malignar/difamar/assassinar
denominar	alcunhar/baptizar/intencionar/rebaptizar/rebatizar/apelidar/intitular/numerar/renomear/batizar/rotular/referir/classificar/nomear
denotar	identificar/nomear/agourar/eufemizar/prefigurar/sofismar/augurar/prenunciar/pressagiar/profetizar/vaticinar/desvirtuar/assinalar/distorcer/prognosticar/exprimir/predizer/retornar/sinalizar/expressar/prever/aplicar/torcer/lembrar/indicar/usar
denunciar	tributar/queixar/taxar/reprovar/condenar/desaprovar/reclamar
departir	decolar
depenar	descamar/descamar-se
deplorar	anatematizar/abominar/execrar/amaldiçoar
depravar	abastardar/sensualizar/envenenar
depreciar	deflacionar/derrogar/descreditar/desinchar/desabonar/desprestigiar/denegrir/desonrar/desacreditar/danificar/minimizar/destruir
depreender	elicitar/extrapolar
deprimir	desestimular
derivar	etimologizar
derramar	gotejar/salpicar/pingar/espalhar/decantar/respingar/transvazar/infestar/saraivar/vazar/verter/jogar/servir
derrapar	patinar
derreter	descongelar/clarificar/fundir
derribar	revolucionar
derrotar	sobrepujar/sacanear/trapacear/ultrapassar/exceder/vencer/superar/roubar/bater/demolir/expelir/subjugar/triunfar/ultrapassar/conquistar/imobilizar/sobreviver/eliminar/vencer/superar/destruir
derrubar	soçobrar/revolucionar/virar/cortar
desabar	encolher/amainar/definhar/implodir/contrair-se/murchar/abater/amenizar/decrescer/desacelerar/encolher/enrugar/declinar/contrair/desvalorizar/minguar/afundar/enfraquecer/baixar/desaparecer/reduzir/diminuir
desabilitar	deter/confinar/reter/prender/manter
desabrochar	florescer
desacatar	sabotar/solapar/enfraquecer/resistir/ocupar
desacelerar	atrasar/comedir/retardar/entupir/atrasar/moderar
desacreditar	duvidar/desconfiar/desmascarar
desactivar	entorpecer/paralisar
desafiar	desencaminhar/engodar/seduzir/incitar/atrair/resistir/accionar/ajuizar/esporar/esporear/fomentar/litigar/qüestionar/reptar/acionar/concitar/apelar/processar/perguntar/estimular/incitar/provocar
desagradar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/irritar/incomodar/descontentar/rechaçar/repulsar/repelir
desaguar	salpicar/espalhar/saraivar/vazar/jogar
desalojar	desmontar/derrubar
desamarrotar	lacerar
desamparar	encalhar/largar/abandonar/deixar
desandar	destruir
desanimar	dejectar/dejetar/desentusiasmar/consternar/desestimular/desmoralizar/esmorecer/deprimir/desencorajar/intimidar
desaparecer	caldear/ausentar/desmaterializar/esvanecer/falecer/clarear/morrer/limpar/ir/diminuir
desapontar	desencantar/desiludir/trair/falhar
desaprovar	objectar/desanimar/desencorajar/depreciar/desencorajar
desarmar	demilitarizar
desatar	desencadear
desatender	preterir
desativar	entorpecer/deter/paralisar/confinar/reter/prender/manter
desavantajar	dificultar/prejudicar
descansar	ajoelhar-se/levantar/bundar/capotar/sonecar/vagabondear/hibernar/preguiçar/dormir/dormitar/cochilar
descartar	debochar/alijar/desabonar/desfazer-se/desprestigiar/desaprender/desacreditar/esnobar/enterrar/liquidar/abandonar
descascar	esfolar
descentralizar	federalizar
descer	naufragar/afundar/derrubar/pôr/cair/apear/apear-se/rappel/gotejar/polvilhar/tombar/desmontar/pingar/pousar/desembarcar/decair/declinar/precipitar/mergulhar/afundar/corrigir/cair
descerrar	confidenciar/tagarelar/trair/revelar/mostrar/falar/virar
descobrir	constatar/averiguar/apreçar/descortinar/redescobrir/reencontrar/descerrar/instanciar/desenterrar/aprender/testar/expor/escavar/localizar/exibir/sentir/revelar/mostrar/entender/sacar/pegar
descolar	cair/cortar
descolorir	enrubescer/rosar/ruborizar/corar/avermelhar/acinzentar/alvejar/azular/branquear/embranquecer/empalidecer/empretecer/encanecer/enegrecer/esverdear/amarelar/corar/vermelhar/avermelhar/bronzear/tingir/oxigenar/clarear/queimar
descompactar	puncturar/furar
descompor	castigar
desconcentrar	federalizar
desconcertar	decepcionar/desapontar/desiludir/acabrunhar/descombobular/descontrolar/embaraçar/constrangir/desnortear/enervar/afligir/desintegrar/envergonhar/angustiar/doer/desmoronar/machucar/perturbar/escapar
desconectar	desvincular/destacar/separar
desconfiar	duvidar
desconsiderar	debochar/desabonar/desprestigiar/desacreditar/esnobar
descontar	liquidar/dar
descontinuar	aposentar-se/retirar-se/desistir/parar/abandonar
descontrair	vegetar
descontrolar	brochar/desanimar
descrer	duvidar/desconfiar
descrever	adumbrar/rascunhar/esboçar/delinear
descriminalizar	monetizar
descuidar	negligenciar
desculpar	escusar/perdoar/exonerar/eximir/absolver/escusar/perdoar/liberar
descurar	negligenciar
desdenhar	menosprezar
desdizer	contradizer/negar
desdobrar	quarar
desejar	ansiar/suspirar/ambicionar/cobiçar/esperançar/invejar/agradar/aguardar/perseguir/pretender/querer/esperar/procurar
desembarcar	encalhar
desempenhar	actuar/atuar/representar/tocar/fazer/estreiar/declamar/ensaiar/estrelar/protagonizar/improvisar/interpretar/performar/exercitar/praticar/recitar/reger/aparecer/atuar/executar/conduzir
desempregar	aposentar/despedir
desencaminhar	engodar/seduzir/atrair
desencorajar	dejectar/dejetar/desentusiasmar/consternar/desestimular/desmoralizar/esmorecer/deprimir/desanimar/intimidar
desenfatizar	reduzir
desenhar	plotar/diagramar/bosquejar/pautar/redesenhar/engendrar/sombrear/rascunhar/conceber/traçar/delinear/projectar/projetar/planejar
desenrolar	separar
desensitivizar	estupidificar/imbecilizar/anestesiar/entontecer/atordoar/ensurdecer
desenvolver	amadurecer/envelhecer/estabelecer/adolescer/desdobrar-se/evoluir/florir/gomar/incubar/rebentar/desabrochar/porvir/envelhecer/favorecer/derivar/especializar/florescer/progredir/avançar/acumular/diferenciar/crescer/construir
desertar	encalhar/largar/abandonar/deixar
desesperar	desencorajar-se/desesperar-se/dissolver/desmoronar/morrer
desestimular	dejectar/dejetar/desentusiasmar/consternar/desmoralizar/esmorecer/deprimir/desanimar/desencorajar/intimidar
desfavorecer	dificultar/prejudicar
desfazer	desabotoar/desengatar/desamarrar/desemaranhar/desembaralhar/deslindar/desconectar/desembaraçar/desatar/desdobrar/desenrolar/desligar/abrir/destruir
desfiar	rasgar
desfrutar	distrair-se/divertir-se
desgostar	agastar/aporrinhar/vexar/detestar/odiar/chatear/ressentir/aborrecer/amolar/molestar/importunar/perturbar/irritar/incomodar/rechaçar/repulsar/desagradar/repelir
desgrudar	cair/cortar
designar	nominar/propor/apresentar/intencionar/numerar/dedicar/rotular/classificar
desiludir	desapontar/desencantar/trair/falhar
desimpedir	aliviar/purificar/limpar
desinfectar	antisepticizar/clorinar/esterilizar
desinfetar	antisepticizar/clorinar/esterilizar
desinformar	mentir/exagerar/enganar/trair/aumentar/embromar/prevaricar/tergiversar/mentir/enrolar
desintegrar	arrebentar/esmiuçar/desfazer-se/deslindar/desfiar/pulverizar/desmoronar
desistir	renunciar/abandonar/deixar/aceder/aposentar-se/render-se/retirar-se/submeter/parar/abandonar/cair
desleixar	negligenciar
desligar	destrancar/destravar
deslizar	resvalar/derrapar/escorregar/patinar/surfar/derrapar/planar/serpentear/patinar
