abandonar	perder
aperceber	enxergar/ouvir/doer/escutar/cheirar/sentir/olhar/ver/avistar/divisar/sonhar/perceber/ver
aperceber-se	enxergar/ouvir/doer/escutar/cheirar/sentir/olhar/ver/avistar/divisar/sonhar/perceber/ver
aperfeiçoar	reparar/emendar/lustrar/consertar/polir/refinar/embonecar/perfazer/atenuar/empetecar/amenizar/embelezar/polir/acordar/resolver/aliviar/melhorar
apertar	comprimir/contrair
apinhar	pulular
aplainar	rolar
apoiar	acorrer/socorrer/assistir/auxiliar/ajudar/encorajar/promover/estimular
apontar	direcionar/dirigir
aporrinhar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar
apostar	jogar
apreciar	reconhecer
apresenta	possuir/portar/ter/carregar
apresentar	manifestar/demonstrar/expor/exibir/revelar/descobrir/mostrar/trazer/tocar/mostrar
apressar	correr/acelerar/correr
apressar-se	correr
aprofundar	agilizar/acelerar/apressar
aprovar	consentir/permitir/deixar
aproximar	estimar
aprumar	levantar-se
aquecer	tostar
arranjar	regularizar/alienar/dispor/arrumar/ordenar
arredar	arrastar/tremer
arruinar	destruir
arrumar	organizar
arrumar-se	caber/vestir/pôr/usar/trocar/colocar/mudar
articular	enrolar
ascender	galgar/trepar/montar/subir/emergir
assaltar	sitiar/cercar/emboscar/invadir/ocupar
assear	lavar/desinfectar/desinfetar/escovar/varrer
assemelhar	copiar/imitar
assemelhar-se	assemelhar/copiar/imitar
assessorar	exortar/impelir/urgir
assinalar	cadastrar/ler/mostrar/registrar
assistir	facilitar/aliviar
associar	namorar/mencionar/referir/acompanhar
associar-se	unificar/reunir
atacar	sitiar/cercar/emboscar/invadir/ocupar
atar	amarrar
atingir	efectuar/efetuar/alcançar/obter/realizar/desempenhar/chocar/colidir/cumprir/realizar/bater
atrapalhar	entravar/estorvar/tolher/impedir/defender/reter/evitar
atravessar	correr
atribuir	alocar
atuar	atrever/atrever-se/ousar/participar/virar-se/voluntariar/compartilhar/aguentar/lidar/sobreviver/tentar/procurar/oferecer/efectivar/interagir/perpetrar/proceder/atrever/atrever-se/cometer/efectuar/efetivar/ousar/reiterar/comportar-se/disturbar/esfriar/performar/retratar/reagir/aguardar/efetuar/personificar/simular/acelerar/conquistar/lidar/apressar/endurecer/prosseguir/surpreender/fingir/repetir/permanecer/interromper/perturbar/reter/adquirir/criar/esperar/resistir/continuar/correr/seguir/representar/conduzir/começar/fazer
aumentar	florescer/expandir/subir/conglomerar/proliferar/acrescer/aglomerar/amontoar/aprofundar/progredir/somar/intensificar/alongar/elevar/expandir/acumular/acrescentar/adicionar/crescer/desenvolver
auxiliar	facilitar/aliviar
avaliar	hierarquizar/ranquiar/antecipar/medir/classificar/estimar/pensar/achar/enaltecer/imputar/elogiar/ensaiar/louvar/atribuir/testar/tentar/estimar/planejar/aprovar/rejeitar/julgar/admitir/declarar/aceitar/considerar
avariar	deteriorar/estragar/falir/queimar
aviltar	degradar/desvalorizar/rebaixar
avisar	exortar/impelir/urgir/alarmar/alertar
avistar	ver
bagunçar	abagunçar/desorganizar
baixar	naufragar/afundar/apear/apear-se/desmontar/afundar/cair
balizar	hierarquizar/ranquiar/antecipar/medir/classificar/estimar/avaliar/pensar/achar/imputar/ensaiar/atribuir/testar/tentar/aprovar/rejeitar/julgar/declarar/aceitar
bastar	qualificar-se/qualificar/servir
bater	prensar/golpear/afagar/colidir/pressionar/apertar/chutar/atingir/golpear/roçar/manusear/acertar/chocar/colidir/raspar/tocar
beber	bebericar/sorver/sugar/chupar
berrar	esganiçar/gritar
botar	deitar/semear/instalar/dispor/plantar/arranjar/pôr/colocar/estacionar/posicionar/instalar/posar/sentar-se/assentar/sentar/situar/acumular/sinalizar/erguer/pôr/levantar
brigar	resistir/aguerrir/combater/guerrear/digladiar/assaltar/batalhar/lutar/atacar
buscar	vasculhar/revirar/procurar
caber	ajustar/experimentar
cair	naufragar/afundar/apear/apear-se/chover/desmontar/afundar
calcular	cobrar/subtrair/aproximar/adivinhar/deduzir/chutar/estimar/avaliar/julgar/dividir
caminhar	engatinhar/gatinhar/rastejar/rastejar-se/serpear/vadiar/vagabundear/vaguear/boiar/pisar/ascender/escorregar/nadar/errar/passear/perambular/vagar/deslizar/voar/apressar/acompanhar/atravessar/dirigir/correr/seguir/ir/andar/subir/passar/apressar-se/coxear/despachar-se/esgueirar/esquiar/mancar/vadear/cavalgar/desfilar/progredir/avançar/marchar/perambular/perseguir/tropeçar/vagar/acelerar/rodar/apressar/descer/montar/prosseguir/baixar/circular/viajar/atravessar/espalhar/vir/continuar/seguir/ir/andar/passar/cair
canalizar	estacionar
cantar	trautear/cantarolar/trinar
capturar	apreender/agarrar/prender/segurar/raptar/seqüestrar/sequestrar/agarrar/segurar/pegar
caracterizar	distinguir/diferenciar/marcar
caraterizar	distinguir/diferenciar/marcar
carregar	deitar/semear/instalar/dispor/plantar/arranjar/pôr/colocar/aerotransportar/estacionar/posicionar/instalar/posar/sentar-se/assentar/sentar/situar/acumular/sinalizar/erguer/pôr/levantar
castigar	executar
categorizar	classificar
causar	recriar/copiar/desovar/ocasionar/pioneirar/adjudicar/edificar/empreender/concretizar/confeccionar/imaginar/fabricar/procriar/recriar/reproduzir/substanciar/efetuar/verbalizar/gerar/outorgar/produzir/preparar/construir/realizar/criar/iniciar/provocar/dar/fazer
ceder	comissionar/desobrigar/incumbir/confidenciar/confiar/livrar/alienar/transferir/renunciar/desistir/transmitir/liberar/abandonar/deixar/entregar/dar
celebrar	curtir
centrar	focar
cerrar	bater/tirar
cessar	desistir/acabar/terminar/parar/abandonar
chamar	baptizar/batizar
chatear	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar
checar	espionar/mirar/observar/guardar/olhar/ver
cheirar	tresandar/recender/feder
choramingar	lacrimejar/gemer
chorar	lacrimejar/gemer/choramingar
chutar	estimar
citar	desenterrar/apresentar/levantar
classificar	denominar/chamar/nomear
cobrar	arrecadar/coletar
cobrir	embrulhar/pintar/embalar/encadernar/revestir/inundar/submergir/aplicar/colocar
cochilar	capotar/sonecar/dormir/dormitar
codificar	criptografar/encriptar
