abandonar	perder
estreitar	comprimir/contrair
estremecer	tremelicar/tiritar/tremer
estressar	alongar/esticar/estender
esvaziar	drenar/escoar
evadir-se	foragir/escapulir/fugir/escapar
evaziar	drenar
evitar	entravar/estorvar/tolher/impedir/atrapalhar/defender/reter
exacerbar	irritar
exaltar	alentar/encorajar
examinar	comparar/escrutinar/inspeccionar/analizar/revistar/apurar/vistoriar/averiguar/checar/investigar/pesquisar/conferir/inspecionar/buscar/procurar
excitar	atemorizar/amedrontar/assustar/aterrorizar/intimidar/inspirar/intoxicar/exaltar/elevar/convidar/tentar/animar/provocar
executar	enforcar/ensaiar/improvisar/desempenhar/exercitar/cumprir/praticar/realizar
exercer	oficiar/funcionar
exibir	mostrar
exigir	requerer/custar
existir	imperilar/perigar/ameaçar/arriscar/habitar
expandir	entumescer/inflar/inchar
expandir-se	inflar/inchar/encher
expedir	aviar/despachar/enviar
experienciar	aproveitar/ter
experimentar	arrepender/arrepender-se/lamentar/regozijar/regozijar-se/alegrar-se/aproveitar/enraivecer/entreter/alegrar/arder/contrair/sustentar/sofrer/guardar/ter/considerar/manter
expirar	afogar-se/afogar/tombar/cair
explicar	elocubrar/descrever/elaborar/expandir/expor/elucidar/esclarecer
explorar	minerar/minar/escavar
expor	mostrar
expressar	acentuar/pontuar/enfatizar/contar/falar/dizer/soltar/desejar/falar/dizer/representar
exprimir	acentuar/mensurar/pontuar/quantificar/enfatizar/contar/falar/dizer/soltar/desejar/falar/dizer/representar
expulsar	ejetar/excluir/dividir/separar
fabricar	cozinhar/moldar/forjar/modelar/formar/preparar
falar	cochichar/balbuciar/retrucar/sussurrar/resmungar/discutir/murmurar/replicar/berrar/cantar/responder/gritar/prefaciar/balbuciar/dialogar/gaguejar/ladrar/bradar/proclamar/vociferar/discutir/murmurar/preceder/tagarelar/conversar/reclamar/introduzir/anunciar/apresentar/enrolar/declarar/representar
falecer	afogar-se/afogar/tombar/cair
falhar	borrar/ferrar/estourar/arruinar/queimar
fazer	atrever/atrever-se/ousar/participar/pincelar/virar-se/voluntariar/compartilhar/pintar/recriar/reproduzir/aguentar/copiar/lidar/sobreviver/tentar/soar/criar/procurar/oferecer/tocar/batucar/borburar/desovar/efectivar/interagir/ocasionar/perpetrar/pioneirar/proceder/tique-taque/atrever/atrever-se/buzinar/chocalhar/cometer/edificar/efectuar/efetivar/empreender/ensaiar/ousar/ratear/reiterar/ronronar/sussurrar/apitar/assobiar/borbulhar/comportar-se/concretizar/confeccionar/disturbar/ecoar/imaginar/improvisar/performar/publicar/retratar/editar/exercitar/fabricar/procriar/reagir/recriar/reproduzir/substanciar/aguardar/efetuar/imprimir/personificar/praticar/ressoar/reverberar/verbalizar/acelerar/gerar/lidar/apressar/prosseguir/surpreender/causar/produzir/repetir/parir/permanecer/preparar/interromper/perturbar/reter/soar/construir/realizar/criar/esperar/iniciar/resistir/continuar/correr/ter/seguir/provocar/representar/conduzir/começar/dar/bater
fechar	bater/tirar
fecundar	emprenhar/engravidar
feder	tresandar
ferir	lesionar/lesar/machucar/atropelar/estirar/tirotear/arranhar/raspar/puxar/atirar
fertilizar	emprenhar/engravidar
ficar	caber/ajustar
figurar	desenhar/pintar/representar
finalizar	encerrar/acabar/terminar/abortar/cumprir/efetuar/suspender/resolver/interromper/decidir/executar/concluir/desistir/realizar/acabar/terminar/aceitar/parar/abandonar/atingir
fingir	simular
fixar	trancar/pendurar/implantar/conectar/pendurar/amarrar/atar/forçar/ligar/colocar
fluir	correr
forjar	plasmar/amoldar/martelar/moldar/fundir/modelar/transformar
formar	plasmar/achatar/amoldar/retorcer/aplainar/moldar/enxugar/forjar/fundir/modelar/torcer/transformar
fornecer	apetrechar/aparelhar/equipar/suprir/servir/dar/abrigar/amparar/mobiliar/armar/despejar/prover/derramar/suprir/ajudar/satisfazer/alimentar/servir/dar
forçar	coagir/compelir/obrigar/propulsionar/empurrar
fracassar	borrar/ferrar/arruinar
fragmentar	triturar/moer/ranger
fugir	foragir/escapulir/escapar/evadir-se/escapar
funcionar	desdobrar/servir
furar	perfurar/atravessar
gastar	delapidar/dilapidar/esbanjar/desperdiçar/torrar/dispor/consumir/investir/poder
gesticular	anuir/curvar-se/inclinar-se/acenar
girar	rodar/enrolar
golpear	chutar/bater
governar	gerir/reinar/reger/manobrar/canalizar/lidar/cuidar/guiar/dirigir
gritar	esganiçar
grudar	aderir/colar
guardar	negar/deter/deduzir/poupar/preservar/conservar/registar/reter/registrar/segurar/manter
guiar	estacionar/administrar/gerenciar/gerir/lidar/cuidar/tratar/organizar/dirigir/conduzir
habitar	alojar/morar
humilhar	degradar/aviltar/desvalorizar/rebaixar
identificar	distinguir/diferenciar/separar
igualar	corresponder/combinar/concordar
iluminar	brilhar
iluminar-se	iluminar/brilhar
imaginar	conjeturar/conjecturar/pensar/afigurar/conceitualizar/envisionar/figurar/conceber/visualizar/inventar/pensar/ver
impactar	influir/influenciar/afetar/atacar/atingir
impedir	entravar/estorvar/tolher/atrapalhar/defender/reter/evitar
impetrar	convocar/chamar/instruir
importunar	assediar/aborrecer/molestar/irritar/provocar/incomodar
impressionar	disturbar/emocionar/perturbar
impulsionar	atirar/jogar/lançar/chutar/bater
incapacitar	deter/confinar/reter/prender/manter
incitar	magoar/ofender/provocar/encolerizar/irar/zangar/comover/interessar/desconcertar/enraivecer/emocionar/estimular/atrair/perturbar/confundir/excitar/superar/pedir
inclinar	declivar
incluir	abranger/compreender/conter/ter
incomodar	assediar/aborrecer/molestar/importunar/irritar/provocar
incumbir	consignar
indagar	consultar
indicar	cadastrar/ler/significar/apontar/mostrar/registrar/dizer
indispor	cansar-se/constipar/exaurir-se/aleijar/ferir/doer/exaurir/machucar
induzir	persuadir/encorajar/compelir/obrigar/forçar/deixar
influenciar	convencer/persuadir
influir	convencer/persuadir
informar	desinformar/leccionar/lecionar/testificar/alertar/descerrar/ensinar/atestar/divulgar/evidenciar/narrar/recontar/esclarecer/testemunhar/avisar/enganar/advertir/instruir/apontar/introduzir/explicar/provar/revelar/apresentar/contar/indicar/mostrar/redizer/denotar/descrever/pressagiar/reapresentar/reiterar/evidenciar/assinalar/relatar/sugerir/sinalizar/prever/repetir/anunciar/contar/indicar/mostrar/transmitir/dar
ingerir	deglutir/ingurgitar/papar/fumar/beber/engolir/comer/experimentar/provar/tomar/beber/consumir/comer/tomar/usar
ingressar	unificar/reunir
iniciar	endereçar/lidar/tratar/falar/cobrir/constituir/fundar/estabelecer/começar
injustiçar	victimizar/vitimar
inseminar	emprenhar/engravidar
insistir	reinvindicar/asseverar/sustentar/manter
inspecionar	escrutinar/inspeccionar/revistar/vistoriar/buscar/procurar
inspirar	alentar/encorajar
instruir	educar/preparar/treinar/palestrar/falar
intensificar	agilizar/acelerar/apressar
interagir	tratar/tramitar/transaccionar/transacionar/relacionar-se/comunicar/relacionar/convidar/combinar/transmitir
interessar	absorver/engajar/ocupar
interromper	parar
intimar	convocar/chamar/instruir
inventar	manufaturar/fabricar
inverter	retificar/corrigir
investigar	apurar/averiguar
ir	engatinhar/gatinhar/rastejar/rastejar-se/serpear/vadiar/vagabundear/vaguear/boiar/departir/pisar/escapulir/ascender/escorregar/nadar/errar/passear/perambular/vagar/deslizar/voar/apressar/fugir/acompanhar/atravessar/sair/caminhar/dirigir/escapar/correr/partir/seguir/andar/subir/passar/apressar-se/bicicletar/coxear/despachar-se/esgueirar/esquiar/mancar/vadear/cavalgar/departir/desfilar/pedalar/progredir/avançar/marchar/perambular/perseguir/tropeçar/vagar/acelerar/rodar/voar/apressar/descer/montar/prosseguir/baixar/circular/viajar/atravessar/espalhar/sair/vir/caminhar/continuar/partir/seguir/deixar/andar/passar/cair
irar	abespinhar/encolerizar/exasperar/enfurecer
ironizar	mangar/pagodear/zoar/rir/ridicularizar/sacanear/zombar
irritar	assediar/coçar/aborrecer/molestar/importunar/esfregar/provocar/incomodar
jazer	dormir/repousar/descansar/cochilar
jogar	apostar/apanhar/apostar/capturar/anunciar
julgar	hierarquizar/inocentar/ranquiar/antecipar/absolver/medir/classificar/estimar/avaliar/pensar/achar/imputar/ensaiar/equiparar/pronunciar/rotular/atribuir/testar/tentar/estimar/aprovar/rejeitar/declarar/aceitar
juntar	catar/aderir/fixar/colher/apanhar/grudar/amarrar/atar/colar/prender/acasalar/anilhar/respigar/acoplar/copular/etiquetar/inserir/rotular/anexar/colher/suplementar/grudar/colar/pregar/introduzir/prender/unir/pegar
juntar-se	unificar/reunir
lançar	difundir/esparramar/espalhar
lavar	lavar-se/limpar/enxaguar
leccionar	educar/instruir/preparar/treinar/palestrar/falar
lecionar	educar/instruir/preparar/treinar/palestrar/falar
legar	lembrar-se/lembrar
lembrar	reconhecer/caracterizar/caraterizar/qualificar
lembrar-se	reconhecer
lesar	atropelar/estirar/tirotear/arranhar/raspar/puxar/atirar
lesionar	atropelar/estirar/tirotear/arranhar/raspar/puxar/atirar
levar	devolver/voltar/retornar/carregar/aerotransportar
lidar	administrar/lotear/gerenciar/gerir/atribuir/cuidar/tratar/organizar/dirigir/conduzir
ligar	acoplar/desligar/anexar/amarrar/atar/apagar/juntar/unir
limitar	restringir/conter/delimitar/marcar/restringir/treinar
limpar	lavar-se/lavar/desinfectar/desinfetar/desnudar/escovar/varrer
liquefazer	degelar/derreter/descongelar/amolecer
liquidar	amortizar
liquidificar	degelar/derreter/descongelar/amolecer
livrar	descartar
lotear	alocar
louvar	adular/exaltar/glorificar/bajular
lustrar	aculturar/civilizar/escolar/educar/cultivar/treinar
lutar	resistir/aguerrir/combater/guerrear/digladiar/assaltar/batalhar/atacar
machucar	lesionar/lesar/ferir/atropelar/estirar/tirotear/excruciar/torturar/arranhar/atormentar/raspar/puxar/atirar
magoar	humilhar/prantear/descompor/mortificar/aviltar/ofender/insultar/rebaixar/lamentar
malograr	borrar/ferrar/arruinar
maltratar	victimizar/vitimar
manar	fluir/correr
mandar	convocar/chamar/instruir
manejar	operar/amassar/trabalhar/controlar/empunhar/manusear
manipular	operar/amassar/trabalhar/controlar/empunhar/manejar/manusear
manobrar	estacionar
manter	persistir/perseverar/negar/distanciar-se/distanciar/afastar/deter/deduzir/poupar/preservar/conservar/amarrar/atar/registar/reter/guardar/registrar/segurar
manusear	operar/amassar/trabalhar/controlar/empunhar/manejar/manipular
marcar	traçar/delinear
mascarar	esconder
matar	decapitar/degolar/executar/chacinar/trucidar/aniquilar/balear/devastar/dizimar/massacrar/assassinar/erradicar/afogar/asfixiar/liquidar/despachar/estrangular/neutralizar/sufocar/executar
medir	durar/enaltecer/elogiar/louvar
melhorar	convalescer/reparar/emendar/lustrar/consertar/polir/recuperar/refinar/embonecar/perfazer/atenuar/cicatrizar/empetecar/sarar/amenizar/aperfeiçoar/embelezar/curar/acordar/resolver/aliviar
mencionar	desenterrar/apresentar/levantar
menosprezar	mangar/pagodear/zoar/rir/ridicularizar/sacanear/zombar
mensurar	cronometrar
mexer	contorcer/enroscar/espernear/torcer-se/manar/virar-se/dançar/fluir/pulsar/tornar-se/girar/sacudir/tremer/sair/correr/partir/agitar/deixar/virar/separar/vassourar/bailar/oscilar/dançar/ondular/varrer/encostar/rolar/atravessar/desaparecer/agitar/bater
minguar	amainar/contrair-se/murchar/abater/amenizar/encolher/enrugar/declinar/contrair/enfraquecer/diminuir
mirar	fitar/vislumbrar/espiar/encarar/contemplar/olhar/ver/embasbacar/embasbacar-se/admirar/contemplar/direcionar/apontar/dirigir/ver
misturar	mesclar/combinar
modelar	plasmar/achatar/amoldar/retorcer/aplainar/moldar/enxugar/forjar/fundir/torcer/transformar
moderar	refrear/limitar/controlar
modificar	impactar/aperfeiçoar/acertar/completar/afetar/modelar/formar/substituir/ajustar/corrigir/melhorar/encher/trocar/reduzir/diminuir/acostumar-se/adequar/amalgamar/aprontar/assear/cevar/depravar/desabilitar/desordenar/evaziar/fortalecer/habituar/habituar-se/indispor/inseminar/perverter/transubstanciar/acostumar/adaptar/afectar/afrouxar/agravar/ampliar/avariar/corromper/desativar/desobstruir/emprestar/engordar/equiparar/exacerbar/fecundar/fertilizar/incapacitar/transmudar/viciar/alumiar/desvirtuar/encerrar/esfriar/estreitar/macular/purgar/refrigerar/resfriar/secar/subverter/bagunçar/contaminar/contribuir/enrijecer/fortificar/gelar/molhar/progredir/sujar/amortecer/aviltar/converter/danificar/esquentar/esvaziar/refrescar/traduzir/unificar/afetar/aquecer/enxugar/igualar/apertar/clarear/endurecer/piorar/enfraquecer/manchar/marcar/baixar/finalizar/preparar/adicionar/ajustar/transformar/concluir/encher/trazer/misturar/terminar/deixar/limpar/carregar/conduzir/cair/aumentar/fazer
moldar	plasmar/amoldar/forjar/fundir/modelar/transformar
molestar	assediar/aborrecer/importunar/irritar/provocar/incomodar
morar	alojar
morrer	afogar-se/afogar/tombar/estourar/queimar/cair
mortificar	degradar/aviltar/desvalorizar/rebaixar
mostrar	acentuar/pontuar/enfatizar/manifestar/demonstrar/expor/exibir/revelar/apresentar/descobrir/trazer/divulgar/reportar/relatar/anunciar
mover	arredar/contorcer/enroscar/espernear/torcer-se/alçar/botar/manar/virar-se/dançar/fluir/largar/entornar/pulsar/tornar-se/verter/derramar/elevar/expulsar/puxar/erguer/transportar/empurrar/forçar/girar/pôr/sacudir/soltar/tremer/sair/transmitir/correr/levantar/levar/partir/agitar/colocar/deixar/virar/carregar/tirar/separar/afugentar/arriar/deslocar-se/desvanecer/engatar/vassourar/abalroar/bailar/brandir/expedir/oscilar/propulsar/propulsionar/rechaçar/revolver/dançar/ondular/revirar/transladar/afastar/submergir/deslocar/engajar/transferir/varrer/deslizar/despachar/encostar/impulsionar/rodar/situar/rebaixar/rolar/afundar/embarcar/baixar/mexer/transportar/empurrar/atravessar/guiar/desaparecer/transmitir/enviar/trazer/partir/agitar/conduzir/lançar/dividir/tocar/separar/bater
mudar	amarfanhar/amarrotar/descontrair/esboroar/esfarelar/fraccionar/fracionar/perecer/repartir/transmutar/despedaçar/falecer/fender/fracassar/impactar/levantar-se/aperfeiçoar/colapsar/despertar/expirar/relaxar/acertar/completar/decair/afetar/fundir/modelar/piorar/formar/acordar/desmoronar/morrer/substituir/ajustar/congelar/corrigir/transformar/combinar/melhorar/encher/misturar/trocar/reduzir/dividir/diminuir/separar/acalmar-se/acostumar-se/adequar/amalgamar/aprontar/assear/carburar/cevar/depravar/desabilitar/desordenar/desoxidar/ebulir/estabilizar-se/evaziar/fortalecer/habituar/habituar-se/iluminar-se/indispor/inrijecer/inseminar/nascer/perverter/transubstanciar/vestir-se/acostumar/adaptar/afectar/afrouxar/agravar/ampliar/aprumar/arrumar-se/avariar/azedar/combustir/conflagrar/corromper/desativar/desobstruir/emprestar/engordar/equiparar/exacerbar/fecundar/fertilizar/incapacitar/incinerar/solidificar/transmudar/viciar/alumiar/amenizar/cozinhar/descolorir/desintegrar/desvirtuar/dissolver/emagrecer/encerrar/escurecer/esfriar/estreitar/evaporar/incorrer/inverter/largar/macular/nivelar/purgar/refrigerar/resfriar/secar/subverter/vaporizar/amanhecer/bagunçar/contaminar/contribuir/enrijecer/fortificar/gelar/iluminar/molhar/progredir/relaxar/reverter/sujar/acertar/amortecer/assentar/aviltar/converter/danificar/esquentar/esvaziar/fechar/refrescar/traduzir/unificar/afetar/aquecer/colorir/deformar/enxugar/igualar/tornar/apertar/clarear/endurecer/estragar/ferver/piorar/acender/enfraquecer/manchar/marcar/baixar/desmoronar/finalizar/preparar/vestir/adicionar/ajustar/experimentar/sofrer/transformar/abrir/estar/concluir/desenvolver/obter/adquirir/melhorar/sair/encher/receber/trazer/misturar/queimar/terminar/partir/ficar/abandonar/deixar/limpar/virar/carregar/conduzir/dividir/separar/pegar/cair/aumentar/fazer
negar	reter/conter
nomear	baptizar/batizar/delegar
obedecer	escutar
obrigar	coagir/compelir/forçar
observar	fitar/vislumbrar/espiar/encarar/contemplar/olhar/ver/embasbacar/embasbacar-se/admirar/contemplar/ver
obter	beneficiar-se/re-adquirir/beneficiar/reconquistar/reganhar/auferir/lucrar/comprar/recuperar/ganhar/adquirir/encontrar/atingir/enlistar/compartir/fretar/reganhar/topar/partilhar/alugar/empregar/engajar/ganhar/adquirir/receber/encontrar/aceitar/atingir/achar/dividir
ocasionar	cumprir/efetuar/executar/realizar/atingir
ocorrer	materializar/re-ocorrer/reincidir/calhar/recorrer/prosseguir/suceder/repetir/acontecer/ir
ocultar	disfarçar/mascarar/encobrir/esconder/sepultar/soterrar/enterrar
ofender	humilhar/descompor/mortificar/aviltar/insultar/rebaixar
oferecer	legar/deixar/entregar/passar/dar/render-se/ceder/entregar/dar
olhar	fitar/vislumbrar/espiar/encarar/contemplar/ver/embasbacar/embasbacar-se/admirar/contemplar/ver
omitir	disfarçar/mascarar/encobrir/esconder/sepultar/soterrar/enterrar
operar	avionar/esterilizar/pilotar/desdobrar/voar/funcionar/servir
opinar	exortar/impelir/urgir
opor	protestar
ordenar	convocar/chamar/instruir/arrumar/organizar
organizar	arrumar/ordenar/arrumar
ornamentar	colorir/pendurar/adornar
ornar	colorir/pendurar/adornar
oscilar	balançar/sacudir
padecer	congelar
pagar	reintegrar/retribuir/despender/restituir/repagar/gastar/custear/desembolsar/corromper/indenizar/subornar/doar/recompensar/contribuir/gastar/liquidar/compensar
papar	mordiscar
parar	interromper/desistir/acabar/terminar/abandonar
parecer	recender/disturbar/emocionar/cheirar/perturbar/assemelhar/esfriar/radiar/reagir/ressoar/conquistar/copiar/surgir/endurecer/irradiar/imitar/soar/adquirir/fazer
partir	departir/escapulir/fugir/sair/escapar/descolar/desgrudar/cindir/departir/desconectar/dispersar/rasgar/espalhar/sair/deixar/dividir/quebrar/separar
passar	agradecer/esfregar/apreciar/correr/comissionar/desobrigar/incumbir/materializar/re-ocorrer/reincidir/calhar/confidenciar/lembrar-se/confiar/recorrer/exalar/livrar/manifestar/alienar/exprimir/transferir/demonstrar/ocorrer/prosseguir/renunciar/suceder/expressar/repetir/significar/atravessar/lembrar/acontecer/desistir/indicar/mostrar/transmitir/liberar/correr/ficar/servir/abandonar/deixar/entregar/ir/pegar/dar
pedir	mendigar/demandar/exigir/convidar/impetrar/intimar/mandar/reivindicar/solicitar/desafiar/convidar/requerer/reclamar/ordenar/organizar
pegar	apreender/remeter/agarrar/capturar/prender/segurar/entregar/raptar/seqüestrar/sequestrar/agarrar/capturar/tomar/segurar
penalizar	executar
pendurar	suspender
penetrar	perfurar/furar
pensar	centrar/ruminar/concentrar/manufaturar/associar/cogitar/conectar/fabricar/relacionar/inventar/ponderar/especular/focar/contemplar/planejar/refletir/afigurar/balizar/envisionar/reputar/caracterizar/caraterizar/equiparar/figurar/raciocinar/visualizar/qualificar/avaliar/lembrar/julgar/considerar/achar/ver
perceber	enxergar/ouvir/doer/escutar/cheirar/sentir/olhar/ver/avistar/divisar/sonhar/ver
perder	olvidar/esquecer
perecer	afogar-se/afogar/tombar/cair
perfazer	aperfeiçoar/polir/melhorar
perfurar	furar/atravessar/furar
perguntar	consultar
permitir	aturar/tolerar/aguentar/suportar/admitir/aceitar/confiar/autorizar
perseguir	caçar/seguir
persuadir	convencer
pertencer	referir-se
perturbar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar/angustiar/doer/machucar
pesquisar	apurar/averiguar/investigar
pioneirar	constituir/fundar/estabelecer
piorar	degenerar/degradar/deteriorar/adoecer/adoentar/decair/irritar
planejar	destinar
plantar	produzir/fazer
polir	aculturar/civilizar/escolar/educar/cultivar/treinar
ponderar	questionar/perguntar
portar	comportar-se/resistir/conduzir
posicionar	alinhar
poupar	registar/registrar
povoar	alojar/morar
precipitar	chover
precisar	custar
predizer	planejar/admitir/considerar
prender	trancar/pendurar/implantar/conectar/pendurar/amarrar/atar/forçar/ligar/colocar
preparar	preservar/conservar
preservar	persistir/perseverar/enlatar/conservar/registar/registrar
pretender	planear/planejar
prever	planejar/admitir/considerar
privar	deserdar
proclamar	ditar
procurar	arriscar/vasculhar/revirar/arriscar
produzir	reproduzir/criar/publicar/editar/cumprir/efetuar/imprimir/parir/executar/realizar/ter/atingir
proferir	cochichar/balbuciar/sussurrar/resmungar/murmurar/berrar/cantar/contar/falar/gritar/dizer/balbuciar/gaguejar/ladrar/bradar/proclamar/vociferar/discutir/murmurar/tagarelar/conversar/reclamar/soltar/desejar/falar/dizer/representar
prognosticar	planejar/admitir/considerar
progredir	amadurecer/evoluir/florir/desabrochar/florescer/avançar/alongar/elevar/crescer/desenvolver/aumentar
pronunciar	inocentar/absolver/enrolar
propor	advocar/recomendar/urgir/promover
propulsar	atirar/jogar/lançar/chutar/bater
propulsionar	atirar/jogar/lançar/cotovelar/cutucar/acotovelar/chutar/bater
protocolar	recrutar/inscrever/registar/registrar
provar	validar/demonstrar/redundar/sobrevir/resultar/suceder/seguir
prover	apetrechar/aparelhar/equipar/suprir/servir/dar/abrigar/amparar/mobiliar/armar/possibilitar/despejar/providenciar/proporcionar/derramar/fornecer/suprir/permitir/ajudar/satisfazer/alimentar/servir/deixar/dar
providenciar	alienar/dispor
provisionar	servir/dar/suprir/ajudar/satisfazer/alimentar/servir
provocar	magoar/recriar/ofender/copiar/desovar/humilhar/ocasionar/pioneirar/adjudicar/descompor/edificar/empreender/encolerizar/irar/zangar/comover/concretizar/confeccionar/imaginar/interessar/mortificar/desconcertar/enraivecer/fabricar/procriar/recriar/reproduzir/substanciar/aviltar/cumprir/efetuar/emocionar/ofender/verbalizar/gerar/insultar/rebaixar/causar/outorgar/produzir/estimular/preparar/atrair/perturbar/executar/confundir/construir/excitar/realizar/superar/criar/iniciar/pedir/atingir/dar/fazer
pular	arrebentar
pulsar	palpitar
punir	executar
purgar	lavar/desinfectar/desinfetar/escovar/varrer
puxar	arrastar/tremer
pôr	deitar/semear/instalar/dispor/plantar/arranjar/colocar/estacionar/posicionar/instalar/posar/sentar-se/assentar/sentar/situar/acumular/sinalizar/erguer/experimentar/levantar
qualificar	distinguir/diferenciar/marcar
quantificar	cronometrar
querer	ansiar/suspirar/desejar/esperançar/aguardar/esperar/desejar
raciocinar	centrar/ruminar/concentrar/associar/cogitar/conectar/relacionar/ponderar/especular/focar/contemplar/planejar/refletir/balizar/computar/calcular/especular/avaliar/julgar
ranger	mastigar/mascar
re-adquirir	acessar
reagir	recusar/rejeitar/pestanejar/piscar/consentir/aprovar/concordar/aceitar
realizar	bastar/desempenhar/cumprir/servir/cobrir
rebaixar	degradar/aviltar/desvalorizar
rebater	opor
receber	beneficiar-se/re-adquirir/beneficiar/reconquistar/reganhar/auferir/lucrar/comprar/recuperar/ganhar/obter/adquirir/encontrar/atingir/compartir/fretar/reganhar/topar/partilhar/alugar/ganhar/adquirir/encontrar/aceitar/atingir/achar/dividir
recender	tresandar/feder/cheirar
recitar	contar
recolher	catar/colher/apanhar/respigar/colher
reconhecer	distinguir/confessar/diferenciar/conceder/admitir/separar
reconquistar	acessar
recordar	reconhecer
recordar-se	reconhecer
recriar	contrafazer/desempenhar/falsificar/apresentar/fazer/atuar/representar/fazer
recuperar	acessar
redigir	registar/registrar
redundar	derivar/resultar
reduzir	encurtar/resumir/condensar/abreviar/diminuir/circunscrever/encurtar/encolher/confinar/minimizar/ferver/limitar/restringir/diminuir
refinar	aculturar/civilizar/escolar/educar/cultivar/treinar
refletir	centrar/ruminar/concentrar/associar/cogitar/conectar/relacionar/ponderar/especular/focar/questionar/contemplar/perguntar/planejar/balizar/raciocinar/avaliar/julgar
refrear	limitar/restringir/conter/limitar/restringir/treinar
refutar	opor
regalar	legar/deixar/entregar/passar/dar/render-se/ceder/entregar/dar
reganhar	acessar
reger	gerir/governar/reinar/manobrar/canalizar/lidar/cuidar/guiar/dirigir
registar	recrutar/inscrever/registrar/fotografar/anotar/filmar/protocolar/registrar
registrar	recrutar/inscrever/registar/fotografar/anotar/filmar/protocolar/registar
regozijar	animar-se/alegrar-se/alegrar/animar
regozijar-se	animar-se/alegrar-se/alegrar/animar
rejeitar	desconsiderar/descartar/esnobar/ignorar/menosprezar/repudiar/renunciar
relacionar	mencionar/referir
remover	amputar/deletar/resgatar/cavar/escavar/retirar/apagar/sacar/tirar/desempacotar/desentranhar/desmarcar/destripar/desventrar/desviscerar/esventrar/desmantelar/desprender/estripar/tossir/desalojar/eviscerar/pigarrear/descascar/escovar/retirar/sacar/limpar/tirar
renovar	substituir/restabelecer
renunciar	rebater/refutar
reparar	remendar/consertar
repetir	recitar
repousar	levantar/capotar/sonecar/dormir/dormitar/cochilar
representar	desenhar/constituir/desmentir/enquadrar/retratar/pintar/personificar/compor/estabelecer/propor/apresentar
reproduzir	simular/copiar/imitar/hibridizar/cruzar
repudiar	rebater/refutar
requerer	mendigar/demandar/exigir/convidar/pedir/impetrar/custar/intimar/mandar/reivindicar/solicitar/convidar/reclamar/ordenar/organizar/pedir
requisitar	mendigar/demandar/exigir/convidar/pedir/impetrar/custar/intimar/mandar/reivindicar/solicitar/convidar/requerer/reclamar/ordenar/organizar/pedir
resistir	reinvindicar/asseverar
resolver	seleccionar/selecionar/escolher/mensurar/regulamentar/regularizar/decretar/inferir/medir/adivinhar/supor
responder	recusar/rejeitar/consentir/aprovar/concordar/aceitar
responsabilizar	delegar
ressoar	soar/tocar/batucar/borburar/tique-taque/buzinar/chocalhar/crepitar/guinchar/ratear/ronronar/rugir/sussurrar/apitar/assobiar/borbulhar/ecoar/uivar/reverberar/soar/bater
restringir	delimitar/marcar
resultar	redundar/sobrevir/derivar/suceder/seguir
reter	privar/adiar/negar/distanciar-se/distanciar/afastar/deter/deduzir/poupar/preservar/conservar/amarrar/atar/guardar/segurar/manter
retirar	amputar/resgatar/cavar/escavar/sacar/tirar/desempacotar/desentranhar/destripar/desventrar/desviscerar/esventrar/desmantelar/desprender/estripar/tossir/desalojar/desnudar/eviscerar/pigarrear/descascar/escovar/remover/sacar/limpar/tirar
reunir	catar/colher/apanhar/apinhar/casar-se/respigar/reunir-se/acoplar/esposar/casar/celebrar/anexar/colher/juntar/unir
revalidar	validar/demonstrar
reverter	retificar/corrigir
revestir	pintar
revistar	vasculhar
rotular	inocentar/denominar/absolver/chamar/nomear
ruminar	ponderar/questionar/perguntar
saber	realizar/compreender/entender
sacudir	estremecer/tremular/tiritar/tremer
sair	departir/escapulir/fugir/escapar/partir/departir/partir/deixar
salpicar	borrifar
saltar	arrebentar
satisfazer	bastar/cumprir/acomodar/realizar/servir/cobrir
saudar	despidir
secar	estorricar/ressecar
seguir	derivar/resultar
segurar	abocanhar/apreender/beliscar/mordiscar/espremer/morder/apertar/negar/agarrar/prender/deter/deduzir/poupar/preservar/conservar/agarrar/capturar/reter/guardar/pegar/manter
seleccionar	eleger/votar/decidir/escolher/esposar/adoptar/adotar
selecionar	eleger/votar/decidir/escolher/esposar/adoptar/adotar
sentir	arrepender/arrepender-se/lamentar/regozijar/regozijar-se/alegrar-se/enraivecer/entreter/alegrar/arder/sustentar/sofrer/guardar/considerar/manter
separar	romper/estourar/arrebentar/explodir/quebrar/descolar/desgrudar/fragmentar/cindir/desfazer-se/desconectar/discriminar/dispersar/distinguir/rasgar/diferenciar/desmoronar/espalhar/dividir/quebrar/cair/cortar
ser	importar/necessitar/agradar/precisar/caber/depender/requerer/contar/parecer/pesar/ficar/servir/abrilhantar/considerar-se/fulgir/fulgurar/imperilar/meandrar/perigar/quedar/inter-relacionar/refulgir/subjazer/aparentar/comparar/custar/repousar/totalizar/prometer/relacionar/valer/ameaçar/arriscar/descansar/doer/habitar/jazer/medir/resultar/zumbir/comprar/dever/vender/pertencer/permanecer/adicionar/provar/sofrer/brilhar/estar/parecer/chegar/continuar/aceitar/ficar/manter
serenar	refrear/limitar/controlar
servir	qualificar-se/qualificar/dar/oficiar/caber/funcionar/suprir/ajustar/ajudar/satisfazer/alimentar
