aterrorizar	atemorizar/amedrontar/assustar/intimidar/comover/emocionar/estimular/excitar
atestar	informar
atingir	comprar/obter/adquirir/receber/tocar/bater/conseguir/conseguir/suceder/suceder
atirar	jogar/jogar/lançar/lançar/propulsar/propulsionar/impulsionar/tocar
ativar	modificar/alterar/mudar
atrair	arredar/puxar/tirar/concitar/interessar/desafiar/estimular/incitar/provocar
atraiçoar	iludir/lograr/enganar
atrapalhar	impossibilitar/obstar/estorvar/impedir/proibir/bloquear/evitar
atrasar	adiar/desacelerar/reduzir
atravessar	viajar/caminhar/ir/andar/perfurar/furar/estender/continuar
atrever	agir/atuar/fazer
atrever-se	agir/atuar/fazer
atualizar	informar
atuar	desempenhar/apresentar/fazer
aturar	consentir/permitir/deixar
auferir	comprar/comprar/obter/obter/adquirir/adquirir/receber/receber
aumentar	desinformar/enganar/ampliar/ampliar/progredir/progredir/crescer/crescer
autorizar	responsabilizar/nomear/permitir
auxiliar	apoiar/suportar/ajudar
avaliar	balizar/julgar
avançar	sobressair/delegar/exceder
aventurar	proceder/especular
averiguar	informar-se/inteirar/descobrir/achar
avermelhar	descolorir/colorir
avisar	informar
avizinhar	vir
açoitar	golpear/acertar/bater
bacharelar	receber
baixar-se	sentar-se/sentar
balancear	combinar
balançar	oscilar/oscilar/deslocar/mover
balbuciar	proferir/verbalizar/conversar/falar/dizer
balear	atirar
banir	expulsar/expulsar
baralhar	manejar/manusear/manipular
barbear	cuidar-se
barbear-se	cuidar-se
bater	cerrar/golpear/deslocar/fechar/mover/mexer/tocar/tocar/golpear/golpear/acertar/acertar/deslocar/mover/derrotar/vencer/perturbar/superar/agitar
beber	ingerir/consumir/tomar
bebericar	beber/tomar
beijar	tocar/bater
beijocar	tocar/bater
beliscar	agarrar/segurar
beneficiar	comprar/obter/adquirir/receber
beneficiar-se	comprar/obter/adquirir/receber
berrar	emitir/emitir/soltar/soltar/gritar/proferir/verbalizar/conversar/falar/dizer
blasfemar	proferir/exprimir/verbalizar/expressar
bloquear	impossibilitar/obstar/estorvar/impedir/proibir/evitar
bocejar	bafejar/espirar/respirar
boiar	viajar/caminhar/ir/andar
bombardear	assaltar/atacar
bombear	alçar/elevar/erguer/levantar/assaltar/atacar
borrifar	salpicar/espalhar
botar	deslocar/mover
bradar	berrar/gritar
bramir	emitir/soltar
brilhar	iluminar-se/iluminar/radiar/irradiar
brincar	jogar/caçoar/gracejar/agir
britar	arrombar/arrebentar
bufar	assoprar/soprar
caber	estar/ser
cair	viajar/caminhar/ir/andar/declivar/descer/falhar/inclinar/baixar/morrer/acabar
caldear	sumir/desaparecer
caminhar	viajar/viajar/ir/ir/ir/ir/ir/andar/andar/andar/andar/andar
cancelar	revogar/anular
cantar	proferir/verbalizar/conversar/falar/dizer
capturar	comprar/obter/adquirir/receber/esbulhar/arrogar/usurpar/agarrar/tomar/pegar
carpir	emitir/soltar
carregar	botar/prover/abastecer/fornecer/suprir/transportar/transportar/pôr/levar/levar/colocar/deslocar/deslocar/mover/mover
cassar	revogar/anular/cancelar
catar	coligir/ajuntar/recolher/coletar/juntar/reunir
cativar	atrair
causar	modificar/alterar/mudar
cavar	retirar/remover/tirar
caçar	perseguir
caçoar	comportar-se/agir/atuar/parecer
ceder	transferir/esticar
censurar	criticar
centrar	raciocinar/cogitar/refletir/pensar
certificar	autorizar/permitir
chamar	impetrar/telecomunicar/intimar/mandar/rotular/classificar/ordenar
chatear	desgostar/desagradar
checar	verificar/verificar
chefiar	administrar/gerenciar/gerir
chegar	vir
cheirar	aperceber/aperceber-se/perceber/entender/parecer
chibatar	golpear/acertar/bater
chicotear	golpear/acertar/bater
chocar	indignar/nausear/repugnar/repulsar/revoltar
chutar	golpear/bater
cintilar	parecer/radiar/irradiar
citar	redizer/reapresentar/reiterar/mencionar/referir/repetir
clamar	afirmar
classificar	balizar/limitar/avaliar/restringir/julgar
clicar	ressoar/soar/fazer
coagir	compelir/obrigar/forçar
cobrar	contabilizar/computar/calcular/contar
cobrir	tampar/encetar/abordar/iniciar
cochichar	proferir/verbalizar/conversar/falar/dizer
cochilar	capotar/sonecar/dormir/dormitar
cogitar	raciocinar/refletir/pensar
coincidir	ocorrer/suceder/acontecer/passar
colaborar	trabalhar
colapsar	alterar/mudar/mudar
colar	grudar/juntar
colecionar	comprar/obter/adquirir/receber
coletar	comprar/obter/adquirir/receber
colher	coligir/ajuntar/recolher/coletar/juntar/reunir
colidir	tocar/bater
colocar	botar/botar/botar/pôr/pôr/pôr/carregar/carregar/carregar/deslocar/mover
comandar	impetrar/intimar/mandar/ordenar/dirigir/conduzir
combinar	confromar-se/adaptar-se/adequar-se/ajustar/equivaler/igualar/mudar
comentar	contar/falar/dizer
comer	ingerir/consumir/tomar
comercializar	modificar/alterar/mudar
comover	afetar/impressionar/parecer
compactuar	concordar
comparar	analizar/examinar
compartilhar	agir/empregar/utilizar/atuar/usar/fazer
compartir	empregar/utilizar/usar
compelir	obrigar/forçar
compensar	balancear/equilibrar/pagar/combinar
completar	modificar/alterar/mudar
compor	causar/criar/provocar/fazer
comprar	obter/adquirir/receber
comprazer	agradar/satisfazer
compreender	abarcar/incluir/conter/conhecer/saber/entender
comprimir	estreitar/apertar
comprometer	empregar/utilizar/concordar/usar
conceber	tornar/virar/mudar
concentrar	raciocinar/cogitar/refletir/pensar
conciliar	acordar/concordar
concitar	causar/criar/provocar/fazer
conclamar	alentar/encorajar
concordar	equivaler/consentir/igualar/acordar/aprovar/aceitar
concorrer	correr
condenar	pronunciar/rotular/julgar
condensar	reduzir/diminuir
condizer	confromar-se/adaptar-se/adequar-se/ajustar
conduzir	administrar/gerenciar/gerir
conectar	raciocinar/cogitar/refletir/pensar
conferir	verificar
confessar	julgar/declarar
confiscar	tomar/levar
conformar	obedecer
confromar-se	alterar/mudar
confrontar	disputar/jogar
confundir	estar/ser
congelar	padecer/tornar/sofrer/virar/mudar
conjecturar	antecipar/imaginar
conjeturar	imaginar
conquistar	esbulhar/arrogar/refrear/usurpar/limitar/controlar
consagrar	empregar/utilizar/usar
conseguir	suceder/atingir
consentir	aprovar/aprovar/concordar/concordar/aceitar/aceitar
consertar	aperfeiçoar/melhorar
conservar	cozinhar/preparar
considerar	discutir
consolidar	fundir-se/intercalar/unificar/unir
consolidar-se	fundir-se/intercalar/unificar/unir
constatar	informar-se/inteirar/descobrir/achar
constrangir	limitar/restringir/conter
construir	edificar/fabricar
contagiar	causar/provocar/dar
contar	proferir/exprimir/verbalizar/informar/determinar/expressar/estar/ser/achar
contemplar	raciocinar/cogitar/refletir/pensar/mirar/observar/olhar/ver
conter	abarcar/abarcar/incluir/incluir/limitar/restringir/refrear/limitar/controlar
contorcer	deslocar/mover/mexer
contornar	encostar/tocar
contradizer	desdizer
contrafazer	recriar
contrair	estreitar/apertar
controlar	refrear/manejar/manusear/manipular/limitar
convalescer	melhorar
convencer	persuadir
converter	alterar/mudar
convidar	solicitar/requisitar/requerer/pedir
convocar	impetrar/intimar/mandar/ordenar
cooperar	trabalhar
coordenar	dispor/arranjar
copiar	reproduzir/causar/criar/provocar/fazer
corar	descolorir/colorir
correr	deslocar/mover/mexer/viajar/caminhar/ir/andar/apressar-se/despachar-se/acelerar/apressar/passar
corresponder	confromar-se/adaptar-se/adequar-se/ajustar/equivaler/equivaler/igualar/igualar
corrigir	modificar/alterar/mudar
cortar	deletar/eliminar/excluir/apagar/dividir/dividir
cozinhar	confeccionar/fabricar/construir
coçar	irritar/cortar
cravar	penetrar
credenciar	licenciar/autorizar/certificar
crer	acreditar
criar	produzir/construir/fazer
cronometrar	mensurar/quantificar
culpabilizar	incriminar/responsabilizar/acusar
culpar	incriminar/criticar/responsabilizar/acusar
cultivar	adequar/adaptar/ajustar
curar	socorrer/ajudar
curvar	vergar/dobrar/torcer
curvar-se	aprumar
cuspir	expectorar
danificar	lesionar/lesar/ferir/machucar
dançar	deslocar/mover/mexer
dar	regalar/regalar/oferecer/oferecer/entregar/entregar/provisionar/prover/transferir/abastecer/fornecer/servir
debater	discutir
debitar	pagar
debruçar	vergar/curvar/dobrar/torcer
decair	tornar/virar/mudar
decapitar	matar
decepar	dividir/cortar
decepcionar	contrariar/frustrar/demover/desconcertar
decidir	seleccionar/selecionar/resolver/escolher/influenciar/moldar/determinar
declarar	afirmar
decorar	marrar/estudar
dedicar	empregar/utilizar/usar
defender	proteger/proteger
deferir	autorizar/permitir
definir	especificar/determinar
defrontar	disputar/jogar
degelar	liquefazer/liquidificar
degenerar	decair/piorar
deglutir	ingerir/consumir/tomar
degolar	matar
degradar	decair/piorar
deitar	botar/pôr/colocar/carregar
deitar-se	aprumar
deixar	regalar/deslocar/mover/mexer/oferecer/entregar/dar/consentir/aprovar/concordar/desistir/aceitar/abandonar
delapidar	despender/gastar
delatar	criticar
deleitar	atrair
deletar	remover/tirar
deliberar	discutir/discutir
deliciar	atrair
delongar	adiar
demandar	solicitar/requisitar/requerer/pedir
demitir	remover
demitir-se	largar/sair/partir/abandonar/deixar
demolir	destruir
demonstrar	revalidar/corroborar/substanciar/confirmar/sustentar/provar/suportar/apresentar/mostrar
denegar	reter/conter
denominar	rotular/classificar
denunciar	clamar/declarar/criticar
departir	sair/partir/ir
depender	estar/ser
depor	declarar
deportar	expulsar
derramar	manar/fluir/correr/deslocar/deslocar/mover/mover
derrapar	escorregar/deslizar
derreter	liquefazer/liquidificar
derrotar	ultrapassar/vencer/superar/bater/vencer/superar
derrubar	empurrar/forçar/descer/baixar/cair
desabar	alterar/mudar
desacreditar	mangar/pagodear/zoar/rir/ridicularizar/sacanear/zombar
desafiar	impugnar/contestar
desamparar	abandonar/deixar
desanimar	desaprovar/rejeitar
desaparecer	sumir
desapontar	contrariar/frustrar/demover/desconcertar
desbravar	preceder
descartar	rejeitar
descasar	partir/separar
descer	baixar/cair
descerrar	informar/contar
descobrir	conceitualizar/informar-se/inteirar/reganhar/conceber/apresentar/mostrar/encontrar/achar/achar
descongelar	liquefazer/liquidificar
desconsiderar	rejeitar
descontrair	tornar/virar/mudar
descrever	explicar
desculpar	perdoar
desdenhar	detestar/odiar
desejar	ansiar/querer
desempenhar	recriar
desempregar	demitir/remover
desencaminhar	concitar/desafiar/estimular/incitar/provocar
desencorajar	desaprovar/rejeitar
desenhar	figurar/imaginar/representar
desenvolver	criar
desertar	evadir-se/fugir/escapar/abandonar/deixar
desiludir	contrariar/frustrar/demover/desconcertar
desinformar	informar
desistir	render-se
deslizar	escorregar/viajar/viajar/caminhar/caminhar/ir/ir/andar/andar
desmoronar	alterar/mudar/mudar
desnudar	sacar/tirar
desonrar	agredir/assaltar/atacar
despedaçar	mudar
despedir	demitir/remover
despender	pagar
