abalroar	assentar
afectar	estressar/tensionar/espairecer/sedar/energizar/ulcerar/embriagar/relaxar/tranquilizar/estimular/animar/excitar/atacar/registrar
afetar	estressar/comover/disturbar/tensionar/emocionar/impressionar/perturbar/desconfortar/emudecer/espairecer/hidrolizar/influir/sedar/sobressaltar/alhear/energizar/repercutir/sujeitar/ulcerar/varar/apaixonar/assombrar/entristecer/infectar/influenciar/turvar/deprimir/desagradar/embriagar/relaxar/tranquilizar/alienar/arriscar/comprometer/colorir/conquistar/impressionar/surpreender/estimular/gravar/penetrar/animar/excitar/atacar/registrar/incomodar/atingir/tocar
afirmar	clamar/declarar/reafirmar/reafirmar-se/protestar/reivindicar/confirmar/defender/declarar/manter
afligir-se	apiedar/apiedar-se/compadecer/compadecer-se/prantear/lastimar/lamentar
afrouxar	desaparafusar
afugentar	tanger/atemorizar/espantar/banir/intimidar
afundar	submergir/assentar
agarrar	abocanhar/apreender/beliscar/mordiscar/espremer/morder/apanhar/apertar/furtar/capturar/roubar/prender/segurar/pegar/engalfinhar/intercetar/pescar/interceptar/capturar/esconder/tomar/segurar/pegar
agir	troçar/atrever/atrever-se/ousar/participar/premiar/virar-se/voluntariar/caçoar/recompensar/repagar/compartilhar/aguentar/lidar/sobreviver/tentar/procurar/oferecer/acercar-se/aportar/co-atuar/comportar/devassar/efectivar/hostilizar/interagir/perpetrar/proceder/afectar/antagonizar/atrever/atrever-se/cometer/costumar/desesperar/efectuar/efetivar/folgar/galantear/namorar/optimizar/ousar/reciprocar/reiterar/agredir/alternar/antecipar/antever/azarar/comportar-se/condescender/disturbar/esfriar/evadir/flertar/manobrar/performar/romantizar/sentimentalizar/vulgarizar/associar/debandar/desempenhar/gozar/presumir/reagir/aguardar/efetuar/engajar/envolver/simular/acelerar/afetar/conquistar/lidar/apressar/descer/endurecer/furtar/prosseguir/surpreender/fingir/prever/repetir/brincar/desmoronar/permanecer/responder/interromper/lutar/perturbar/reter/disparar/forçar/ser/satisfazer/adquirir/criar/esperar/roubar/acabar/atacar/resistir/continuar/correr/jogar/seguir/conduzir/começar/fazer
agitar	abanar/flabelar/ventilar/estremecer/tremular/tiritar/tremer/concussar/debulhar/esbordoar/menear/sovar/trilhar/chocalhar/palpitar/sacudir/tremer
agradecer	apreciar/reconhecer
agravar	baratear/barganhar/inflamar/degradar/desvalorizar/rebaixar/irritar
aguardar	adiar/emboscar/esperar
aguentar	gerenciar/engolir/aceitar/improvisar/consentir/sobreviver/corresponder/satisfazer
ajudar	acorrer/respaldar/endossar/secundar/socorrer/apoiar/assistir/auxiliar/aprovar/servir/apadrinhar/desenrascar/zelar/facilitar/socorrer/patrocinar/acelerar/encorajar/promover/apressar/cuidar/estimular/aliviar
ajuntar	catar/colher/apanhar/respigar/reagrupar/mobilizar/colher/convocar/juntar/reunir
ajustar	sintonizar/domar/domesticar/afinar/naturalizar/cultivar/regular/anglicizar/descompactar/despressurizar/linearizar/zerar/adaptar/aprumar/calçadeira/calçar/com/cristianizar/encaixar/amansar/conciliar/domesticar/eletrificar/graduar/pressurizar/reconciliar/urbanizar/afinar/alinhar/calibrar/reajustar/focalizar/modular/naturalizar/orientar/proporcionar/compatibilizar/focar/sincronizar/regular/arrumar/temperar/combinar/pôr/colocar
alarmar	acordar
alcançar	acessar/culminar/suceder/obter/chegar/encontrar/atingir/achar/começar
alegrar	recrear/divertir/animar-se/rejubilar/alegrar-se/exultar/animar
alegrar-se	animar-se/rejubilar/exultar/alegrar/animar
aleijar	lesionar/lesar/ferir/machucar
alentar	conclamar/exortar/recrear/inspirar/divertir/incentivar/alimentar/empolgar/extroverter/encorajar/incentivar
alertar	ameaçar/alarmar/admoestar/prevenir/avisar/advertir/acordar
alienar	ratear/acertar/liquidar/compensar/pagar
alinhar	jogar
alisar	arear/lixar/aplainar
aliviar	confortar/acalmar
alocar	presentear/realocar/premiar/outorgar/conceder
alongar	extender/prorrogar/prolongar/esticar
