abalroar	assentar
beber	bebericar/sorver/libar/lamber/sugar/chupar/embriagar/entornar/engolir/enxugar/matar/tomar
beneficiar	lucrar/capitalizar
beneficiar-se	lucrar/capitalizar
berrar	bradar/gritar/mugir/roncar/vociferar/gritar
bicicletar	monociclar
boquejar	conversar
botar	deitar/semear/instalar/dispor/plantar/arranjar/pôr/perder/colocar/carregar/aconchegar-se/apoiar-se/atochar/embarrelar/emprateleirar/espaçar/glicerolizar/justapor/recolocar/repor/aconchegar/embarricar/empoleirar/engarrafar/envasar/estacionar/paralelizar/posicionar/reclinar/reposicionar/sifonar/sobrepor/fixar/inserir/instalar/posar/receder/sentar-se/assentar/confinar/estratificar/sentar/dispor/situar/acariciar/acumular/apoiar/sinalizar/erguer/introduzir/pôr/atirar/jogar/levantar/colocar
brigar	pugnar/lutar/aguerrir/boxar/boxear/combater/duelar/esgrimir/guerrear/digladiar/assaltar/batalhar/defender/lutar/atacar/resistir/conduzir
buscar	esgravatar/palpar/tatear/revolver/vasculhar/revirar/apalpar/navegar/coletar/registar/procurar
caber	ajustar/experimentar
cadastrar	indicar/dizer/bater
cair	naufragar/descer/afundar/derrubar/pôr/apear/apear-se/despencar/gear/granizar/nevar/rappel/gotejar/polvilhar/chover/desmontar/pingar/pousar/desembarcar/cuspir/decair/declinar/precipitar/mergulhar/descer/afundar/corrigir/diminuir
calcular	multiplicar/cobrar/creditar/recalcular/solver/debitar/extrapolar/fatorar/interpolar/orçar/quantizar/solucionar/subtrair/aproximar/integrar/mapear/processar/somar/subestimar/adivinhar/deduzir/chutar/diferenciar/estimar/resolver/adicionar/avaliar/julgar/dividir
calotear	roubar/charlatanear/fraudar/defraudar/vitimizar/vitimar/trapacear
caminhar	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/dirigir/correr/seguir/ir/andar/subir/passar/cair/apressar-se/baldear/coxear/deambular/descarrilar/despachar-se/esgueirar/esquiar/ganir/joeirar/mancar/mochilar/percorrer/sobrevoar/sonambular/tropicar/vadear/cavalgar/descarrilhar/desfilar/flanquear/pisar/ziguezaguear/peneirar/pisotear/retrogradar/rondar/sulcar/ascender/flutuar/nadar/navegar/progredir/recuar/avançar/cruzar/embaralhar/errar/marchar/passear/perambular/perseguir/preceder/propagar/tropeçar/vagar/acelerar/rodar/viagem/voar/apressar/descer/montar/prosseguir/amassar/baixar/brincar/circular/empurrar/viajar/atravessar/espalhar/vir/continuar/trocar/seguir/virar/ir/andar/subir/passar/cair
canalizar	estacionar/acuar/encurralar/pilotar/navegar/emboscar/guiar/conduzir
cansar-se	exaurir
cantar	salmodiar/trautear/cantarolar/solfejar/entoar/harmonizar/piar/trinar/vocalizar
capotar	dormitar/cochilar/estivar/hibernar
capturar	abduzir/apreender/raptar/seqüestrar/sequestrar/apanhar/furtar/agarrar/roubar/prender/segurar/engalfinhar/raptar/seqüestrar/usurpar/laçar/recapturar/sequestrar/agarrar/esconder/segurar/pegar
caracterizar	distinguir/determinar/diferenciar/marcar
caraterizar	distinguir/determinar/diferenciar/marcar
carburar	deflagrar/fumegar/incendiar/arder
carecer	exceptuar/precisar/excluir
carregar	deitar/semear/instalar/dispor/plantar/arranjar/transportar/pôr/perder/trazer/levar/colocar/tirar/aconchegar-se/aerotransportar/apoiar-se/arcar/atochar/chumbar/embarrelar/emprateleirar/espaçar/glicerolizar/justapor/recolocar/repor/transviar/aconchegar/embarricar/empoleirar/engarrafar/envasar/estacionar/onerar/paralelizar/posicionar/recarregar/reclinar/reposicionar/sifonar/empilhar/sobrepor/fixar/inserir/instalar/posar/receder/sentar-se/assentar/confinar/estratificar/sentar/sobrecarregar/dispor/situar/acariciar/acumular/apoiar/auxiliar/sinalizar/empacotar/erguer/introduzir/ajudar/guiar/pôr/atirar/jogar/levantar/colocar/conduzir
casar	recasar
casar-se	recasar
castigar	executar/desagravar/desforrar/pixar/revidar/vingar/retaliar/vitimizar/flagelar/vitimar/disciplinar/corrigir
castrar	capar
causar	contagiar/concitar/elicitar/engendrar/filmar/infetar/infectar/procriar/recriar/copiar/gerar/compor/formar/escrever/estimular/incitar/organizar/dirigir/provocar/fazer/desovar/dinamitar/instaurar/motivar/ocasionar/pioneirar/usinar/adjudicar/coreografar/edificar/empreender/facilitar/fender/instituir/propulsar/alinhavar/atalhar/concretizar/confeccionar/estilizar/imaginar/impelir/influenciar/manufaturar/riscar/conceber/derivar/destilar/fabricar/moldar/originar/procriar/puncturar/recortar/recriar/reproduzir/substanciar/efetuar/verbalizar/gerar/impulsionar/incentivar/induzir/extrair/montar/compor/determinar/outorgar/produzir/regenerar/estabelecer/estimular/incitar/preparar/arrumar/explodir/furar/executar/construir/realizar/criar/iniciar/trazer/provocar/reunir/deixar/começar/tocar/dar/cortar/fazer
cavalgar	galopar
cavar	afocinhar/sulcar
ceder	comissionar/desobrigar/incumbir/confidenciar/confiar/livrar/alienar/transferir/renunciar/vender/desistir/transmitir/liberar/abandonar/deixar/entregar/passar/dar
celebrar	festar/curtir/festejar/receber
centrar	escutar/focar/pensar
cerrar	vedar/selar/bater/tirar
cessar	aposentar-se/retirar-se/desistir/parar/abandonar
chamar	alcunhar/baptizar/bipar/rebaptizar/rebatizar/apelidar/intitular/renomear/telefonar/batizar/denominar/mobilizar/citar/convocar/referir/nomear/ligar
checar	espionar/mirar/observar/guardar/olhar/ver
chegar	aterrar/aterrissar/pousar/aterrizar/acessar/aterrar/aterrissar/atracar/culminar/suceder/alcançar/encontrar/atingir/achar/fazer
cheirar	tresandar/recender/feder
chocalhar	crepitar
choramingar	lacrimejar/chorar/gemer
chorar	lacrimejar/gemer/choramingar
chover	chuviscar/garoar/desabar/jorrar/borrifar/cair
chutar	quantizar/truncar/menosprezar/subestimar/estimar/avaliar/contar/considerar
cindir	esfarrapar/trinchar/rasgar/desfiar
circunscrever	contentar/demarcar/cercear/delimitar/limitar/restringir/satisfazer
civilizar	sofisticar
classificar	estereotipar/denominar/chamar/nomear/agrupar/agrupar-se/dicotomizar/priorizar/super-ordenar/catalogar/estigmatizar/reclassificar/reordenar/sequenciar/subordinar/denunciar/endereçar/distribuir/referir/arranjar/isolar/rebaixar/direcionar/contar
coagir	cacetear/aterrorizar/impulsionar
cobrar	assessar/facturar/faturar/arrecadar/multar/taxar/coletar
cobrir	embrulhar/pintar/embalar/acarpetar/acimentar/alcatroar/aluminizar/amanteigar/amortalhar/anodizar/azeitar/azulejar/banhar/bonderizar/chapar/concretar/discorrer/emborrachar/empanar/empapelar/encadernar/encascar/engraxar/ensanguentar/entoucar/flocar/ladrilhar/macadamizar/olear/patinizar/pavimentar/pichar/platificar/platinar/porcelanizar/robustecer/vendar/zincar/adubar/caiar/cimentar/coroar/emassar/embainhar/encapuzar/encerar/engessar/envernizar/glaciar/metalizar/pincelar/polvilhar/recobrir/ripar/teologizar/untar/amontoado/asfaltar/atapetar/drapear/encrostar/galvanizar/gelatinizar/gramar/lubrificar/nublar/revestir/discursar/discutir/embrulhar/enevoar/forrar/inundar/laminar/submergir/afogar/folhear/empacotar/embalar/encobrir/vestir/aplicar/espalhar/segurar/falar/colocar
cochilar	dormitar/capotar/sonecar/estivar/hibernar/dormir/dormitar
cogitar	centrar/ruminar/concentrar/associar/conectar/relacionar/ponderar/especular/focar/questionar/contemplar/perguntar/planejar/refletir/balizar/encafifar/filosofar/introspectar/meditar/premeditar/prestar/teologizar/raciocinar/inferir/ponderar/deduzir/racionalizar/contemplar/avaliar/refletir/decidir/concluir/julgar/pensar/chegar/considerar/achar
colar	aglutinar/ligar
coletar	catar/colher/apanhar/respigar/multar/reagrupar/taxar/mobilizar/colher/convocar/juntar/reunir
colidir	abalroar/chocar/bater
coligir	catar/colher/apanhar/respigar/reagrupar/mobilizar/colher/convocar/juntar/reunir
colocar	deitar/semear/instalar/dispor/plantar/arranjar/pôr/perder/carregar/aconchegar-se/apoiar-se/atochar/embarrelar/emprateleirar/espaçar/glicerolizar/justapor/recolocar/repor/aconchegar/arborizar/botar/embarricar/empoleirar/engarrafar/envasar/estacionar/paralelizar/posicionar/reclinar/reinstalar/replantar/reposicionar/sepultar/sifonar/soterrar/sobrepor/enraizar/fixar/inserir/instalar/posar/receder/sentar-se/assentar/confinar/enterrar/estratificar/sentar/dispor/situar/acariciar/acumular/apoiar/sinalizar/erguer/introduzir/aplicar/experimentar/temperar/pôr/atirar/jogar/levantar/passar
colorir	enrubescer/rosar/ruborizar/corar/avermelhar/acinzentar/alvejar/azular/branquear/embranquecer/empalidecer/empretecer/encanecer/enegrecer/esverdear/amarelar/corar/vermelhar/avermelhar/bronzear/tingir/clarear/queimar
comandar	capitanear
combater	digladiar/lutar
combinar	assemelhar-se/assemelhar/parecer/convir/homologizar/incorporada/adaptar-se/adequar-se/aliar/paralelizar/rimar/sincretizar/aparentar/harmonizar/incorporar/recombinar/sintetizar/totalizar/integrar/compatibilizar/corresponder/acrescentar/confirmar/sustentar/concordar/satisfazer/misturar
combustir	acender/explodir/pegar
comer	papar/jantar/devorar/almoçar/desjejuar/fornicar/glutonizar/lanchar/mamar/banquetear/pastar/ruminar/beliscar/engulir/imergir/mordiscar/sorver/exagerar/regar/engolir/mergulhar/consumir/devorar/atacar/encher
comerciar	exportar/importar/traficar
cometer	recondenar/fazer
começar	acometer/deslanchar/enfrentar/defrontar/abraçar/inaugurar/confrontar/recomeçar/mergulhar/embarcar/abrir/atacar/lançar
comissionar	consignar/encarregar/obrigar
comover	atemorizar/amedrontar/assustar/disturbar/aterrorizar/emocionar/intimidar/impressionar/perturbar/emudecer/sobressaltar/alhear/eletrizar/varar/apaixonar/assombrar/entristecer/infectar/inspirar/intoxicar/titilar/turvar/deprimir/desagradar/vibrar/alienar/emocionar/exaltar/conquistar/elevar/convidar/impressionar/surpreender/tentar/gravar/penetrar/animar/excitar/alimentar/atacar/provocar/incomodar/tocar
compartilhar	comunalizar/agregar/combinar
compartir	comunalizar/agregar/combinar
compatibilizar	combinar
compelir	coagir/obrigar/forçar/enforçar/cacetear/implementar/impor/envergonhar/aterrorizar/obrigar/impulsionar/aplicar/forçar
compensar	contrabalançar/contrabalancear/complementar/emparelhar/completar/suplementar/corrigir
competir	jogar/emular/rivalizar/concorrer/igualar/correr
completar	alagar/estofar/encharcar/estufar/inundar/encher/desbordar/disorganizar/electrizar/reencher/abarrotar/electrificar/eletrizar/impregnar/inteirar/transbordar/amontoar/eletrificar/lubrificar/entupir/estufar/forrar/lotar/povoar/popular/sobrecarregar/concluir/encher/carregar
compor	minutar/poetizar/versar/anotar/reescrever/versejar/rascunhar/dramatizar/esboçar/comentar/citar/escrever/adicionar/derrubar
comportar-se	troçar/caçoar/devassar/posturar/desesperar/optimizar/reinvindicar/asseverar/esfriar/romantizar/sentimentalizar/vulgarizar/gozar/posar/presumir/reagir/simular/conquistar/endurecer/fingir/brincar/desmoronar/confundir/adquirir/jogar/seguir/fazer
comprar	beneficiar-se/re-adquirir/beneficiar/herdar/reconquistar/reganhar/auferir/colecionar/lucrar/recolher/apanhar/recuperar/coletar/ganhar/capturar/obter/adquirir/encontrar/reunir/atingir/pegar/readquirir/reaver/compartir/fretar/reganhar/topar/apurar/partilhar/alugar/assinar/conseguir/exprimir/recuperar/extrair/isolar/expressar/ganhar/obter/tomar/adquirir/receber/encontrar/aceitar/atingir/achar/dividir/fazer
compreender	ler/desentender/escanear/intuir/literalizar/alegorizar/espiritualizar/reinterpretar/digerir/mitificar/ler/extrair/perceber/apreciar/reter/entender/sacar
comprimir	asfixiar/estrangular/convulsionar/estrangular
comprometer	rededicar/consagrar
computar	multiplicar/cobrar/creditar/recalcular/solver/debitar/extrapolar/fatorar/interpolar/orçar/quantizar/solucionar/subtrair/aproximar/calcular/integrar/mapear/processar/somar/subestimar/adivinhar/deduzir/chutar/diferenciar/estimar/resolver/adicionar/avaliar/julgar/dividir
comunicar	indagar/anuir/assentir/redigir/solicitar/requisitar/perguntar/requerer/saudar/escrever/pedir/falar/dizer/aforizar/blogar/contactar/contatar/gesticular/infligir/silvar/telecomunicar/telepatizar/assoviar/dialogar/impor/proferir/quitar/assobiar/caçoar/comungar/dirigir-se/gracejar/implantar/compartilhar/ditar/exprimir/verbalizar/acusar/conversar/informar/plantar/sinalizar/alcançar/confirmar/escrever/transmitir/falar/dizer/lançar/passar
conceber	descobrir/achar/pré-conceber/inventar
conceder	cartear/lotear/desculpar/perdoar/atribuir/conferir/confessar/certificar/outorgar/aplicar/permitir/combinar/dar
conceitualizar	descobrir/achar/pré-conceber/inventar
concentrar	escutar/focar/pensar
conciliar	apaziguar/acalmar
concluir	encerrar/finalizar/acabar/terminar/clausurar/abortar/reajustar/culminar/extinguir/matar/suspender/finalizar/resolver/ajustar/interromper/decidir/julgar/acabar/terminar/aceitar/parar
concordar	assemelhar-se/assemelhar/firmar/conciliar/reconciliar/consentir/permitir/parecer/deixar/convir/homologizar/adaptar-se/adequar-se/paralelizar/rimar/subscrever/aparentar/harmonizar/sucumbir/providenciar/ceder/consentir/compatibilizar/arranjar/corresponder/confirmar/sustentar/resolver/combinar/conceder/concluir/desistir/satisfazer
concorrer	jogar/emular/rivalizar/competir/igualar/correr
concretizar	encarnar/expressar
condensar	expurgar/abreviar
conduzir	encabeçar/liderar/comandar/encaminhar/posturar/transviar/reinvindicar/asseverar/gerir/operar/posar/auxiliar/sinalizar/ajudar/guiar/confundir/dar/fazer
conectar	correlacionar/correlatar/inter-relatar/inter-relacionar/amordaçar/laçar/mencionar/identificar/referir/amarrar/atar/lembrar
confabular	conversar
confeccionar	tricotar/urdir/assar/cozinhar/fiar/tecer/moldar/forjar/modelar/formar/preparar/crochetar/cunhar/cozinhar/fabricar/formular/acender/amarrar/preparar/fazer
conferir	espionar/mirar/observar/guardar/olhar/ver
confiar	consignar/encarregar/obrigar
confidenciar	consignar/encarregar/obrigar
confinar	agrilhoar/acorrentar/algemar/contentar/demarcar/cercear/delimitar/amarrar/atar/limitar/restringir/satisfazer
conflagrar	acender/explodir/pegar
confundir	enganar-se/tropeçar/acabrunhar/descombobular/descontrolar/distrair/embaraçar/constrangir/desnortear/enervar/afligir/desintegrar/envergonhar/angustiar/desconcertar/doer/desmoronar/machucar/perturbar/irritar/incomodar
conhecer	realizar/compreender/entender/acompanhar
conjecturar	afigurar/devanear/envisionar/visionar/fantasiar/retraçar/antever/figurar/imaginar/reconstruir/sonhar/visualizar/formular/prever/desejar/ver
conjeturar	afigurar/devanear/envisionar/visionar/fantasiar/antever/figurar/imaginar/sonhar/visualizar/prever/desejar/ver
consagrar	rededicar
conseguir	efectuar/efetuar/negociar/suceder/alcançar/obter/realizar/atingir/passar/funcionar/alcançar/atingir
consentir	aturar/tolerar/aguentar/permitir/suportar/concordar/admitir/aceitar/deixar/agüentar/descriminalizar/legalizar/legitimar/aturar/confiar/sucumbir/autorizar/tolerar/ceder/aguentar/permitir/suportar/desistir
consertar	cerzir/rechear/remendar/renovar
conservar	desidratar/distanciar-se/enlatar/salgar/distanciar/economizar/pressurizar/refrigerar/afastar/poupar/preservar/registar/registrar/continuar/manter
considerar	prezar/respeitar/venerar/coisificar/indentificar-se/reificar/relativizar/desrespeitar/idealizar/orçar/reconsiderar/abstrair/favorecer/valorizar/capitalizar/identificar/incluir/chamar/gostar/apreciar/julgar/esperar/receber/manter/fazer
consignar	empenhar/despachar/deixar
constituir	nomear/adicionar
construir	erigir/tricotar/urdir/assar/cozinhar/fiar/tecer/moldar/forjar/modelar/formar/preparar/reerguer/crochetar/cunhar/personalizar/cozinhar/reconstruir/fabricar/canalizar/formular/acender/amarrar/preparar/fazer
consumir	deglutir/ingurgitar/luxuriar/papar/fumar/beber/engolir/comer/experimentar/provar/tomar/fartar/locupletar/canibalizar/drenar/drogar/malhar/saciar/sorver/hospedar/beber/exaurir/enxugar/esgotar/comer/satisfazer/tomar/encher/queimar/usar/tocar
contabilizar	cobrar/creditar/debitar
contaminar	poluir/lambuzar/enlamear/sujar
contar	divagar/remarcar/descerrar/enunciar/reparar/retrucar/divulgar/notar/articular/somar/cobrar/comentar/mencionar/replicar/vocalizar/responder/adicionar/revelar/dizer/censear/creditar/prefaciar/recensear/redizer/sumariar/debitar/dedurar/denotar/pressagiar/reapresentar/reiterar/sumarizar/acrescer/evidenciar/narrar/propagandear/recontar/relatar/resumir/preceder/sugerir/sinalizar/acrescentar/prever/repetir/introduzir/adicionar/explicar/revelar/anunciar/apresentar/indicar/transmitir/declarar/representar/dar
contemplar	ponderar/questionar/perguntar/introspectar/premeditar/teologizar/cogitar/ponderar/refletir/julgar/pensar/considerar
conter	denegar/abranger/constrangir/privar/incluir/proibir/negar/recusar/restringir/rejeitar/compreender/ter/circundar/englobar/subsumir/abarcar/acarretar/delimitar/domar/estorvar/inibir/involver/subordinar/obstruir/impedir/imobilizar/incluir/bloquear/classificar/reprimir/suprimir/limitar/marcar/regular/congelar/restringir/reter/guardar/compreender/controlar/prender/ligar/reduzir
continuar	abranger/atravessar/capengar/esparramar/sobrepor/passear/varrer/conservar/prosseguir/permanecer/estar/espalhar/dirigir/ficar/cobrir/ir/manter
contornar	enclausurar/franjar/cingir/cercar
contrair	asfixiar/estrangular/endoidecer/pirar/convulsionar/flexionar/estrangular
contrair-se	flexionar
contribuir	instilar/combinar
controlar	conquistar/sufocar/reprimir/suprimir/limitar/restringir/conter/avionar/revezar/discar/pedalar/pilotar/retransmitir/abnegar/abster/mortificar/crucificar/subjugar/desanimar/sincronizar/voar/limitar/recusar/restringir/treinar/girar/dirigir/conduzir
convencer	desarmar
conversar	cochichar/balbuciar/rosnar/sussurrar/resmungar/discutir/murmurar/berrar/cantar/gritar/abrir-se/argüir/boquejar/lamuriar/maldizer/papear/praguejar/presentar/prosear/balbuciar/blasfemar/entrevistar/gaguejar/ladrar/sibilar/bradar/debater/exclamar/fofocar/generalizar/proclamar/pronunciar/vociferar/choramingar/discutir/ralar/arguir/confabular/modular/murmurar/tagarelar/verbalizar/questionar/vocalizar/berrar/reclamar/apresentar/falar/começar
converter	feudalizar/humificar/lenhificar/lignificar/novelizar/ozonizar/reconverter/romancear/adubar/captar/caramelizar/enfarinhar/fictionalizar/fossilizar/mineralizar/opalizar/queratinizar/codificar/curtir/nitrificar/capitalizar/verbalizar/recuperar/utilizar/retificar/receber
convidar	desafiar/tentar/atrair
convocar	bipar/mobilizar/citar/chamar
copiar	clonar/macaquear/emular/escarnecer/traçar/zombar/imitar
copular	deflorar/desflorar/desvirginar/foder/fornicar/pinar/meter/sodomizar/transar/trepar/montar/comer/cobrir
correr	entornar/verter/derramar/esfregar/borbotar/esguichar/segregar/escoar/manar/redemoinhar/arremeter/fluir/jorrar/minar/regurgitar/percolar/permear/acelerar/circular/disparar/girar
corresponder	assemelhar-se/assemelhar/parecer/convir/homologizar/adaptar-se/adequar-se/paralelizar/rimar/aparentar/harmonizar/compatibilizar/confirmar/sustentar/combinar/concordar/satisfazer
corrigir	sintonizar/afinar/regular/ajustar/debug/descompactar/despressurizar/linearizar/rectificar/zerar/aprumar/conciliar/graduar/pressurizar/reconciliar/urbanizar/afinar/alinhar/calibrar/reajustar/focalizar/modular/proporcionar/compatibilizar/focar/sincronizar/retificar/regular/ajustar/arrumar/temperar/combinar
corromper	abastardar/sensualizar/envenenar/pagar
cortar	rascar/coçar/raspar
cozinhar	preservar/conservar/cozer/escalfar/flambar/frigir/gratinar/acastanhar/dourar/fornear/fritar/refogar/tostar/assar/grelhar/improvisar/estufar/torrar
coçar	arranhar
crer	engulir/inferir/depender/engolir/acreditar/entender/cair
crescer	germinar/prolongar/florescer/expandir/subir/aumentar/acirrar/altear/conglomerar/desgalhar/elevar-se/hipertrofiar/irmanar/irmanar-se/proliferar/ramificar-se/desabrochar/revalorizar/acrescer/aglomerar/amontoar/aprofundar/ramificar/enraizar/progredir/somar/vegetar/intensificar/alongar/expandir/acumular/acrescentar/esticar/ganhar/adicionar/apreciar/desenvolver/subir/aumentar
criar	concitar/elicitar/engendrar/filmar/pincelar/pintar/procriar/recriar/copiar/gerar/compor/formar/escrever/estimular/incitar/organizar/dirigir/provocar/fazer/dinamitar/hibridizar/instaurar/usinar/coreografar/edificar/fender/instituir/alinhavar/atalhar/concretizar/confeccionar/estilizar/imaginar/manufaturar/riscar/arquitetar/conceber/derivar/destilar/fabricar/originar/procriar/puncturar/recortar/recriar/reproduzir/substanciar/cruzar/desenhar/verbalizar/gerar/extrair/montar/causar/compor/produzir/regenerar/estabelecer/preparar/arrumar/explodir/furar/executar/construir/realizar/iniciar/trazer/provocar/reunir/começar/dar/cortar/fazer
cuidar	administrar/coordenar/gerenciar/gerir/processar/lidar/tratar/organizar/controlar/dirigir/usar/conduzir
cuidar-se	barbear-se/barbear/raspar/ataviar/maquilar/pentear/manicurar/maquiar/perfumar/barbear/desembaraçar/produzir/vestir/arrumar/lavar/limpar
cultivar	produzir/fazer/sofisticar
cumprimentar	despidir/recepcionar/acolher/convidar/saudar/indicar/receber
cumprir	bastar/consumar/desempenhar/executar/realizar/servir/cobrir/fazer
curvar	acovardar/acovardar-se/debruçar/agachar/inclinar/dobrar/arquear/encurvar/dobrar
custear	liquidar
danificar	deteriorar/estragar/avacalhar/atribular/avariar/erodir/afligir/desfigurar/falir/mutilar/corroer/magoar/deteriorar/estragar/piorar/comer/machucar/queimar/partir/mudar/quebrar
dançar	break-dance/sambar/sapatear/suingue/valsar/transar/chutar
dar	contagiar/legar/arrendar/emprestar/infetar/prestar/doar/infectar/alugar/prover/abastecer/dispensar/distribuir/fornecer/suprir/submeter/pagar/deixar/entregar/passar/comissionar/desobrigar/frutar/gratificar/incumbir/provisionar/rifar/adjudicar/confidenciar/dotar/lembrar-se/render-se/submeter-se/confiar/depositar/possibilitar/repagar/sucumbir/contribuir/financiar/livrar/providenciar/alienar/ceder/frutificar/proporcionar/prover/transferir/abastecer/lidar/fornecer/renunciar/retornar/vender/outorgar/submeter/permitir/abrir/combinar/conceder/lembrar/soltar/desistir/pagar/transmitir/liberar/oferecer/servir/abandonar/deixar/entregar/passar/manter
debilitar	emaciar
debruçar	declivar/reclinar/inclinar
decair	degenerar/degradar/deteriorar/piorar/adoecer/adoentar/retrogredir/inflamar/privar/piorar/sofrer
decapitar	guilhotinar
decidir	seleccionar/adjudicar/selecionar/julgar/escolher/propor-se/mensurar/regulamentar/regularizar/decretar/reajustar/medir/orientar/selar/resolver/ajustar/julgar
declarar	confessar/reconhecer/admitir/beatificar/abastardar/canonizar/formalizar/oficializar/promulgar/pronunciar/revogar/rotular/anular/cancelar/certificar/decidir/julgar
declivar	cair/subir
decretar	derrotar/derrubar
dedicar	rededicar/consagrar
defender	salvaguardar/assegurar/proteger/salvar/guardar/segurar/emparedar/imunizar/protejer/proteger/cercar/enfeitiçar/preservar/conter/resistir/cobrir/manter
deformar	flexionar/torcer/granar/vergar/achatar/desdobrar/granular/afiar/curvar/amassar/apontar/esticar/dobrar/torcer/enrolar/estender
defraudar	roubar/charlatanear/fraudar/calotear/vitimizar/vitimar/trapacear
degelar	descongelar
degenerar	enlanguescer/fatigar/apodrecer
deglutir	devorar
degolar	guilhotinar
degradar	desumanizar/enlanguescer/fatigar/apodrecer/rebaixar/reduzir
deitar	botar/sepultar/soterrar/enterrar
deixar	aturar/demitir-se/quitar/resignar/tolerar/aguentar/renunciar/suportar/admitir/aceitar/abandonar/afastar-se/agüentar/ausentar-se/descriminalizar/legalizar/legitimar/aposentar-se/aturar/lembrar-se/retirar-se/confiar/desconectar/autorizar/tolerar/aguentar/tornar/permitir/suportar/lembrar/desistir/sair/parar/partir/abandonar
delapidar	indulgir/dissipar/esbanjar/desperdiçar
delegar	avançar/promover/escolher/deputar/despromover/mandatar/redesignar/relegar/remanejar/demover/encarregar/arregimentar/contratar/transferir/passar
deletar	desmagnetizar
delinear	inscrever/escrever/construir
delongar	segurar
demandar	exigir/requerer/querer/desejar
demonstrar	estultificar/provar-se/contradizer/esclarecer/negar/provar
denominar	alcunhar/baptizar/intencionar/rebaptizar/rebatizar/apelidar/intitular/numerar/renomear/batizar/rotular/referir/classificar/nomear
denotar	identificar/nomear/agourar/eufemizar/prefigurar/sofismar/augurar/prenunciar/pressagiar/profetizar/vaticinar/desvirtuar/assinalar/distorcer/prognosticar/exprimir/predizer/retornar/sinalizar/expressar/prever/aplicar/torcer/lembrar/indicar/usar
departir	decolar
depenar	descamar/descamar-se
depravar	abastardar/sensualizar/envenenar
derramar	gotejar/salpicar/pingar/espalhar/decantar/respingar/transvazar/saraivar/vazar/verter/jogar/servir
derrapar	patinar
derreter	descongelar/clarificar/fundir
derrubar	soçobrar/virar/cortar
desabilitar	deter/confinar/reter/prender/manter
desabrochar	florescer
desafiar	accionar/ajuizar/litigar/qüestionar/acionar/concitar/apelar/processar/perguntar/estimular/incitar/provocar
desagradar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/irritar/incomodar/rechaçar/repulsar/repelir
desaguar	salpicar/espalhar/saraivar/vazar/jogar
desaparecer	caldear/ausentar/esvanecer/falecer/morrer/ir/diminuir
desativar	deter/confinar/reter/prender/manter
descansar	ajoelhar-se/levantar/capotar/sonecar/dormir/dormitar/cochilar
descartar	debochar/alijar/desabonar/desfazer-se/desprestigiar/desaprender/desacreditar/esnobar/enterrar/liquidar/abandonar
descer	naufragar/afundar/derrubar/pôr/cair/apear/apear-se/rappel/gotejar/polvilhar/desmontar/pingar/pousar/desembarcar/decair/declinar/precipitar/mergulhar/afundar/corrigir/cair
descerrar	confidenciar/tagarelar/trair/revelar/mostrar/falar
descobrir	descortinar/descerrar/desenterrar/expor/escavar/exibir/revelar/mostrar
descolar	cair/cortar
descolorir	enrubescer/rosar/ruborizar/corar/avermelhar/acinzentar/alvejar/azular/branquear/embranquecer/empalidecer/empretecer/encanecer/enegrecer/esverdear/amarelar/corar/vermelhar/avermelhar/bronzear/tingir/clarear/queimar
desconcertar	acabrunhar/descombobular/descontrolar/embaraçar/constrangir/desnortear/enervar/afligir/desintegrar/envergonhar/angustiar/doer/desmoronar/machucar/perturbar
desconectar	desvincular/destacar/separar
desconsiderar	debochar/desabonar/desprestigiar/desacreditar/esnobar
descontinuar	aposentar-se/retirar-se/desistir/parar/abandonar
descontrair	vegetar
descrever	adumbrar/rascunhar/esboçar/delinear
desculpar	escusar/perdoar/exonerar/eximir/absolver/escusar/perdoar/liberar
desdobrar	quarar
desejar	ansiar/suspirar/ambicionar/cobiçar/esperançar/invejar/agradar/aguardar/perseguir/pretender/querer/esperar/procurar
desempenhar	actuar/atuar/representar/tocar/fazer/estreiar/declamar/ensaiar/estrelar/protagonizar/improvisar/interpretar/performar/exercitar/praticar/recitar/reger/aparecer/atuar/executar/conduzir
desenhar	plotar/diagramar/bosquejar/pautar/sombrear/rascunhar/traçar/delinear
desenvolver	amadurecer/envelhecer/adolescer/desdobrar-se/evoluir/florir/gomar/incubar/rebentar/desabrochar/porvir/envelhecer/derivar/especializar/florescer/progredir/avançar/acumular/diferenciar/crescer
desgostar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/irritar/incomodar/rechaçar/repulsar/desagradar/repelir
desgrudar	cair/cortar
designar	intencionar/numerar/rotular/classificar
desinfectar	antisepticizar/clorinar/esterilizar
desinfetar	antisepticizar/clorinar/esterilizar
desinformar	mentir/exagerar/enganar/trair/aumentar/embromar/prevaricar/tergiversar/mentir/enrolar
desintegrar	arrebentar/esmiuçar/desfazer-se/deslindar/desfiar/pulverizar/desmoronar
desistir	aposentar-se/retirar-se/parar/abandonar
