abagunçar	desordenar/bagunçar
dizer	proferir/proferir/comunicar/comunicar/exprimir/exprimir/verbalizar/verbalizar/expressar/expressar/significar/indicar/transmitir/transmitir
dizimar	matar
doar	pagar/entregar/dar
dobrar	virar-se/tornar-se/virar/deformar
doer	aperceber/aperceber-se/perceber/entender/indispor/desconcertar/perturbar/estar/ser/confundir
dormir	repousar/descansar/jazer/cochilar
dormitar	dormir/repousar/descansar/cochilar
drenar	evaziar/esvaziar
durar	medir
ebulir	tornar/virar/mudar
ecoar	emitir/soltar/ressoar/soar/fazer
edificar	causar/criar/provocar/fazer
editar	produzir/construir/criar/fazer
educar	leccionar/lecionar/ensinar/lustrar/polir/refinar/instruir
efectivar	agir/atuar/fazer
efectuar	agir/conseguir/suceder/atuar/atingir/fazer
efetivar	agir/atuar/fazer
efetuar	encerrar/finalizar/acabar/terminar/ocasionar/agir/agir/conseguir/suceder/atuar/atuar/causar/produzir/provocar/provocar/atingir/fazer/fazer/fazer
ejetar	expulsar
elaborar	explicar
eleger	seleccionar/seleccionar/selecionar/selecionar/escolher/escolher
elevar	ampliar/comover/progredir/deslocar/emocionar/mover/estimular/excitar/aumentar
elocubrar	explicar
elogiar	medir/estimar/avaliar
elucidar	explicar
emagrecer	tornar/virar/mudar
emascular	esterilizar
embalar	tampar/cobrir
embarcar	deslocar/mover
embasbacar	mirar/observar/olhar/ver
embasbacar-se	mirar/observar/olhar/ver
embelezar	aperfeiçoar/melhorar
embonecar	aperfeiçoar/melhorar
emboscar	assaltar/atacar
embrulhar	tampar/cobrir
emendar	aperfeiçoar/melhorar
emergir	ascender/subir
emocionar	concitar/elicitar/estimular/incitar/provocar/comover/afetar/impressionar/parecer
empalidecer	descolorir/colorir
empenhar	consignar
empetecar	aperfeiçoar/melhorar
empreender	causar/provocar/fazer
empregar	utilizar/obter/adquirir/usar
emprenhar	inseminar/fecundar/fertilizar
emprestar	modificar/alterar/mudar/entregar/dar
empunhar	manejar/manusear/manipular
empurrar	forçar/deslocar/deslocar/mover/mover
enaltecer	medir/estimar/avaliar
encabeçar	dirigir/conduzir
encadernar	tampar/cobrir
encarar	virar-se/tornar-se/virar/mirar/observar/estar/olhar/ver
encerrar	modificar/alterar/mudar/finalizar/concluir/terminar
encetar	discutir
encher	modificar/modificar/alterar/alterar/mudar/mudar/dilatar-se/expandir-se/tornar/virar/mudar
encobrir	omitir/omitir/tampar/tampar/tapar/tapar/acobertar/acobertar/ocultar/ocultar/esconder/esconder
encolerizar	concitar/elicitar/estimular/incitar/provocar/irar/zangar/enraivecer
encolher	decrescer/desabar/minguar/reduzir/diminuir/diminuir
encontrar	comprar/comprar/obter/obter/adquirir/adquirir/receber/receber
encorajar	inspirar/exaltar/induzir/apoiar/suportar/ajudar/animar
encostar	deslocar/mover/mexer/estar
encriptar	codificar
encurtar	reduzir/reduzir/diminuir/diminuir
endereçar	encetar/abordar/iniciar
endurecer	comportar-se/modificar/agir/alterar/atuar/parecer/mudar/alterar/mudar
energizar	afectar/afetar
enfatizar	exprimir/expressar/mostrar
enforcar	executar
enfraquecer	decrescer/desabar/modificar/modificar/alterar/alterar/minguar/mudar/mudar/diminuir
enfurecer	encolerizar/irar/zangar/enraivecer
engajar	interessar/deslocar/mover/obter/adquirir
enganar	victimizar/vitimar/informar
engatar	deslocar/mover
engatinhar	viajar/caminhar/ir/andar
engolir	ingerir/consumir/tomar
engordar	modificar/alterar/mudar/tornar/virar/mudar
engravidar	inseminar/fecundar/fertilizar
enlatar	preservar/conservar
enlistar	obter/adquirir
enquadrar	representar
enraivecer	concitar/elicitar/estimular/incitar/sentir/experimentar/provocar
enraizar	estabilizar-se
enrijecer	modificar/alterar/mudar
enrolar	enunciar/pronunciar/articular/girar/falar/dizer
enroscar	deslocar/mover/mexer
enrubescer	descolorir/colorir
enrugar	decrescer/desabar/minguar/dobrar/dobrar/diminuir
ensaiar	balizar/desempenhar/avaliar/executar/julgar/fazer
ensinar	informar
entender	comprender/comprender/comprender/comprender/compreender/compreender/compreender/compreender/conhecer/saber
enterrar	omitir/tampar/tapar/acobertar/ocultar/encobrir/esconder
entornar	deslocar/mover
entravar	impedir/atrapalhar/evitar
entregar	regalar/regalar/ceder/ceder/ceder/oferecer/oferecer/passar/passar/passar/dar/dar/dar/dar/dar/transferir/transferir/transmitir/trazer/pegar/dar/dar/dar
entreter	divertir/sentir/experimentar/socializar
entumescer	expandir
enumerar	determinar/achar
enviar	transmitir/expedir/deslocar/deslocar/mover/mover/transferir/despachar/embarcar/transportar/transmitir/trazer/trazer
envisionar	conjeturar/conjecturar/imaginar/pensar
enxaguar	lavar
enxamear	zumbir
enxergar	aperceber/aperceber-se/perceber/entender
enxugar	modificar/alterar/modelar/esfregar/formar/mudar
equilibrar	combinar
equipar	prover/abastecer/fornecer/suprir
equiparar	modificar/alterar/mudar/julgar/pensar/considerar
erguer	botar/pôr/colocar/carregar/deslocar/mover
erradicar	matar
errar	viajar/caminhar/ir/andar
esbanjar	despender/gastar
esboroar	mudar
escanear	compreender/entender
escapar	escapulir/fugir/evadir-se/fugir/sair/partir/ir
escapulir	evadir-se/fugir/sair/escapar/partir/ir
escavar	explorar/retirar/remover/tirar
esclarecer	explicar/informar
escoar	esvaziar
escolar	lustrar/polir/refinar
escolher	seleccionar/seleccionar/seleccionar/selecionar/selecionar/selecionar/resolver/decidir
esconder	disfarçar/mascarar/omitir/omitir/tampar/tampar/tapar/tapar/acobertar/acobertar/ocultar/ocultar/encobrir/encobrir/encobrir
escorregar	deslizar/viajar/viajar/caminhar/caminhar/ir/ir/andar/andar
escovar	assear/purgar/retirar/remover/limpar/tirar
escrever	comunicar/traçar/delinear/verbalizar/transmitir
escrutinar	inspecionar/examinar/ver
escurecer	alterar/mudar
escutar	aperceber/aperceber/aperceber-se/aperceber-se/obedecer/perceber/perceber/entender/entender
esfarelar	mudar
esfregar	irritar/correr/passar
esfriar	comportar-se/modificar/agir/alterar/atuar/parecer/mudar
esganiçar	urrar/berrar/gritar
esgueirar	caminhar/ir/andar
esnobar	tratar/rejeitar
espalhar	viajar/caminhar/partir/ir/andar/separar/desaguar/derramar/estender/continuar/lançar
esparramar	estender/continuar/lançar
especular	antecipar/raciocinar/cogitar/refletir/pensar/raciocinar
esperançar	ansiar/querer/desejar
esperar	ansiar/ansiar/ansiar/antecipar/querer/querer/querer/desejar/desejar/desejar/agir/atuar/fazer
espernear	deslocar/mover/mexer
espiar	mirar/observar/olhar/ver
espionar	checar/conferir
esposar	seleccionar/selecionar/escolher/unificar/reunir
espreguiçar-se	estar
espremer	agarrar/segurar
esquecer	perder
esquentar	modificar/modificar/alterar/alterar/mudar/mudar/alterar/mudar
esquiar	viajar/caminhar/ir/andar
estabelecer	pioneirar/empreender/iniciar/representar
estabilizar-se	alterar/mudar
estacionar	botar/pôr/colocar/carregar/manobrar/canalizar/guiar/dirigir
estar	tornar/ser/ser/virar/mudar
estender	estressar/tensionar/deformar/estar/estar
estender-se	estar
esterilizar	operar
esticar	estressar/tensionar/alongar/deformar
esticar-se	estar
estimar	balizar/computar/aproximar/calcular/adivinhar/chutar/avaliar/avaliar/julgar/julgar
estimular	concitar/elicitar/incitar/provocar/afectar/afetar/apoiar/suportar/ajudar
estirar	lesionar/lesar/ferir/machucar
estorricar	secar/enxugar
estorvar	impedir/atrapalhar/evitar
estourar	falhar/desmoronar/morrer/acabar/dividir/separar
estragar	avariar/danificar/tornar/virar/mudar
estrangular	matar
estreitar	modificar/alterar/mudar/alterar/mudar
estremecer	tremular/tiritar/sacudir/tremer/tremer/agitar
estressar	afectar/afetar
estripar	retirar/remover/tirar
esvanecer	sumir/desaparecer
esvaziar	modificar/alterar/mudar/tornar/virar/mudar
esventrar	retirar/remover/tirar
etiquetar	anexar/anexar/juntar/juntar/unir/unir
evadir-se	escapulir/fugir/escapar
evaporar	mudar
evaziar	modificar/alterar/mudar
evidenciar	informar/informar/contar
eviscerar	retirar/remover/tirar
evitar	impedir/atrapalhar
evoluir	progredir/desenvolver
exacerbar	modificar/alterar/mudar
exalar	transmitir/passar
exaltar	enaltecer/elogiar/comover/louvar/emocionar/estimular/excitar
exasperar	encolerizar/irar/zangar/enraivecer
exaurir	indispor
exaurir-se	indispor
excitar	concitar/elicitar/estimular/incitar/provocar/afectar/comover/emocionar/afetar/estimular
excluir	expulsar
excruciar	angustiar/doer/machucar
executar	penalizar/punir/encerrar/castigar/matar/matar/finalizar/acabar/terminar/ocasionar/efetuar/produzir/provocar
exercer	trabalhar/empregar/utilizar/usar
exercitar	desempenhar/executar/fazer
exibir	apresentar/apresentar/mostrar/mostrar
exigir	solicitar/requisitar/demandar/requerer/pedir
exortar	assessorar/aconselhar/opinar/avisar
expandir	explicar/crescer/crescer/aumentar/aumentar
expedir	deslocar/mover
experimentar	ingerir/alterar/caber/consumir/vestir/pôr/tomar/usar/colocar/mudar
expirar	tornar/virar/mudar
explicar	informar
explodir	desmoronar/dividir/separar
explorar	empregar/empregar/utilizar/utilizar/usar/usar
expor	explicar/apresentar/mostrar
expressar	transmitir/passar
exprimir	comunicar/transmitir/transmitir/passar
expulsar	deslocar/mover
extender	alongar/alongar
exultar	animar-se/alegrar-se/alegrar/animar
fabricar	inventar/causar/pensar/criar/provocar/fazer
facilitar	acorrer/socorrer/assistir/auxiliar/ajudar
falar	leccionar/lecionar/ensinar/instruir/encetar/abordar/proferir/proferir/proferir/comunicar/comunicar/comunicar/exprimir/exprimir/verbalizar/verbalizar/verbalizar/conversar/expressar/expressar/iniciar/transmitir/transmitir/transmitir/dizer
falecer	tornar/virar/mudar
falir	avariar/danificar
falsificar	recriar
fazer	comportar-se/modificar/agir/alterar/atuar/parecer/mudar/amanhar/agir/agir/recriar/recriar/cultivar/plantar/atuar/atuar/causar/causar/causar/causar/criar/criar/criar/parecer/dirigir/provocar/provocar/provocar/provocar/conduzir
fechar	tornar/virar/mudar
fecundar	modificar/alterar/mudar
feder	recender/cheirar/recender/cheirar
fender	mudar
ferir	indispor/aleijar/doer/machucar
ferrar	malograr/fracassar/falhar
ferroar	doer
fertilizar	modificar/alterar/mudar
ferver	reduzir/diminuir/tornar/virar/mudar
ficar	tornar/estar/estar/estar/ser/ser/ser/virar/mudar/passar
figurar	conjeturar/conjecturar/imaginar/pensar
filmar	registar/registrar
finalizar	modificar/alterar/mudar/encerrar/encerrar/encerrar/concluir/concluir/concluir/terminar/terminar/terminar
financiar	entregar/dar
fingir	atuar
firmar	acordar/concordar
fitar	mirar/observar/olhar/ver
fixar	anexar/juntar/unir
florescer	progredir/crescer/desenvolver/aumentar
florir	progredir/desenvolver
fluir	manar/deslocar/mover/mexer/correr
focar	centrar/concentrar/raciocinar/cogitar/refletir/pensar
foder	acasalar/copular
fofocar	dialogar/conversar
foragir	evadir-se/fugir/escapar
forjar	moldar/moldar/modelar/modelar/formar/formar/confeccionar/fabricar/transformar/construir
formar	modificar/alterar/mudar/confeccionar/fabricar/construir
formigar	zumbir
fornecer	prover/abastecer/suprir/prover/entregar/entregar/dar/dar/dar
fortalecer	modificar/alterar/mudar
fortificar	modificar/alterar/mudar
forçar	fixar/prender/compelir/deslocar/mover/obrigar/induzir
fotografar	registar/registrar
fracassar	mudar
fraccionar	mudar
fracionar	mudar
fragmentar	desmoronar/dividir/separar
fretar	comprar/obter/adquirir/receber
frigir	cozinhar
fritar	cozinhar
fugir	escapulir/escapar/evadir-se/sair/escapar/partir/ir
fulgir	estar/ser
fulgurar	estar/ser
fumar	ingerir/consumir/tomar
funcionar	exercer/operar/operar/servir
fundar	pioneirar/empreender/iniciar
fundir	moldar/forjar/modelar/modelar/formar/formar/dissolver/mudar
furar	traspassar/doer/perfurar/penetrar/perfurar/dividir/cortar
gaguejar	proferir/verbalizar/conversar/falar/dizer
galgar	ascender/subir
ganhar	comprar/comprar/comprar/comprar/obter/obter/obter/obter/adquirir/adquirir/adquirir/adquirir/receber/receber/receber/receber
gastar	despender/pagar/pagar
gatinhar	viajar/caminhar/ir/andar
gelar	modificar/alterar/mudar/solidificar
gemer	chorar/choramingar
gerar	causar/criar/provocar/fazer
gerenciar	lidar/cuidar/guiar
gerir	governar/reger/lidar/cuidar/guiar
gesticular	comunicar/transmitir
girar	virar-se/deslocar/mover/tornar-se/mexer/virar/virar
glorificar	enaltecer/elogiar/louvar
golpear	tocar/tocar/bater/bater
gostar	considerar/achar/ver
governar	reger
gozar	empregar/utilizar/usar
gritar	urrar/berrar/proferir/verbalizar/conversar/falar/dizer
grudar	juntar/juntar/unir
guardar	sentir/experimentar/reter/segurar/ter/manter/checar/conferir
guerrear	brigar/disputar/lutar
guiar	governar/governar/reger/reger/deslocar/mover
guinchar	ressoar/soar
habitar	existir/estar/ser
habituar	modificar/alterar/mudar
habituar-se	modificar/alterar/mudar
harmonizar	corresponder/combinar/concordar
hibridizar	reproduzir/criar
hierarquizar	balizar/avaliar/julgar
hipotetizar	antecipar
hospedar	abrigar/amparar
humilhar	magoar/ofender/provocar
identificar	determinar
ignorar	tratar/rejeitar
igualar	modificar/alterar/mudar
iludir	victimizar/vitimar
iluminar	iluminar-se/alterar/mudar
iluminar-se	alterar/mudar
imaginar	causar/criar/provocar/fazer
imitar	assemelhar-se/assemelhar/reproduzir/parecer
impactar	modificar/alterar/mudar
impedir	atrapalhar/evitar
impelir	assessorar/aconselhar/opinar/avisar
imperilar	existir/ser
impetrar	requisitar/requerer/pedir
implantar	fixar/prender
importar	estar/ser
importunar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/perturbar/irritar/incomodar
imprimir	produzir/construir/criar/fazer
improvisar	desempenhar/executar/fazer
impulsionar	deslocar/mover
imputar	balizar/avaliar/julgar
incapacitar	modificar/alterar/mudar
inchar	dilatar-se/expandir-se/expandir
incinerar	mudar
inclinar	debruçar/vergar/curvar/dobrar/torcer
inclinar-se	gesticular
incluir	abarcar/conter/acrescer/somar/acrescentar/adicionar/considerar/achar/ver
incomodar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/irritar
incorrer	alterar/mudar
incumbir	ceder/entregar/passar/dar
indagar	comunicar/transmitir
indenizar	pagar
indicar	informar/informar/informar/significar/contar/transmitir/passar
indispor	modificar/alterar/mudar
inferir	solucionar/resolver
inflar	dilatar-se/expandir-se/expandir
influenciar	impactar/afetar
influir	impactar/afetar
informar	comunicar/transmitir
ingurgitar	ingerir/consumir/tomar
iniciar	discutir/começar/causar/provocar/fazer
injustiçar	tratar
inocentar	pronunciar/rotular/julgar
inrijecer	alterar/mudar
inscrever	protocolar/registar/registrar
inseminar	modificar/alterar/mudar
inserir	anexar/juntar/unir
inspeccionar	inspecionar/examinar/ver
inspecionar	examinar/ver
inspirar	comover/emocionar/estimular/excitar
instalar	botar/botar/pôr/pôr/colocar/colocar/carregar/carregar
institucionalizar	transferir/transmitir/trazer
instruir	leccionar/lecionar/ensinar/impetrar/intimar/mandar/informar/ordenar
insultar	magoar/ofender/provocar
intensificar	acrescer/acrescentar/crescer/aumentar
inter-relacionar	estar/ser
interagir	agir/atuar/fazer
interessar	concitar/elicitar/estimular/incitar/provocar
internar	transferir/transmitir/trazer
interpretar	comprender/compreender/entender
interromper	encerrar/encerrar/encerrar/agir/atuar/suspender/finalizar/finalizar/finalizar/concluir/concluir/concluir/terminar/terminar/terminar/parar/fazer
intimar	requisitar/requerer/pedir
intimidar	comover/emocionar/estimular/excitar
intoxicar	comover/emocionar/estimular/excitar
introduzir	contar/falar/dizer/anexar/informar/juntar/unir
inundar	cobrir
invadir	assaltar/atacar
inventar	imaginar/pensar
inverter	alterar/mudar
investigar	pesquisar/examinar
investir	despender/gastar
involver	admitir/aceitar
ir	ocorrer/suceder/viajar/viajar/viajar/viajar/viajar/viajar/acontecer/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/andar/andar/andar/andar/andar/andar/passar/viajar/estar/estar/andar
irar	concitar/elicitar/estimular/incitar/provocar/encolerizar/zangar/enraivecer
ironizar	tratar
irradiar	parecer
irritar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/incomodar/agravar/exacerbar/piorar
jazer	estar/estar/ser
jogar	competir/concorrer/propulsar/propulsionar/alinhar/apostar/impulsionar/tocar
julgar	raciocinar/cogitar/refletir/pensar/balizar/computar/calcular/avaliar/declarar/considerar/achar/ver
juntar	unir/unir/unir/ligar/ligar/ligar/reunir/reunir/reunir/unificar/unir/reunir
jurar	declarar
laborar	trabalhar
lacrimejar	chorar/choramingar
ladrar	emitir/soltar/proferir/verbalizar/conversar/falar/dizer
lamentar	sentir/experimentar/afligir-se/magoar/sofrer
lançar	propulsar/propulsionar/deslocar/deslocar/mover/mover/impulsionar/tocar
largar	alterar/deslocar/mover/mudar
lascar	dividir/cortar
latir	emitir/soltar
lavar	assear/cuidar-se/purgar/limpar/limpar
lavar-se	lavar/limpar
leccionar	informar
lecionar	informar
legar	regalar/oferecer/entregar/dar
lembrar	legar/deixar/entregar/passar/dar/pensar
lembrar-se	legar/deixar/entregar/passar/dar
ler	assinalar/compreender/compreender/indicar/entender/entender
lesar	aleijar/ferir/doer/machucar
lesionar	aleijar/ferir/doer/machucar
levantar	botar/aludir/mencionar/citar/pôr/colocar/carregar/repousar/descansar/deslocar/mover
levantar-se	aprumar/tornar/virar/mudar
levar	deslocar/mover/estar/estar
liberar	ceder/entregar/passar/dar
lidar	governar/reger/encetar/abordar/agir/agir/cuidar/atuar/atuar/guiar/iniciar/entregar/dar/fazer/fazer
liderar	dirigir/conduzir
ligar	fixar/prender/engatar/engajar
limitar	reduzir/diminuir/coibir/entravar/refrear/refrear/serenar/deter/moderar/conter/controlar/controlar
limpar	modificar/modificar/modificar/alterar/alterar/alterar/esfregar/mudar/mudar/mudar/cuidar-se/retirar/retirar/lavar/remover/remover/tirar/tirar
liquidar	matar/custear/pagar
livrar	ceder/entregar/passar/dar
lixar	alisar
logar	acessar
lograr	victimizar/vitimar
lotear	lidar/conceder/entregar
louvar	medir/estimar/avaliar/enaltecer/elogiar
lucrar	comprar/obter/adquirir/receber
lustrar	aperfeiçoar/melhorar/embonecar/empetecar/embelezar
lutar	brigar/disputar
machucar	doer/indispor/aleijar/desconcertar/ferir/doer/perturbar/confundir
macular	modificar/alterar/mudar
magoar	concitar/elicitar/estimular/incitar/provocar/sofrer
maltratar	tratar
manar	deslocar/mover/mexer
mancar	caminhar/ir/andar
manchar	modificar/alterar/mudar
mandar	requisitar/transferir/requerer/pedir/transmitir/trazer
manejar	manusear/manusear/manipular/tocar
mangar	ironizar/menosprezar/zombar
manifestar	apresentar/mostrar/transmitir/passar
manipular	manusear/tocar
manobrar	governar/reger
manter	teimar/insistir/sentir/experimentar/reter/guardar/segurar/ter/ter/ter/desabilitar/desativar/incapacitar/estar/ser/considerar/entregar/achar/ver/dar
manufaturar	inventar/pensar
manusear	tocar/tocar/bater/bater/manejar/manipular/tocar
maquiar	cuidar-se
maquilar	cuidar-se
marcar	modificar/alterar/limitar/restringir/conter/mudar/caracterizar/caraterizar/qualificar
marchar	caminhar/ir/andar
martelar	forjar/transformar
mascar	ranger
mascarar	omitir/tampar/tapar/acobertar/ocultar/encobrir/esconder
massacrar	matar/matar
mastigar	ranger
materializar	ocorrer/suceder/acontecer/passar
meandrar	estar/ser
medir	resolver/decidir/balizar/avaliar/estar/ser/julgar
melhorar	aperfeiçoar/modificar/alterar/mudar/perfazer/aperfeiçoar/tornar/virar/mudar
mencionar	associar/conectar/relacionar
mendigar	solicitar/requisitar/requerer/pedir
menosprezar	tratar/rejeitar
mensurar	resolver/decidir/exprimir/transmitir
mentir	desinformar/enganar
mesclar	amalgamar/unificar/misturar
meter	acasalar/copular
mexer	deslocar/deslocar/mover/mover
mimar	tratar
mimosear	tratar
minar	explorar
minerar	explorar
minimizar	reduzir/diminuir
mirar	checar/conferir
misturar	modificar/alterar/mudar/amalgamar/amalgamar/acrescer/somar/unificar/unificar/acrescentar/adicionar/mudar
mobiliar	prover/abastecer/fornecer/suprir
modelar	modificar/moldar/alterar/forjar/formar/mudar/confeccionar/fabricar/construir
moer	fragmentar
moldar	forjar/modelar/modelar/formar/formar/confeccionar/fabricar/construir
molestar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/importunar/perturbar/irritar/incomodar
molhar	modificar/alterar/mudar
montar	ascender/viajar/caminhar/ir/andar/subir/acasalar/copular
morar	povoar/habitar/viver/estar
morder	agarrar/segurar
mordiscar	papar/comer/agarrar/segurar
morrer	tornar/virar/mudar
mortificar	magoar/ofender/provocar
mostrar	expor/exibir/apresentar/assinalar/informar/informar/informar/apresentar/apresentar/indicar/transmitir/passar
mostrar-se	surgir/aparecer
mudar	substituir/vestir-se/arrumar-se/alterar/alterar/alterar/vestir
murchar	decrescer/decrescer/desabar/desabar/minguar/minguar/diminuir/diminuir
murmurar	proferir/proferir/proferir/verbalizar/verbalizar/verbalizar/conversar/conversar/conversar/falar/falar/falar/dizer/dizer/dizer
nadar	viajar/viajar/caminhar/caminhar/ir/ir/andar/andar
namorar	associar
narrar	informar
nascer	tornar/virar/mudar
naufragar	descer/baixar/cair
necessitar	estar/ser
negar	reter/guardar/segurar/manter
neutralizar	matar
nivelar	alterar/mudar
nomear	rotular/classificar
obedecer	confromar-se/adaptar-se/adequar-se/ajustar
obrigar	compelir/induzir/forçar
observar	checar/conferir
obter	comprar/comprar/adquirir/adquirir/receber/receber/alterar/conseguir/suceder/atingir/mudar
ocasionar	causar/provocar/fazer
ocorrer	suceder/acontecer/passar
ocupar	assaltar/interessar/trabalhar/atacar
ofender	concitar/elicitar/magoar/estimular/incitar/provocar/provocar
oferecer	agir/atuar/entregar/dar/fazer
oficiar	exercer/servir
olhar	aperceber/aperceber-se/perceber/entender/checar/conferir/mirar/observar/ver
olvidar	perder
ondular	deslocar/mover/mexer
operar	tratar/manejar/manusear/manipular
opor	rebater/refutar
ordenar	dispor/arranjar/requisitar/requerer/organizar/pedir
organizar	solicitar/requisitar/requerer/pedir/lidar/cuidar/arrumar/guiar/ordenar
oscilar	deslocar/mover/mexer
ousar	agir/agir/atuar/atuar/fazer/fazer
outorgar	alocar/causar/provocar/entregar/entregar/dar/dar/dar
ouvir	aperceber/aperceber/aperceber-se/aperceber-se/perceber/perceber/entender/entender
padecer	doer/sofrer
pagar	entregar/dar
pagodear	ironizar/menosprezar/zombar
palestrar	leccionar/lecionar/ensinar/instruir
palpitar	pulsar
papar	ingerir/consumir/comer/tomar
paparicar	zelar/cuidar
papear	dialogar/conversar
parar	descontinuar/cessar/finalizar/desistir/acabar/terminar/deixar/encerrar/suspender/finalizar/interromper/concluir/terminar
parecer	corresponder/combinar/concordar/estar/estar/ser/ser
parir	produzir/fazer
participar	agir/atuar/fazer
partilhar	comprar/obter/adquirir/receber/empregar/utilizar/usar
partir	deslocar/deslocar/mover/mover/mexer/mexer/alterar/alterar/deslocar/mover/sair/sair/sair/mudar/mudar/ir/ir/ir
passar	regalar/viajar/viajar/viajar/caminhar/caminhar/caminhar/oferecer/entregar/ir/ir/ir/andar/andar/andar/dar/transferir/transmitir/dar
passear	caminhar/caminhar/ir/ir/andar/andar
patinar	escorregar/deslizar
pedalar	ir
pedir	concitar/elicitar/solicitar/requisitar/requerer/estimular/incitar/provocar/requisitar/requerer
pegar	agarrar/capturar/segurar/alterar/anexar/agarrar/agarrar/tomar/tomar/juntar/unir/mudar/passar
pendurar	fixar/fixar/prender/prender/ornar/empetecar/enfeitar/ornamentar/embelezar/adornar/decorar
penetrar	entrar
pensar	antecipar/balizar/imaginar/imaginar/avaliar/julgar
perambular	viajar/viajar/caminhar/caminhar/ir/ir/andar/andar
perceber	aperceber/aperceber-se/entender
perder	empregar/utilizar/usar/abandonar
perdoar	conceder
perecer	tornar/virar/mudar
perfazer	aperfeiçoar/melhorar
performar	agir/atuar/fazer
perfurar	traspassar/entrar/penetrar/furar/dividir/cortar
perguntar	ruminar/cogitar/ponderar/especular/contemplar/refletir/comunicar/dirigir-se/transmitir
perigar	existir/ser
permanecer	agir/atuar/estar/estar/ser/ser/fazer
permitir	consentir/deixar/consentir/prover/aprovar/concordar/aceitar/entregar/dar/dar
permutar	trocar
perpetrar	agir/atuar/fazer
perseguir	viajar/caminhar/ir/andar
perseverar	preservar/continuar/manter
persistir	preservar/continuar/manter
personificar	atuar/representar/fazer
persuadir	influir/influenciar/induzir
pertencer	estar/estar/estar/ser/ser
perturbar	concitar/elicitar/estimular/incitar/provocar/comover/agir/afetar/impressionar/atuar/parecer/fazer
perverter	modificar/alterar/mudar
pesar	estar/ser
pesquisar	analizar/examinar
pestanejar	reagir
picar	doer
pigarrear	retirar/remover/tirar
pilotar	operar/controlar
pinar	acasalar/copular
pincelar	criar/fazer
pintar	figurar/revestir/criar/representar/cobrir/fazer
pioneirar	causar/provocar/fazer
piorar	modificar/alterar/decair/decair/mudar/tornar/virar/mudar
pisar	viajar/caminhar/ir/andar
piscar	reagir
planear	pretender
planejar	raciocinar/cogitar/refletir/pensar/prognosticar/predizer/pretender/prever/avaliar/considerar/achar
plantar	botar/botar/pôr/pôr/colocar/colocar/carregar/carregar
plasmar	moldar/forjar/modelar/formar
poder	despender/gastar
polir	aperfeiçoar/melhorar/embonecar/perfazer/empetecar/aperfeiçoar/embelezar
ponderar	ruminar/raciocinar/cogitar/cogitar/especular/contemplar/refletir/refletir/pensar
pontuar	acrescer/somar/exprimir/acrescentar/expressar/adicionar/mostrar
portar	apresenta/dispõe
posar	botar/pôr/colocar/carregar
posicionar	botar/pôr/colocar/carregar
pospor	adiar
possibilitar	prover/dar
possuir	apresenta/dispõe
postergar	adiar
poupar	reter/guardar/segurar/manter
povoar	estar
prantear	afligir-se/magoar/sofrer
praticar	desempenhar/executar/fazer
preceder	contar/falar/dizer
precisar	estar/ser
prefaciar	contar/falar/dizer
pregar	anexar/juntar/unir
premiar	alocar
prender	agarrar/capturar/segurar/pegar/desabilitar/desativar/incapacitar/anexar/anexar/juntar/juntar/unir/unir
prensar	tocar/bater
preparar	leccionar/lecionar/ensinar/modificar/alterar/instruir/mudar/confeccionar/fabricar/causar/construir/criar/provocar/fazer
presentear	alocar
preservar	cozinhar/preparar/reter/guardar/segurar/manter
pressagiar	informar/contar
pressionar	tocar/bater
pressupor	antecipar
prestar	entregar/dar
presumir	antecipar
prever	informar/contar
prezar	considerar/achar/ver
privar	reter/conter
proceder	agir/atuar/fazer
proclamar	proferir/verbalizar/conversar/falar/dizer
procrastinar	adiar
procriar	causar/criar/provocar/fazer
procurar	buscar/agir/inspecionar/atuar/examinar/ver/fazer
produzir	amanhar/cultivar/plantar/causar/causar/criar/provocar/provocar/fazer/fazer
proferir	comunicar/transmitir
progredir	modificar/alterar/viajar/caminhar/mudar/ir/andar/crescer/desenvolver/aumentar
proliferar	crescer/aumentar
prolongar	alongar
prometer	estar/ser/declarar/declarar
promover	aconselhar/sugerir/propor/delegar/apoiar/suportar/ajudar
pronunciar	julgar/declarar
propor	declarar/representar
proporcionar	prover/dar
propulsar	deslocar/mover
propulsionar	empurrar/forçar/deslocar/mover
prorrogar	adiar/alongar
prosear	dialogar/conversar
prosseguir	ocorrer/suceder/viajar/acontecer/caminhar/ir/andar/passar/agir/atuar/fazer
proteger	defender
protelar	adiar
protestar	opor
protocolar	registar/registrar
provar	ingerir/informar/consumir/estar/ser/tomar
prover	abastecer/fornecer/suprir/entregar/entregar/dar/dar
providenciar	prover/acordar/concordar/dar
provisionar	entregar/dar
provocar	agastar/aporrinhar/vexar/concitar/elicitar/chatear/aborrecer/amolar/molestar/importunar/estimular/incitar/perturbar/irritar/incomodar/comover/emocionar/causar/causar/causar/estimular/excitar/criar/criar/fazer/fazer/fazer
publicar	produzir/construir/criar/fazer
