abagunçar	desordenar/bagunçar
animar	regozijar/regozijar-se/afectar/alegrar-se/comover/comover/alegrar/emocionar/emocionar/afetar/estimular/estimular/excitar/excitar
animar-se	regozijar/regozijar-se/alegrar-se/alegrar
aniquilar	matar
anotar	registar/registrar
ansiar	querer/desejar
antecipar	balizar/avaliar/julgar
anuir	gesticular
anunciar	contar/falar/jogar/dizer/informar/informar/contar/mostrar
apagar	remover/ligar/tirar
apanhar	jogar/coligir/ajuntar/recolher/coletar/juntar/reunir
aparecer	surgir
aparelhar	prover/abastecer/fornecer/suprir
aparentar	estar/ser
apear	descer/baixar/cair
apear-se	descer/baixar/cair
aperfeiçoar	modificar/alterar/melhorar/mudar/perfazer
apertar	modificar/alterar/mudar/tocar/bater/alterar/agarrar/segurar/mudar
apetrechar	prover/abastecer/fornecer/suprir
apinhar	encontrar/reunir
apitar	ressoar/ressoar/soar/soar/fazer/fazer
aplainar	modelar/formar
aplicar	tampar/cobrir/empregar/utilizar/usar
apontar	informar/mirar/direcionar/significar/indicar
apostar	jogar/jogar
apreciar	transmitir/considerar/achar/ver/passar
apreender	agarrar/capturar/segurar/pegar
apresentar	aludir/mencionar/citar/contar/falar/dizer/recriar/informar/mostrar/representar
apressar	viajar/viajar/caminhar/caminhar/ir/ir/andar/andar/aprofundar/agir/intensificar/atuar/fazer
apressar-se	viajar/caminhar/ir/andar
aprofundar	acrescer/acrescentar/crescer/aumentar
aprontar	modificar/alterar/mudar
aprovar	balizar/reagir/responder/avaliar/julgar
aproveitar	vivenciar/experienciar/empregar/utilizar/experimentar/usar
aproximar	computar/calcular
aprumar	alterar/mudar
apurar	investigar/pesquisar/examinar
aquecer	modificar/modificar/alterar/alterar/mudar/mudar/alterar/mudar
arder	sentir/experimentar
armar	prover/abastecer/fornecer/suprir
arranhar	lesionar/lesar/ferir/machucar/encostar/tocar
arranjar	botar/pôr/colocar/carregar/acordar/concordar
arrastar	arredar/puxar/tirar
arrebentar	pular/saltar/desmoronar/dividir/separar
arrecadar	cobrar
arredar	deslocar/mover
arremeter	correr
arrepender	sentir/experimentar
arrepender-se	sentir/experimentar
arriar	deslocar/mover
arriscar	tentar/tentar/procurar/procurar/existir/ser
arruinar	malograr/fracassar/falhar/estraçalhar/destroçar/destruir
arrumar	dispor/arranjar/ordenar/organizar/organizar
arrumar-se	alterar/mudar
ascender	viajar/caminhar/ir/andar/subir
asfixiar	matar
assaltar	brigar/disputar/lutar
assassinar	matar
assear	modificar/alterar/mudar
assediar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/irritar/incomodar
assemelhar	assemelhar-se/corresponder/combinar/concordar/parecer
assemelhar-se	corresponder/combinar/concordar
assentar	botar/pôr/colocar/carregar/tornar/virar/mudar
asseverar	teimar/insistir/comportar-se/declarar/resistir/conduzir
assinalar	informar
assistir	apoiar/suportar/ajudar
assobiar	ressoar/soar/fazer
associar	raciocinar/cogitar/refletir/pensar
assumir	antecipar
assustar	comover/emocionar/estimular/excitar
atacar	impactar/brigar/disputar/afetar/lutar
atar	fixar/fixar/prender/prender/conectar/deter/anexar/confinar/amarrar/reter/juntar/prender/unir/ligar/manter
atemorizar	comover/emocionar/estimular/excitar
atenuar	aperfeiçoar/melhorar
aterrorizar	comover/emocionar/estimular/excitar
atestar	informar
atingir	impactar/encerrar/afetar/comprar/comprar/finalizar/obter/obter/adquirir/adquirir/acabar/receber/receber/terminar/tocar/bater/ocasionar/conseguir/efetuar/suceder/produzir/provocar
atirar	lesionar/lesar/ferir/machucar/propulsar/propulsionar/impulsionar/tocar
atormentar	angustiar/doer/machucar
atrair	concitar/elicitar/estimular/incitar/provocar
atrapalhar	impedir/evitar
atrasar	adiar
atravessar	deslocar/mover/mexer/viajar/caminhar/caminhar/ir/ir/andar/andar/passar/perfurar/furar
atrever	agir/agir/atuar/atuar/fazer/fazer
atrever-se	agir/agir/atuar/atuar/fazer/fazer
atribuir	balizar/lidar/avaliar/conceder/julgar/entregar
atritar	encostar/tocar
atropelar	lesionar/lesar/ferir/machucar
atuar	recriar
aturar	consentir/permitir/deixar
auferir	comprar/comprar/obter/obter/adquirir/adquirir/receber/receber
aumentar	acrescer/modificar/alterar/acrescentar/crescer/mudar/ampliar/progredir/crescer/crescer/subir
autorizar	consentir/permitir/deixar
auxiliar	apoiar/suportar/ajudar
avaliar	raciocinar/cogitar/refletir/pensar/balizar/computar/calcular/julgar
avançar	viajar/caminhar/ir/andar/delegar/progredir/desenvolver
avariar	modificar/alterar/mudar/danificar
averiguar	investigar/pesquisar/examinar
avermelhar	descolorir/colorir
aviar	expedir/despachar/embarcar/transportar/enviar/trazer
aviltar	modificar/magoar/alterar/ofender/provocar/mudar/humilhar/mortificar/rebaixar
avionar	operar/controlar
avisar	informar
avistar	aperceber/aperceber-se/perceber/entender
avizinhar	vir
azedar	tornar/virar/mudar
bagunçar	modificar/alterar/mudar/desordenar
bailar	deslocar/mover/mexer
baixar	modificar/alterar/viajar/caminhar/mudar/ir/andar/deslocar/mover
bajular	enaltecer/elogiar/louvar
balancear	combinar
balançar	oscilar
balbuciar	proferir/proferir/verbalizar/verbalizar/conversar/conversar/falar/falar/dizer/dizer
balear	matar
balizar	raciocinar/cogitar/refletir/pensar
baptizar	denominar/chamar/nomear
bastar	cumprir/realizar/satisfazer
batalhar	brigar/disputar/lutar
bater	cerrar/colidir/deslocar/deslocar/fechar/mover/mover/mexer/mexer/atingir/tocar/tocar/tocar/propulsar/propulsionar/propulsionar/golpear/acertar/deslocar/deslocar/mover/mover/ressoar/ressoar/ressoar/impulsionar/empurrar/soar/soar/soar/tocar/fazer/fazer/fazer
batizar	denominar/chamar/nomear
batucar	ressoar/soar/fazer
beber	ingerir/ingerir/consumir/consumir/tomar/tomar
bebericar	beber/tomar
beliscar	agarrar/segurar
beneficiar	comprar/obter/adquirir/receber
beneficiar-se	comprar/obter/adquirir/receber
berrar	proferir/verbalizar/conversar/falar/dizer
bicicletar	ir
boiar	viajar/caminhar/ir/andar
boquejar	dialogar/conversar
borbulhar	ressoar/soar/fazer
borburar	ressoar/soar/fazer
borrar	malograr/fracassar/falhar
borrifar	salpicar/espalhar
botar	deslocar/mover
bradar	proferir/verbalizar/conversar/falar/dizer
brandir	deslocar/mover
brilhar	iluminar-se/iluminar/estar/ser
brocar	dividir/cortar
buscar	inspecionar/examinar/ver
buzinar	ressoar/soar/fazer
caber	ficar/servir/vestir-se/arrumar-se/vestir/estar/ser
cadastrar	assinalar/indicar
cair	perecer/falecer/expirar/modificar/alterar/morrer/viajar/caminhar/mudar/ir/andar/descolar/desgrudar/descer/baixar/separar
calcular	raciocinar
calhar	ocorrer/suceder/acontecer/passar
calotear	victimizar/vitimar
caminhar	viajar/viajar/ir/ir/ir/ir/andar/andar/andar/andar
canalizar	governar/reger
cansar-se	indispor
cantar	proferir/verbalizar/conversar/falar/dizer
cantarolar	cantar
capar	esterilizar
capotar	dormir/repousar/descansar/cochilar
capturar	agarrar/segurar/jogar/pegar/agarrar/agarrar/tomar/tomar/pegar/pegar
caracterizar	distinguir/diferenciar/lembrar/pensar
caraterizar	distinguir/diferenciar/lembrar/pensar
carburar	tornar/virar/mudar
carregar	modificar/alterar/completar/completar/transportar/encher/encher/levar/mudar/apresenta/dispõe/deslocar/deslocar/mover/mover/encher
casar	unificar/reunir
casar-se	unificar/reunir
castrar	esterilizar
catar	coligir/ajuntar/recolher/coletar/juntar/reunir
causar	criar/criar/provocar/provocar/fazer/fazer
cauterizar	tratar
cavalgar	viajar/caminhar/ir/andar
cavar	retirar/remover/dividir/tirar/cortar
caçar	perseguir
ceder	regalar/oferecer/entregar/dar/transferir/entregar/dar
celebrar	encontrar/reunir
centrar	raciocinar/cogitar/refletir/pensar
cercar	assaltar/atacar
cevar	modificar/alterar/mudar
chacinar	matar
chamar	impetrar/telecomunicar/intimar/mandar/rotular/classificar/ordenar
checar	analizar/examinar
chegar	estar/ser/vir
cheirar	aperceber/aperceber-se/recender/perceber/entender/parecer
chocalhar	ressoar/soar/fazer
chocar	colidir/atingir/bater
choramingar	chorar
chover	precipitar/cair
chupar	beber/tomar
chutar	golpear/bater/computar/propulsar/propulsionar/calcular/impulsionar/tocar
cicatrizar	melhorar
cindir	partir/dividir/separar
circular	viajar/caminhar/ir/andar
circunscrever	reduzir/diminuir
civilizar	lustrar/polir/refinar
clarear	modificar/alterar/mudar/descolorir/colorir
classificar	balizar/categorizar/denominar/designar/avaliar/julgar
co-ocorrer	acompanhar
coagir	compelir/obrigar/forçar
cobrar	contabilizar/computar/calcular/contar
cobrir	tampar/tampar/encetar/abordar/cumprir/encostar/realizar/satisfazer/iniciar/tocar
cocegar	afagar/acariciar
cochichar	proferir/verbalizar/conversar/falar/dizer
cochilar	dormir/repousar/descansar/jazer
cogitar	raciocinar/refletir/pensar
colapsar	mudar
colar	anexar/encostar/grudar/juntar/juntar/unir/tocar
coletar	cobrar
colher	coligir/coligir/ajuntar/ajuntar/recolher/recolher/coletar/coletar/juntar/juntar/reunir/reunir
colidir	atingir/tocar/bater/bater
colocar	botar/botar/botar/tampar/fixar/pôr/pôr/pôr/prender/carregar/carregar/carregar/cobrir/vestir-se/arrumar-se/deslocar/mover/vestir
colorir	ornar/empetecar/enfeitar/ornamentar/embelezar/alterar/adornar/decorar/mudar
comandar	dirigir/conduzir
combater	brigar/disputar/lutar
combinar	amalgamar/equivaler/interagir/acrescer/somar/unificar/igualar/acrescentar/adicionar/misturar/mudar
combustir	tornar/virar/mudar
comer	acasalar/ingerir/ingerir/ingerir/copular/consumir/consumir/consumir/tomar/tomar/tomar
cometer	agir/atuar/fazer
começar	iniciar/agir/atuar/fazer
comissionar	ceder/entregar/passar/dar
comover	concitar/elicitar/estimular/incitar/provocar
comparar	analizar/examinar/estar/ser
compartilhar	comunicar/agir/empregar/utilizar/atuar/transmitir/usar/fazer
compartir	comprar/obter/adquirir/receber/empregar/utilizar/usar
compatibilizar	corresponder/combinar/concordar
compelir	obrigar/induzir/forçar
compensar	pagar/combinar
completar	modificar/alterar/mudar
compor	verbalizar/representar/representar
comportar-se	agir/portar/atuar/fazer
comprar	obter/adquirir/receber/estar/ser
compreender	abarcar/comprender/comprender/comprender/incluir/conter/entender/entender/entender/conhecer/saber/entender
comprimir	estreitar/apertar
comprometer	empregar/utilizar/usar
computar	raciocinar
comunicar	interagir/enviar
conceber	imaginar
conceder	confessar/reconhecer/admitir/alocar/acordar/concordar/entregar/entregar/entregar/entregar/dar/dar/dar/dar
conceitualizar	imaginar
concentrar	raciocinar/cogitar/refletir/pensar
conciliar	acordar/concordar
concluir	modificar/alterar/mudar/encerrar/encerrar/finalizar/finalizar/terminar/terminar
concordar	corresponder/combinar/equivaler/reagir/igualar/acordar/responder
concretizar	causar/criar/provocar/fazer
condensar	reduzir/diminuir
conduzir	modificar/alterar/mudar/agir/portar/deslocar/mover/lidar/lidar/cuidar/cuidar/atuar/guiar/guiar/fazer
conectar	raciocinar/cogitar/fixar/refletir/pensar/prender
conectar-se	acessar
confabular	dialogar/dialogar/conversar/conversar
confeccionar	causar/criar/provocar/fazer
conferir	analizar/examinar
confessar	reconhecer/reconhecer/admitir/admitir
confiar	ceder/consentir/permitir/deixar/entregar/passar/dar
confidenciar	ceder/entregar/passar/dar
confinar	reduzir/diminuir/desabilitar/desativar/incapacitar
conflagrar	tornar/virar/mudar
confundir	concitar/elicitar/estimular/incitar/provocar/embaraçar/constrangir/envergonhar
congelar	padecer/solidificar/tornar/sofrer/virar/mudar
conglomerar	acrescer/acrescentar/crescer/aumentar
conjecturar	antecipar/imaginar
conjeturar	imaginar
conquistar	comportar-se/agir/atuar/parecer
consagrar	empregar/utilizar/usar
consentir	reagir/aprovar/responder/concordar/aceitar
consertar	reparar/aperfeiçoar/emendar/melhorar
conservar	cozinhar/preservar/preparar/reter/guardar/segurar/manter
considerar	sentir/experimentar/pensar/pensar/achar/achar/prognosticar/predizer/prever/avaliar/achar/achar/ver
considerar-se	estar/ser
consignar	comissionar/incumbir/confidenciar/confiar/entregar
constipar	indispor
constituir	pioneirar/empreender/iniciar/representar
construir	causar/causar/criar/criar/provocar/provocar/fazer/fazer
consultar	indagar/perguntar
consumir	despender/gastar/ingerir/tomar
contaminar	modificar/alterar/mudar
contar	proferir/exprimir/recitar/verbalizar/informar/informar/determinar/expressar/estar/ser/achar
contemplar	raciocinar/cogitar/refletir/pensar/mirar/mirar/observar/observar/olhar/olhar/ver/ver
conter	abarcar/abarcar/incluir/incluir/negar/refrear/limitar/controlar
